nbrdesc,combined_ht,avg_ht,combined_diam,avg_diam,absent,dead,fair,good,n/a,poor,sprouts,stump,stump w
coldstream homestead montebello,19589,9.37,11438.63,5.47,56.99,1.1,17.99,16.17,NA,5.55,0.38,1.82,NA
concerned citizens of forest park,2640,7.93,1609.7,4.83,74.77,1.5,8.41,9.91,NA,3.3,0.3,1.8,NA
coppin heights/ash-co-east,9712,13.49,4446.5,6.18,38.06,1.39,14.17,39.17,NA,4.31,0.69,2.22,NA
cross country,25047,23.61,12129.3,11.43,40.15,0.66,21.02,22.9,NA,10.56,0.19,4.52,NA
cross keys,2520,19.53,1428.6,11.07,1.55,2.33,35.66,49.61,NA,9.3,NA,1.55,NA
curtis bay,10353,12.94,5413.7,6.77,49.25,0.75,14.62,28,NA,4.62,0.25,2.5,NA
curtis bay industrial area,40,0.7,46.7,0.82,96.49,NA,1.75,NA,NA,NA,NA,1.75,NA
cylburn,7118,10.35,3587.1,5.21,69.48,0.58,9.45,14.97,NA,3.92,NA,1.6,NA
darley park,2987,13.52,1349.3,6.11,37.1,0.45,22.17,33.48,NA,2.71,0.9,3.17,NA
dickeyville,1193,29.82,582,14.55,NA,15,27.5,45,NA,5,NA,7.5,NA
dolfield,6503,10.97,3568.5,6.02,66.44,0.17,9.78,13.15,NA,7.76,0.17,2.53,NA
dorchester,6179,10.92,3056.15,5.4,71.73,0.35,10.78,7.24,NA,6.71,0.18,3,NA
downtown,21785,11.4,7031.9,3.68,46,2.93,8.37,36.68,NA,3.92,0.1,1.99,NA
downtown west,2712,8.02,828.5,2.45,60.95,2.37,7.99,22.78,NA,5.62,NA,0.3,NA
druid heights,8816,14.04,3879.1,6.18,26.91,1.91,47.77,9.87,NA,10.67,NA,2.87,NA
druid hill park,119992,32.83,63661.525,17.42,0.44,3.5,21.29,65.03,NA,5.99,0.25,3.5,NA
dunbar-broadway,10146,14.21,3954.09,5.54,21.01,2.8,17.65,53.78,NA,3.64,NA,1.12,NA
east arlington,6702,20.19,3974.2,11.97,46.99,0.3,11.45,29.82,NA,5.12,0.3,6.02,NA
east baltimore midway,11851,9.76,5380.6,4.43,49.75,0.66,15.98,26.36,NA,4.28,0.16,2.8,NA
easterwood,3305,7.6,1727.9,3.97,55.4,1.15,9.2,26.67,NA,5.98,0.46,1.15,NA
eastwood,288,2.48,149.7,1.29,80.17,NA,6.03,3.45,NA,6.9,0.86,2.59,NA
edgewood,6066,17.43,3643.9,10.47,36.78,0.57,20.98,28.16,NA,5.46,1.72,6.32,NA
edmondson village,8143,19.03,4349.9,10.16,30.14,0.7,21.73,41.36,NA,2.57,NA,3.5,NA
ednor gardens-lakeside,28347,17.12,13455,8.12,31.4,1.27,16.67,44.02,NA,3.86,0.06,2.72,NA
ellwood park/monument,13948,13.07,4715.35,4.42,14.71,1.69,15.65,60.92,NA,4.03,0.37,2.62,NA
evergreen,9104,28.54,4045.2,12.68,2.82,1.57,10.34,76.49,NA,2.51,NA,6.27,NA
evergreen lawn,3282,12.38,1827.9,6.9,50.94,0.75,12.83,29.06,NA,2.64,NA,3.77,NA
evesham park,9692,32.74,4563.2,15.42,2.7,1.69,24.66,55.07,NA,12.16,0.34,3.38,NA
fairfield area,6308,18.77,3353.5,9.98,28.27,1.19,24.11,32.74,NA,11.01,0.3,2.38,NA
fairmont,7618,21.52,4563.4,12.89,45.48,6.21,12.71,22.32,NA,11.02,NA,2.26,NA
fallstaff,9000,16.1,4273.6,7.65,51.7,0.54,12.88,26.83,NA,6.8,0.18,1.07,NA
federal hill,19033,18.46,7682.1,7.45,20.37,1.75,15.42,55.87,NA,3.2,NA,3.39,NA
fells point,20309,14.54,8206.6,5.87,27.85,1.5,13.1,51.61,NA,3.51,NA,2.43,NA
forest park,5806,8.78,3634.9,5.5,70.35,1.66,14.98,6.05,NA,5.14,NA,1.82,NA
forest park golf course,8697,21.47,4441.8,10.97,42.22,3.7,13.83,31.6,NA,4.94,0.25,3.46,NA
four by four,710,7.89,390.3,4.34,74.44,NA,4.44,13.33,NA,5.56,NA,2.22,NA
frankford,38131,14.42,15239.05,5.76,41.53,1.82,18.84,31.54,0.04,4.88,0.11,1.25,NA
franklin square,16594,15.17,6728.1,6.15,37.66,1.28,18.92,34.64,NA,4.94,0.37,2.19,NA
franklintown,34660,34.11,16334.9,16.08,NA,1.38,18.31,71.75,NA,5.31,0.2,3.05,NA
franklintown road,5550,17.45,2971.5,9.34,46.86,3.46,17.61,23.58,NA,4.4,NA,4.09,NA
garwyn oaks,6027,14.38,3505.7,8.37,48.69,2.15,20.05,21.72,NA,2.63,0.48,4.3,NA
gay street,7616,12.53,4185.5,6.88,40.3,2.47,25.33,21.55,NA,7.07,NA,3.29,NA
glen,27317,19.6,13582.1,9.74,49.71,0.72,14.63,24.32,NA,8.54,NA,2.08,NA
glen oaks,22342,20.73,12155.2,11.28,26.07,1.39,15.96,48.24,NA,4.55,0.37,3.43,NA
glenham-belhar,12981,12.37,7016,6.69,59.49,0.76,20.02,13.63,NA,3.81,NA,2.29,NA
graceland park,7804,10.68,3322.6,4.55,45.83,2.33,16.69,28.04,NA,4.79,NA,2.33,NA
greektown,9905,11.81,3450.2,4.11,28.72,1.55,14.54,50.77,NA,2.26,0.24,1.91,NA
greenmount cemetery,748,12.68,198,3.36,10.17,6.78,10.17,64.41,NA,8.47,NA,NA,NA
greenmount west,8384,16.06,2733,5.24,29.69,0.96,12.45,50.57,NA,3.07,0.19,3.07,NA
greenspring,6226,10.19,3734.3,6.11,63.5,0.49,13.75,9.17,NA,8.35,NA,4.75,NA
grove park,7928,12.5,3539.74,5.58,63.56,1.26,13.09,14.2,NA,6.31,0.47,1.1,NA
guilford,68491,26.76,31705,12.39,11.14,1.99,18.41,61.51,NA,3.99,0.08,2.89,NA
gwynns falls,3430,8.91,1223.6,3.18,38.96,2.08,11.17,44.94,NA,1.56,0.52,0.78,NA
gwynns falls/leakin park,12627,31.89,4824,12.18,NA,7.83,26.01,53.28,NA,7.58,0.25,5.05,NA
hamilton hills,33837,12.91,16161.7,6.16,48.32,1.37,12.2,30.59,NA,4.31,0.46,2.75,NA
hampden,34908,18.44,16495.8,8.71,27.79,0.79,15.95,48.28,NA,5.39,0.32,1.48,NA
hanlon-longwood,22777,19.79,13121.4,11.4,42.31,2,25.72,21.29,NA,6.17,0.17,2.35,NA
harlem park,30860,15.42,14423.2,7.21,34.13,2.6,29.54,24.44,NA,7.2,0.2,1.9,NA
harwood,8137,19.06,2802.5,6.56,13.11,0.7,18.5,62.06,NA,4.92,NA,0.7,NA
hawkins point,3202,13.23,1923.8,7.95,30.17,4.13,38.84,16.53,NA,4.13,0.41,5.79,NA
heritage crossing,15027,22.39,4718.9,7.03,6.26,1.94,18.18,66.92,NA,5.66,0.15,0.89,NA
herring run park,14329,25.05,7566.8,13.23,0.17,2.97,11.71,79.02,NA,3.32,0.35,2.45,NA
highlandtown,11105,11.63,4157.7,4.35,27.12,1.78,13.61,52.04,NA,3.04,NA,2.41,NA
hillen,5519,15.86,3073.7,8.83,56.9,0.57,13.22,21.26,NA,6.61,NA,1.44,NA
hoes heights,4099,22.4,1872.6,10.23,24.04,1.64,22.95,36.61,NA,9.29,3.28,2.19,NA
holabird industrial park,11034,16.82,4688.8,7.15,0.3,0.46,28.51,62.04,NA,6.1,0.46,2.13,NA
hollins market,14550,20.21,4966.9,6.9,18.06,1.11,20.83,54.44,NA,3.75,0.42,1.39,NA
homeland,44739,28.41,26444.89,16.79,5.4,0.63,27.62,58.54,0.06,5.27,0.06,2.41,NA
hopkins bayview,7583,15.44,3165.4,6.45,13.03,2.04,24.64,53.77,NA,4.89,0.61,1.02,NA
howard park,42080,11.63,21217.15,5.86,59.41,2.21,8.54,22.19,NA,5.28,0.19,2.18,NA
hunting ridge,17352,25.08,7397.7,10.69,27.46,1.88,15.32,48.41,0.14,3.32,0.43,3.03,NA
idlewood,9313,13.76,5504.5,8.13,56.28,0.44,10.49,22.3,NA,7.83,NA,2.66,NA
inner harbor,10120,13.83,3680.3,5.03,28.55,2.73,14.21,45.22,NA,5.46,0.14,3.69,NA
irvington,17484,16.56,7508.7,7.11,35.61,1.89,16.38,40.34,NA,2.84,0.47,2.46,NA
johns hopkins homewood,10361,25.33,5485.2,13.41,15.65,0.98,23.47,50.61,NA,7.33,0.49,1.47,NA
johnston square,6954,8.49,3111.2,3.8,63.37,1.59,9.89,19.41,NA,4.15,0.24,1.34,NA
jones falls area,446,18.58,251.2,10.47,NA,4.17,29.17,62.5,NA,NA,4.17,NA,NA
jonestown,8834,11.41,3712.35,4.8,41.73,0.78,10.59,43.02,NA,1.81,NA,2.07,NA
kenilworth park,2246,8.35,1784.29,6.63,66.91,0.37,14.5,10.04,NA,6.69,NA,1.49,NA
kernewood,4454,15.68,2210.67,7.78,35.56,0.7,18.31,34.15,NA,8.8,0.35,2.11,NA
keswick,7964,33.6,3581.4,15.11,5.06,0.84,21.52,66.24,NA,5.06,NA,1.27,NA
kresson,1646,9.14,947.9,5.27,65.56,1.11,15.56,8.33,NA,6.11,0.56,2.78,NA
lake evesham,2822,15.77,1667.5,9.32,10.06,2.23,22.35,58.1,NA,6.7,NA,0.56,NA
lake walker,10877,23.65,5236,11.38,30.65,0.22,10.22,53.48,NA,3.48,NA,1.96,NA
lakeland,8187,24.59,3221.8,9.68,23.42,5.71,23.42,40.84,NA,5.11,NA,1.5,NA
langston hughes,2038,6.51,1306.1,4.17,77.96,0.32,6.07,3.51,NA,9.58,0.32,2.24,NA
lauraville,21559,17.15,10437.2,8.3,41.13,0.56,12.57,39.78,NA,3.42,0.16,2.39,NA
levindale,5961,19.11,2625.8,8.42,32.37,0.96,17.95,40.38,NA,7.05,NA,1.28,NA
liberty square,3548,14.54,1767.7,7.24,47.54,2.87,11.48,29.51,NA,5.33,0.41,2.87,NA
little italy,2765,8.89,1041,3.35,56.27,0.32,7.72,33.12,NA,1.61,NA,0.96,NA
loch raven,12601,13.06,8427,8.73,52.95,0.62,12.44,25.08,NA,4.04,0.1,4.77,NA
locust point,10414,14.05,4850.4,6.55,28.74,1.08,11.2,56.01,NA,2.02,NA,0.94,NA
locust point industrial area,5166,13.21,1865.4,4.77,18.67,2.05,8.95,61.13,NA,7.42,NA,1.79,NA
lower edmondson village,794,12.81,526.5,8.49,54.84,NA,22.58,12.9,NA,6.45,NA,3.23,NA
lower herring run park,9449,19.69,3547.3,7.39,0.42,5.21,16.04,71.46,NA,5,NA,1.88,NA
loyola/notre dame,1289,33.05,653,16.74,NA,7.69,30.77,53.85,NA,5.13,NA,2.56,NA
lucille park,3691,13.52,1786.4,6.54,42.49,1.47,26.74,13.55,NA,10.99,NA,4.76,NA
madison park,18466,19.62,7678.9,8.16,25.72,0.64,30.82,34.96,NA,6.16,0.11,1.59,NA
madison-eastend,6477,11.59,2033.3,3.64,16.28,0.72,11.99,64.76,NA,3.94,0.18,2.15,NA
mayfield,11863,19.67,6038.2,10.01,26.37,0.83,16.42,46.6,NA,4.98,0.17,4.64,NA
mcelderry park,13793,14.64,4848.8,5.15,16.03,1.49,16.77,59.55,NA,3.4,0.42,2.34,NA
medfield,7890,20.55,3612.9,9.41,34.38,1.04,13.02,45.57,NA,4.17,NA,1.82,NA
medford,3031,11.39,1875.5,7.05,48.87,1.88,21.05,19.55,NA,4.51,0.38,3.76,NA
mid-govans,5887,11.39,2845.5,5.5,29.21,0.39,6,60.54,NA,2.71,0.19,0.97,NA
mid-town belvedere,27528,22.6,8298.8,6.81,8.54,2.46,14.37,64.94,NA,6.08,1.07,2.55,NA
middle branch/reedbird parks,25522,17.06,9979.11,6.67,1.67,5.68,16.91,69.18,NA,5.68,0.07,0.8,NA
middle east,10760,10.87,3173.7,3.21,34.14,1.52,11.82,45.45,NA,4.85,NA,2.22,NA
midtown-edmondson,6422,10.6,2567.3,4.24,53.14,1.98,12.87,27.23,NA,3.63,NA,1.16,NA
millhill,4217,14.34,1646.9,5.6,45.58,1.7,14.29,31.29,NA,4.42,0.34,2.38,NA
milton-montford,4442,11.36,1108.2,2.83,24.55,0.77,13.04,58.82,NA,2.05,NA,0.77,NA
mondawmin,11512,11.18,5435.9,5.28,43.69,1.26,11.36,37.28,NA,4.17,0.1,2.14,NA
montebello,6846,14.38,3245.1,6.82,42.44,0.84,13.66,37.18,NA,3.36,0.42,2.1,NA
moravia-walther,5409,17.45,2885.3,9.31,25.48,0.32,11.94,54.52,NA,1.61,NA,6.13,NA
morgan park,3896,23.47,2023.9,12.19,30.72,NA,15.06,42.17,NA,9.64,NA,2.41,NA
morgan state university,4844,15.58,2229.7,7.17,31.51,2.25,10.93,49.2,NA,2.25,1.29,2.57,NA
morrell park,15297,12.3,6881.9,5.53,51.61,1.61,9.16,30.31,NA,4.5,0.32,2.49,NA
mosher,6270,14.06,3325,7.46,55.83,1.57,13.23,26.68,NA,1.79,0.22,0.67,NA
mount holly,3330,8.26,2245.3,5.57,72.95,1.49,8.19,11.91,NA,4.47,NA,0.99,NA
mount vernon,25306,18.36,8686.99,6.3,19.01,2.47,7.76,62.41,NA,6.53,0.36,1.45,NA
mount washington,64321,28.74,26821.7,11.98,21.89,2.23,22.61,41.15,NA,9.56,0.04,2.5,NA
mount winans,3955,27.85,1609.2,11.33,11.27,11.97,16.2,49.3,NA,6.34,NA,4.93,NA
mt pleasant park,4265,18.3,1962.2,8.42,3,6.01,24.03,51.07,NA,7.3,0.43,8.15,NA
new northwood,9700,14.14,5631.5,8.21,21.72,1.6,17.49,51.17,0.15,5.39,NA,2.48,NA
new southwest/mount clare,8030,12.37,2801.7,4.32,34.98,2.31,11.09,47.15,NA,2.62,0.31,1.54,NA
north harford road,16440,11.74,8209.7,5.86,60.29,0.93,10,22.64,NA,4,0.07,2.07,NA
north roland park/poplar hill,12599,35.49,5474.3,15.42,2.25,0.85,17.18,70.42,NA,6.2,NA,3.1,NA
northwest community action,4897,11.03,2584.9,5.82,58.78,0.68,6.76,27.7,NA,2.93,NA,3.15,NA
o'donnell heights,758,9.24,118.7,1.45,35.37,1.22,13.41,46.34,NA,3.66,NA,NA,NA
oakenshawe,12040,23.24,5294.8,10.22,8.3,2.9,30.89,48.46,NA,6.76,0.19,2.51,NA
oaklee,389,6.38,239.5,3.93,67.21,1.64,8.2,14.75,NA,3.28,NA,4.92,NA
old goucher,7025,19.04,2344.7,6.35,2.98,1.63,29.54,60.16,NA,4.61,NA,1.08,NA
oldtown,8227,11.77,4355.9,6.23,46.64,1.29,16.45,26.47,NA,6.01,0.29,2.86,NA
oliver,18467,12.1,8718.7,5.71,31.98,1.11,15.53,39.97,NA,6.42,0.13,4.85,NA
orangeville,3908,14.06,1906.8,6.86,35.61,1.8,16.91,34.53,NA,9.35,NA,1.8,NA
orangeville industrial area,3038,14.33,1155.3,5.45,14.62,1.89,13.68,59.91,NA,3.77,NA,6.13,NA
orchard ridge,5397,12.58,1555.9,3.63,32.4,1.86,17.95,41.72,NA,5.13,NA,0.93,NA
original northwood,11121,28.3,5304.8,13.5,9.92,2.54,13.99,65.14,NA,3.56,NA,4.83,NA
otterbein,9989,19.21,3795.8,7.3,22.88,2.69,13.85,54.81,NA,3.27,NA,2.5,NA
overlea,8035,27.8,3828.1,13.25,24.22,0.69,20.42,42.21,NA,6.57,NA,5.88,NA
panway/braddish avenue,4439,14.85,2731.3,9.13,51.17,0.33,14.72,27.09,NA,3.34,NA,3.34,NA
park circle,11663,14.1,5963.6,7.21,51.15,0.73,12.33,26.24,NA,6.53,NA,3.02,NA
parklane,8358,30.28,3387.1,12.27,23.91,9.06,23.55,31.52,NA,8.7,NA,3.26,NA
parkside,508,2.34,207.5,0.96,80.18,1.38,8.29,7.83,NA,1.38,NA,0.92,NA
parkview/woodbrook,10686,15.88,5307.5,7.89,26.45,1.34,15.6,49.48,NA,4.9,0.3,1.93,NA
patterson park,47470,23.49,26134.3,12.93,4.65,2.13,12.07,74.07,NA,4.85,0.05,2.18,NA
patterson park neighborhood,18074,13.7,6246.8,4.74,14.63,1.21,13.42,67.93,NA,1.97,0.08,0.76,NA
patterson place,4755,17.35,1597,5.83,10.58,1.09,23.72,59.12,NA,4.74,NA,0.73,NA
pen lucy,2528,9.13,1346.41,4.86,55.6,1.08,6.86,31.05,NA,2.89,NA,2.53,NA
penn north,5853,11.75,2768.2,5.56,42.97,0.4,13.45,35.74,NA,3.82,0.2,3.41,NA
penn-fallsway,2308,5.53,1325.295,3.18,69.3,0.72,6,19.42,NA,2.64,NA,1.92,NA
penrose/fayette street outreach,8181,10.48,3373.6,4.32,57.36,1.28,14.72,22.41,NA,2.69,0.51,1.02,NA
perkins homes,2774,14.45,1217.5,6.34,20.31,4.69,21.35,38.02,NA,11.98,0.52,3.12,NA
perring loch,10020,11.44,6108.9,6.97,61.3,0.68,9.36,22.72,0.11,3.54,NA,2.28,NA
pimlico good neighbors,4973,18.49,2168.3,8.06,27.51,1.12,14.87,46.47,NA,8.55,NA,1.49,NA
pleasant view gardens,1175,7.63,518.2,3.36,51.95,0.65,6.49,33.12,NA,3.9,0.65,3.25,NA
poppleton,16427,15.44,5631.5,5.29,39.94,0.94,12.59,42.2,NA,3.57,NA,0.75,NA
port covington,2361,12.43,1151.6,6.06,4.21,1.05,19.47,68.95,NA,1.58,0.53,4.21,NA
pulaski industrial area,12161,11.45,5428.7,5.11,46.89,1.41,21.56,24.01,NA,5.08,0.09,0.94,NA
purnell,249,31.12,70,8.75,12.5,NA,37.5,50,NA,NA,NA,NA,NA
radnor-winston,5296,21.18,2932.5,11.73,16.8,2,28.8,38,NA,9.6,NA,4.8,NA
ramblewood,8131,12.21,5406.8,8.12,47.3,0.3,12.01,32.28,NA,2.55,0.15,5.41,NA
reisterstown station,5683,17.98,2564.7,8.12,46.84,0.63,9.18,32.59,NA,7.59,NA,3.16,NA
remington,19750,18.46,7162.3,6.69,34.49,0.84,11.5,46.17,NA,5.14,0.19,1.68,NA
reservoir hill,32941,19.37,14646.8,8.61,9.99,1.41,17.52,60.44,NA,7.52,0.12,3,NA
richnor springs,197,11.59,150.4,8.85,52.94,NA,17.65,23.53,NA,5.88,NA,NA,NA
ridgely's delight,11294,23.73,4978.85,10.46,9.45,0.42,12.82,71.01,NA,2.94,0.42,2.94,NA
riverside,35346,16.61,15275.15,7.18,25.56,1.64,20.72,45.86,NA,4.23,NA,1.97,NA
rognel heights,8809,15.79,5316.6,9.53,41.76,1.25,17.38,30.11,NA,4.12,1.08,4.3,NA
roland park,104372,30.86,45871.73,13.56,7.36,2.96,15.79,66.35,0.06,3.9,0.03,3.55,NA
rosebank,3000,20.55,1680.8,11.51,21.92,0.68,25.34,44.52,NA,5.48,NA,2.05,NA
rosemont,11558,16.12,5927.8,8.27,59.14,1.12,12.13,23.15,NA,1.95,NA,2.51,NA
rosemont east,10993,25.57,5260.7,12.23,37.44,3.49,22.79,26.51,NA,6.74,1.16,1.86,NA
rosemont homeowners/tenants,1655,5.91,855.5,3.06,75.36,NA,7.5,12.86,NA,2.86,0.36,1.07,NA
sabina-mattfeldt,5435,28.16,2217.63,11.49,6.22,3.63,25.91,56.48,NA,6.74,NA,1.04,NA
saint agnes,2373,36.51,1033.8,15.9,10.77,15.38,13.85,40,NA,12.31,NA,7.69,NA
saint helena,678,9.55,369.6,5.21,64.79,2.82,8.45,12.68,NA,8.45,NA,2.82,NA
saint josephs,3454,7.73,1838.6,4.11,71.81,0.67,13.65,10.07,NA,2.01,0.22,1.57,NA
saint paul,1015,13.53,334.6,4.46,6.67,NA,26.67,57.33,NA,9.33,NA,NA,NA
sandtown-winchester,27585,12.18,11649.8,5.15,41.12,1.19,34.72,11.4,NA,8.39,0.62,2.56,NA
seton business park,3869,29.31,1631.1,12.36,13.64,1.52,12.12,67.42,NA,5.3,NA,NA,NA
seton hill,13908,22.32,6861.4,11.01,18.3,0.96,18.46,45.43,NA,13.32,0.32,3.21,NA
sharp-leadenhall,9048,17.74,3444.8,6.75,15.29,2.16,17.65,58.63,NA,4.51,NA,1.76,NA
shipley hill,6274,11.37,2056.8,3.73,44.02,1.99,9.6,40.76,NA,2.54,0.18,0.91,NA
south baltimore,10014,12.33,3492.5,4.3,39.04,1.85,16.13,37.32,NA,3.33,NA,2.34,NA
south clifton park,2809,10.64,1226.8,4.65,54.55,0.76,12.88,24.24,NA,6.06,NA,1.52,NA
spring garden industrial area,718,13.81,251.4,4.83,38.46,3.85,9.62,44.23,NA,1.92,NA,1.92,NA
stadium area,2628,19.61,1059.5,7.91,20.15,2.24,6.72,70.9,NA,NA,NA,NA,NA
stonewood-pentwood-winston,2375,16.61,1731.5,12.11,45.45,4.9,16.78,16.08,NA,9.79,NA,6.99,NA
taylor heights,460,28.75,169.7,10.61,NA,6.25,25,68.75,NA,NA,NA,NA,NA
ten hills,12737,20.35,6054.9,9.67,42.81,1.28,13.74,34.66,NA,2.24,0.16,5.11,NA
the orchards,9466,20.76,5348.7,11.73,19.52,0.22,26.32,48.68,NA,3.95,NA,1.32,NA
towanda-grantley,3252,12.18,1951.4,7.31,61.8,0.37,10.11,16.85,NA,7.87,NA,3,NA
tremont,1979,16.09,954.3,7.76,52.85,NA,13.01,26.02,NA,2.44,NA,5.69,NA
tuscany-canterbury,10197,22.22,4681.1,10.2,20.7,0.87,15.25,56.64,NA,3.92,NA,2.61,NA
union square,12000,21.24,4435.5,7.85,12.04,1.77,14.16,64.42,NA,3.72,0.35,3.54,NA
university of maryland,12357,18.61,4285.6,6.45,20.93,0.9,20.48,51.05,NA,4.52,NA,2.11,NA
uplands,8195,18.46,2236.26,5.04,10.59,1.13,10.81,73.65,NA,1.35,0.23,2.25,NA
upper fells point,18826,20.73,6918.6,7.62,18.28,0.55,14.1,60.79,NA,3.3,0.33,2.64,NA
upton,19887,12.65,9076.8,5.77,47.39,1.4,29.64,10.94,NA,8.78,0.06,1.78,NA
violetville,13369,19.02,6694.8,9.52,41.68,2.7,13.37,29.73,NA,7.82,0.43,4.27,NA
wakefield,981,30.66,371.1,11.6,3.12,NA,21.88,71.88,NA,3.12,NA,NA,NA
