nbrdesc,absent_all,stump_all,dead_all,poor_all,fair_all,good_all,sprouts_all,n/a_all,absent_filled,stump_filled,dead_filled,poor_filled,fair_filled,good_filled,sprouts_filled,n/a_filled
pen lucy,55.6,2.53,1.08,2.89,6.86,31.05,NA,NA,49.17,2.89,1.24,3.31,7.85,35.54,NA,NA
penn north,42.97,3.41,0.4,3.82,13.45,35.74,0.2,NA,12.88,5.21,0.61,5.83,20.55,54.6,0.31,NA
penn-fallsway,69.3,1.92,0.72,2.64,6,19.42,NA,NA,18.47,5.1,1.91,7.01,15.92,51.59,NA,NA
penrose/fayette street outreach,57.36,1.02,1.28,2.69,14.72,22.41,0.51,NA,29.6,1.69,2.11,4.44,24.31,37,0.85,NA
perkins homes,20.31,3.12,4.69,11.98,21.35,38.02,0.52,NA,15.47,3.31,4.97,12.71,22.65,40.33,0.55,NA
perring loch,61.3,2.28,0.68,3.54,9.36,22.72,NA,0.11,61.3,2.28,0.68,3.54,9.36,22.72,NA,0.11
pimlico good neighbors,27.51,1.49,1.12,8.55,14.87,46.47,NA,NA,24.12,1.56,1.17,8.95,15.56,48.64,NA,NA
pleasant view gardens,51.95,3.25,0.65,3.9,6.49,33.12,0.65,NA,26,5,1,6,10,51,1,NA
poppleton,39.94,0.75,0.94,3.57,12.59,42.2,NA,NA,9.36,1.13,1.42,5.39,19.01,63.69,NA,NA
port covington,4.21,4.21,1.05,1.58,19.47,68.95,0.53,NA,2.15,4.3,1.08,1.61,19.89,70.43,0.54,NA
pulaski industrial area,46.89,0.94,1.41,5.08,21.56,24.01,0.09,NA,40.13,1.06,1.59,5.73,24.31,27.07,0.11,NA
purnell,12.5,NA,NA,NA,37.5,50,NA,NA,12.5,NA,NA,NA,37.5,50,NA,NA
radnor-winston,16.8,4.8,2,9.6,28.8,38,NA,NA,16.8,4.8,2,9.6,28.8,38,NA,NA
ramblewood,47.3,5.41,0.3,2.55,12.01,32.28,0.15,NA,47.06,5.43,0.3,2.56,12.07,32.43,0.15,NA
reisterstown station,46.84,3.16,0.63,7.59,9.18,32.59,NA,NA,44.19,3.32,0.66,7.97,9.63,34.22,NA,NA
remington,34.49,1.68,0.84,5.14,11.5,46.17,0.19,NA,13.99,2.21,1.1,6.75,15.09,60.61,0.25,NA
reservoir hill,9.99,3,1.41,7.52,17.52,60.44,0.12,NA,4.43,3.18,1.5,7.99,18.6,64.17,0.12,NA
richnor springs,52.94,NA,NA,5.88,17.65,23.53,NA,NA,52.94,NA,NA,5.88,17.65,23.53,NA,NA
ridgely's delight,9.45,2.94,0.42,2.94,12.82,71.01,0.42,NA,2.71,3.16,0.45,3.16,13.77,76.3,0.45,NA
riverside,25.56,1.97,1.64,4.23,20.72,45.86,NA,NA,5.38,2.51,2.09,5.38,26.34,58.3,NA,NA
rognel heights,41.76,4.3,1.25,4.12,17.38,30.11,1.08,NA,41.02,4.36,1.27,4.17,17.6,30.49,1.09,NA
roland park,7.36,3.55,2.96,3.9,15.79,66.35,0.03,0.06,7.01,3.56,2.97,3.92,15.85,66.61,0.03,0.06
rosebank,21.92,2.05,0.68,5.48,25.34,44.52,NA,NA,4.2,2.52,0.84,6.72,31.09,54.62,NA,NA
rosemont,59.14,2.51,1.12,1.95,12.13,23.15,NA,NA,56.4,2.68,1.19,2.08,12.95,24.7,NA,NA
rosemont east,37.44,1.86,3.49,6.74,22.79,26.51,1.16,NA,36.85,1.88,3.52,6.81,23,26.76,1.17,NA
rosemont homeowners/tenants,75.36,1.07,NA,2.86,7.5,12.86,0.36,NA,50.71,2.14,NA,5.71,15,25.71,0.71,NA
sabina-mattfeldt,6.22,1.04,3.63,6.74,25.91,56.48,NA,NA,6.22,1.04,3.63,6.74,25.91,56.48,NA,NA
saint agnes,10.77,7.69,15.38,12.31,13.85,40,NA,NA,4.92,8.2,16.39,13.11,14.75,42.62,NA,NA
saint helena,64.79,2.82,2.82,8.45,8.45,12.68,NA,NA,64.79,2.82,2.82,8.45,8.45,12.68,NA,NA
saint josephs,71.81,1.57,0.67,2.01,13.65,10.07,0.22,NA,67.77,1.79,0.77,2.3,15.6,11.51,0.26,NA
saint paul,6.67,NA,NA,9.33,26.67,57.33,NA,NA,5.41,NA,NA,9.46,27.03,58.11,NA,NA
sandtown-winchester,41.12,2.56,1.19,8.39,34.72,11.4,0.62,NA,13.1,3.78,1.76,12.39,51.24,16.82,0.91,NA
seton business park,13.64,NA,1.52,5.3,12.12,67.42,NA,NA,13.64,NA,1.52,5.3,12.12,67.42,NA,NA
seton hill,18.3,3.21,0.96,13.32,18.46,45.43,0.32,NA,9.91,3.54,1.06,14.69,20.35,50.09,0.35,NA
sharp-leadenhall,15.29,1.76,2.16,4.51,17.65,58.63,NA,NA,5.05,1.98,2.42,5.05,19.78,65.71,NA,NA
shipley hill,44.02,0.91,1.99,2.54,9.6,40.76,0.18,NA,12.71,1.41,3.11,3.95,14.97,63.56,0.28,NA
south baltimore,39.04,2.34,1.85,3.33,16.13,37.32,NA,NA,7.82,3.54,2.79,5.03,24.39,56.42,NA,NA
south clifton park,54.55,1.52,0.76,6.06,12.88,24.24,NA,NA,29.82,2.34,1.17,9.36,19.88,37.43,NA,NA
spring garden industrial area,38.46,1.92,3.85,1.92,9.62,44.23,NA,NA,13.51,2.7,5.41,2.7,13.51,62.16,NA,NA
stadium area,20.15,NA,2.24,NA,6.72,70.9,NA,NA,17.05,NA,2.33,NA,6.98,73.64,NA,NA
stonewood-pentwood-winston,45.45,6.99,4.9,9.79,16.78,16.08,NA,NA,43.88,7.19,5.04,10.07,17.27,16.55,NA,NA
taylor heights,NA,NA,6.25,NA,25,68.75,NA,NA,NA,NA,6.25,NA,25,68.75,NA,NA
ten hills,42.81,5.11,1.28,2.24,13.74,34.66,0.16,NA,42.81,5.11,1.28,2.24,13.74,34.66,0.16,NA
the orchards,19.52,1.32,0.22,3.95,26.32,48.68,NA,NA,19.52,1.32,0.22,3.95,26.32,48.68,NA,NA
towanda-grantley,61.8,3,0.37,7.87,10.11,16.85,NA,NA,54.5,3.6,0.45,9.46,11.71,20.27,NA,NA
tremont,52.85,5.69,NA,2.44,13.01,26.02,NA,NA,49.57,6.09,NA,2.61,13.91,27.83,NA,NA
tuscany-canterbury,20.7,2.61,0.87,3.92,15.25,56.64,NA,NA,14.55,2.82,0.94,4.23,16.43,61.03,NA,NA
union square,12.04,3.54,1.77,3.72,14.16,64.42,0.35,NA,8.13,3.7,1.85,3.88,14.79,67.28,0.37,NA
university of maryland,20.93,2.11,0.9,4.52,20.48,51.05,NA,NA,3.49,2.57,1.1,5.51,25,62.32,NA,NA
uplands,10.59,2.25,1.13,1.35,10.81,73.65,0.23,NA,9.15,2.29,1.14,1.37,10.98,74.83,0.23,NA
upper fells point,18.28,2.64,0.55,3.3,14.1,60.79,0.33,NA,4.26,3.1,0.65,3.87,16.52,71.23,0.39,NA
upton,47.39,1.78,1.4,8.78,29.64,10.94,0.06,NA,19.24,2.73,2.15,13.48,45.51,16.8,0.1,NA
violetville,41.68,4.27,2.7,7.82,13.37,29.73,0.43,NA,41.68,4.27,2.7,7.82,13.37,29.73,0.43,NA
wakefield,3.12,NA,NA,3.12,21.88,71.88,NA,NA,3.12,NA,NA,3.12,21.88,71.88,NA,NA
walbrook,51.38,3.56,0.23,4.47,11.35,28.9,0.11,NA,49.04,3.73,0.24,4.69,11.9,30.29,0.12,NA
waltherson,53.93,2.7,1.12,5.99,16.63,19.4,0.22,NA,51.46,2.84,1.18,6.31,17.52,20.44,0.24,NA
washington hill,33.24,1.96,1.67,4.41,20.98,37.65,0.1,NA,6.07,2.76,2.34,6.21,29.52,52.97,0.14,NA
washington village/pigtown,26.22,3.17,3.1,2.41,8.23,56.81,0.06,NA,10.04,3.86,3.78,2.93,10.04,69.27,0.08,NA
waverly,37.81,3.36,0.35,5.65,19.08,33.39,0.35,NA,34.94,3.51,0.37,5.91,19.96,34.94,0.37,NA
west arlington,73.73,1.15,0.57,9.46,8.31,6.78,NA,NA,73.43,1.16,0.58,9.57,8.41,6.86,NA,NA
west forest park,47.53,4.11,2.47,9.38,20.23,16.28,NA,NA,46.48,4.19,2.52,9.56,20.64,16.61,NA,NA
west hills,39.44,3.66,2.16,3.45,13.15,38.15,NA,NA,38.51,3.72,2.19,3.5,13.35,38.73,NA,NA
westfield,62.05,0.94,1.05,3.67,10.8,21.28,0.21,NA,60.04,0.99,1.1,3.86,11.37,22.41,0.22,NA
westgate,36.29,3.55,1.61,4.03,17.9,36.61,NA,NA,34.71,3.64,1.65,4.13,18.35,37.52,NA,NA
westport,25.5,1.68,5.65,5.8,22.9,38.47,NA,NA,18.53,1.84,6.18,6.34,25.04,42.07,NA,NA
wilhelm park,24,2,NA,2,20,49,3,NA,22.45,2.04,NA,2.04,20.41,50,3.06,NA
wilson park,24.51,5.88,0.98,10.78,23.53,34.31,NA,NA,10.47,6.98,1.16,12.79,27.91,40.7,NA,NA
winchester,65.74,1.2,0.8,3.19,10.36,18.73,NA,NA,56.12,1.53,1.02,4.08,13.27,23.98,NA,NA
windsor hills,53.75,4.39,1.1,4.39,15.36,20.84,0.18,NA,53.58,4.4,1.1,4.4,15.41,20.92,0.18,NA
winston-govans,68.52,1.23,NA,5.56,10.49,14.2,NA,NA,68.32,1.24,NA,5.59,10.56,14.29,NA,NA
woodberry,16.33,1.46,1.17,3.21,11.08,66.18,0.58,NA,9.18,1.58,1.27,3.48,12.03,71.84,0.63,NA
woodbourne heights,43.54,4.6,1.24,2.48,10.27,37.7,0.18,NA,43.24,4.63,1.25,2.49,10.32,37.9,0.18,NA
woodbourne-mccabe,46.15,8.79,1.1,7.69,19.78,15.38,1.1,NA,40.24,9.76,1.22,8.54,21.95,17.07,1.22,NA
woodmere,67.44,3.1,0.19,5.04,14.92,9.3,NA,NA,63.16,3.51,0.22,5.7,16.89,10.53,NA,NA
wrenlane,42.31,11.54,NA,NA,15.38,30.77,NA,NA,34.78,13.04,NA,NA,17.39,34.78,NA,NA
wyman park,14,0.82,1.32,6.26,17.96,59.47,0.16,NA,9.38,0.87,1.39,6.6,18.92,62.67,0.17,NA
wyndhurst,12.07,5.32,0.86,1.01,8.91,71.84,NA,NA,7.97,5.56,0.9,1.05,9.32,75.19,NA,NA
yale heights,63.12,2.17,0.79,3.35,11.83,18.74,NA,NA,63.12,2.17,0.79,3.35,11.83,18.74,NA,NA
york-homeland,7.14,NA,NA,7.14,28.57,57.14,NA,NA,NA,NA,NA,7.69,30.77,61.54,NA,NA
NA,61.54,7.69,NA,7.69,15.38,7.69,NA,NA,61.54,7.69,NA,7.69,15.38,7.69,NA,NA
