nbrdesc,combined_ht_all,avg_ht_all,combined_diam_all,avg_diam_all,absent_all,stump_all,dead_all,poor_all,fair_all,good_all,sprouts_all,n/a_all,combined_ht_filled,avg_ht_filled,combined_diam_filled,avg_diam_filled,absent_filled,stump_filled,dead_filled,poor_filled,fair_filled,good_filled,sprouts_filled,n/a_filled
cameron village,3501,10.45,2295.3,6.85,68.36,3.58,0.6,2.69,6.87,17.91,NA,NA,3501,10.45,2295.3,6.85,67.68,3.66,0.61,2.74,7.01,18.29,NA,NA
canton,62178,15.05,25118.9,6.08,27.76,3.07,1.14,4.65,21.39,41.94,0.05,NA,62178,15.05,25118.9,6.08,6.46,3.98,1.47,6.02,27.7,54.31,0.06,NA
canton industrial area,3626,8.13,1181.5,2.65,48.88,0.22,0.9,3.14,15.92,30.72,0.22,NA,3626,8.13,1181.5,2.65,39.36,0.27,1.06,3.72,18.88,36.44,0.27,NA
care,7276,13.38,2315.37,4.26,23.35,1.84,1.47,5.51,23.35,44.3,0.18,NA,7276,13.38,2315.37,4.26,9.35,2.17,1.74,6.52,27.61,52.39,0.22,NA
carroll - camden industrial area,15688,16.29,5313.23,5.52,24.09,1.66,1.45,2.18,13.19,57.22,0.21,NA,15688,16.29,5313.23,5.52,11.5,1.94,1.69,2.54,15.38,66.71,0.24,NA
carroll park,25284,25.77,13127.8,13.38,7.75,1.33,2.85,4.69,12.84,70.34,0.2,NA,25284,25.77,13127.8,13.38,5.63,1.36,2.92,4.8,13.14,71.95,0.21,NA
carroll-south hilton,7822,12,2900.1,4.45,37.88,0.92,2.76,0.92,10.89,46.47,0.15,NA,7822,12,2900.1,4.45,28.57,1.06,3.17,1.06,12.52,53.44,0.18,NA
carrollton ridge,9366,8.61,2894.9,2.66,51.65,1.38,1.1,2.3,11.31,31.53,0.74,NA,9366,8.61,2894.9,2.66,20.9,2.26,1.8,3.76,18.5,51.58,1.2,NA
cedarcroft,12105,30.41,6222.9,15.64,12.81,1.26,0.5,7.54,21.36,56.53,NA,NA,12105,30.41,6222.9,15.64,12.59,1.26,0.5,7.56,21.41,56.68,NA,NA
cedmont,6994,13.74,4310.4,8.47,51.08,3.93,1.18,6.29,15.52,22,NA,NA,6994,13.74,4310.4,8.47,48.02,4.18,1.25,6.68,16.49,23.38,NA,NA
cedonia,8479,20.24,3019,7.21,18.62,1.19,0.95,3.82,19.81,55.61,NA,NA,8479,20.24,3019,7.21,18.62,1.19,0.95,3.82,19.81,55.61,NA,NA
central forest park,3716,6.71,1813.4,3.27,81.95,0.72,0.18,2.71,4.33,9.21,0.9,NA,3716,6.71,1813.4,3.27,81.68,0.73,0.18,2.75,4.4,9.34,0.92,NA
central park heights,17709,9.71,9351.7,5.13,61.11,2.3,1.54,8.17,13.33,13.55,NA,NA,17709,9.71,9351.7,5.13,50.9,2.91,1.94,10.32,16.83,17.11,NA,NA
charles north,7441,15.15,2743.8,5.59,22.81,2.24,4.07,7.74,16.29,46.44,0.41,NA,7441,15.15,2743.8,5.59,4.77,2.76,5.03,9.55,20.1,57.29,0.5,NA
charles village,33118,20.62,11661.1,7.26,8.78,1.99,1.56,4.36,34.81,48.38,0.06,0.06,33118,20.62,11661.1,7.26,4.12,2.09,1.64,4.58,36.58,50.85,0.07,0.07
cherry hill,10804,12.73,5397.1,6.36,47.59,1.53,1.65,3.53,13.9,31.57,0.24,NA,10804,12.73,5397.1,6.36,46.71,1.56,1.68,3.59,14.13,32.1,0.24,NA
cheswolde,31780,31.88,12711.5,12.75,26.28,3.01,1.3,9.43,23.07,36.51,0.4,NA,31780,31.88,12711.5,12.75,26.28,3.01,1.3,9.43,23.07,36.51,0.4,NA
chinquapin park,4854,13.34,2779.3,7.64,50,2.47,0.55,1.65,15.38,29.67,0.27,NA,4854,13.34,2779.3,7.64,49.72,2.49,0.55,1.66,15.47,29.83,0.28,NA
clifton park,39346,21.81,19155.9,10.62,1.61,5.76,2.44,4.32,30.71,53.66,1.5,NA,39346,21.81,19155.9,10.62,1.61,5.76,2.44,4.32,30.71,53.66,1.5,NA
coldspring,27980,24.98,12847.5,11.47,6.96,2.05,1.7,4.91,16.52,67.59,0.27,NA,27980,24.98,12847.5,11.47,6.96,2.05,1.7,4.91,16.52,67.59,0.27,NA
coldstream homestead montebello,19589,9.37,11438.63,5.47,56.99,1.82,1.1,5.55,17.99,16.17,0.38,NA,19589,9.37,11438.63,5.47,45.32,2.31,1.4,7.06,22.87,20.56,0.49,NA
concerned citizens of forest park,2640,7.93,1609.7,4.83,74.77,1.8,1.5,3.3,8.41,9.91,0.3,NA,2640,7.93,1609.7,4.83,72.19,1.99,1.66,3.64,9.27,10.93,0.33,NA
coppin heights/ash-co-east,9712,13.49,4446.5,6.18,38.06,2.22,1.39,4.31,14.17,39.17,0.69,NA,9712,13.49,4446.5,6.18,25.42,2.68,1.67,5.18,17.06,47.16,0.84,NA
cross country,25047,23.61,12129.3,11.43,40.15,4.52,0.66,10.56,21.02,22.9,0.19,NA,25047,23.61,12129.3,11.43,39.87,4.55,0.66,10.61,21.12,23.01,0.19,NA
cross keys,2520,19.53,1428.6,11.07,1.55,1.55,2.33,9.3,35.66,49.61,NA,NA,2520,19.53,1428.6,11.07,1.55,1.55,2.33,9.3,35.66,49.61,NA,NA
curtis bay,10353,12.94,5413.7,6.77,49.25,2.5,0.75,4.62,14.62,28,0.25,NA,10353,12.94,5413.7,6.77,33.66,3.27,0.98,6.05,19.12,36.6,0.33,NA
curtis bay industrial area,40,0.7,46.7,0.82,96.49,1.75,NA,NA,1.75,NA,NA,NA,40,0.7,46.7,0.82,NA,50,NA,NA,50,NA,NA,NA
cylburn,7118,10.35,3587.1,5.21,69.48,1.6,0.58,3.92,9.45,14.97,NA,NA,7118,10.35,3587.1,5.21,68.84,1.63,0.59,4.01,9.64,15.28,NA,NA
darley park,2987,13.52,1349.3,6.11,37.1,3.17,0.45,2.71,22.17,33.48,0.9,NA,2987,13.52,1349.3,6.11,20.11,4.02,0.57,3.45,28.16,42.53,1.15,NA
dickeyville,1193,29.82,582,14.55,NA,7.5,15,5,27.5,45,NA,NA,1193,29.82,582,14.55,NA,7.5,15,5,27.5,45,NA,NA
dolfield,6503,10.97,3568.5,6.02,66.44,2.53,0.17,7.76,9.78,13.15,0.17,NA,6503,10.97,3568.5,6.02,63.62,2.74,0.18,8.41,10.6,14.26,0.18,NA
dorchester,6179,10.92,3056.15,5.4,71.73,3,0.35,6.71,10.78,7.24,0.18,NA,6179,10.92,3056.15,5.4,71.58,3.02,0.36,6.75,10.83,7.28,0.18,NA
downtown,21785,11.4,7031.9,3.68,46,1.99,2.93,3.92,8.37,36.68,0.1,NA,21785,11.4,7031.9,3.68,8.02,3.39,4.99,6.68,14.26,62.48,0.18,NA
downtown west,2712,8.02,828.5,2.45,60.95,0.3,2.37,5.62,7.99,22.78,NA,NA,2712,8.02,828.5,2.45,6.38,0.71,5.67,13.48,19.15,54.61,NA,NA
druid heights,8816,14.04,3879.1,6.18,26.91,2.87,1.91,10.67,47.77,9.87,NA,NA,8816,14.04,3879.1,6.18,8.75,3.58,2.39,13.32,59.64,12.33,NA,NA
druid hill park,119992,32.83,63661.525,17.42,0.44,3.5,3.5,5.99,21.29,65.03,0.25,NA,119992,32.83,63661.525,17.42,0.44,3.5,3.5,5.99,21.29,65.03,0.25,NA
dunbar-broadway,10146,14.21,3954.09,5.54,21.01,1.12,2.8,3.64,17.65,53.78,NA,NA,10146,14.21,3954.09,5.54,7.99,1.31,3.26,4.24,20.55,62.64,NA,NA
east arlington,6702,20.19,3974.2,11.97,46.99,6.02,0.3,5.12,11.45,29.82,0.3,NA,6702,20.19,3974.2,11.97,46.99,6.02,0.3,5.12,11.45,29.82,0.3,NA
east baltimore midway,11851,9.76,5380.6,4.43,49.75,2.8,0.66,4.28,15.98,26.36,0.16,NA,11851,9.76,5380.6,4.43,30.29,3.89,0.91,5.94,22.17,36.57,0.23,NA
easterwood,3305,7.6,1727.9,3.97,55.4,1.15,1.15,5.98,9.2,26.67,0.46,NA,3305,7.6,1727.9,3.97,34.24,1.69,1.69,8.81,13.56,39.32,0.68,NA
eastwood,288,2.48,149.7,1.29,80.17,2.59,NA,6.9,6.03,3.45,0.86,NA,288,2.48,149.7,1.29,80.17,2.59,NA,6.9,6.03,3.45,0.86,NA
edgewood,6066,17.43,3643.9,10.47,36.78,6.32,0.57,5.46,20.98,28.16,1.72,NA,6066,17.43,3643.9,10.47,31.03,6.9,0.63,5.96,22.88,30.72,1.88,NA
edmondson village,8143,19.03,4349.9,10.16,30.14,3.5,0.7,2.57,21.73,41.36,NA,NA,8143,19.03,4349.9,10.16,29.31,3.55,0.71,2.6,21.99,41.84,NA,NA
ednor gardens-lakeside,28347,17.12,13455,8.12,31.4,2.72,1.27,3.86,16.67,44.02,0.06,NA,28347,17.12,13455,8.12,31.11,2.73,1.27,3.88,16.74,44.21,0.06,NA
ellwood park/monument,13948,13.07,4715.35,4.42,14.71,2.62,1.69,4.03,15.65,60.92,0.37,NA,13948,13.07,4715.35,4.42,5.31,2.91,1.87,4.47,17.38,67.64,0.42,NA
evergreen,9104,28.54,4045.2,12.68,2.82,6.27,1.57,2.51,10.34,76.49,NA,NA,9104,28.54,4045.2,12.68,2.52,6.29,1.57,2.52,10.38,76.73,NA,NA
evergreen lawn,3282,12.38,1827.9,6.9,50.94,3.77,0.75,2.64,12.83,29.06,NA,NA,3282,12.38,1827.9,6.9,35,5,1,3.5,17,38.5,NA,NA
evesham park,9692,32.74,4563.2,15.42,2.7,3.38,1.69,12.16,24.66,55.07,0.34,NA,9692,32.74,4563.2,15.42,2.7,3.38,1.69,12.16,24.66,55.07,0.34,NA
fairfield area,6308,18.77,3353.5,9.98,28.27,2.38,1.19,11.01,24.11,32.74,0.3,NA,6308,18.77,3353.5,9.98,24.45,2.51,1.25,11.6,25.39,34.48,0.31,NA
fairmont,7618,21.52,4563.4,12.89,45.48,2.26,6.21,11.02,12.71,22.32,NA,NA,7618,21.52,4563.4,12.89,40.25,2.48,6.81,12.07,13.93,24.46,NA,NA
fallstaff,9000,16.1,4273.6,7.65,51.7,1.07,0.54,6.8,12.88,26.83,0.18,NA,9000,16.1,4273.6,7.65,47.37,1.17,0.58,7.41,14.04,29.24,0.19,NA
federal hill,19033,18.46,7682.1,7.45,20.37,3.39,1.75,3.2,15.42,55.87,NA,NA,19033,18.46,7682.1,7.45,2.38,4.05,2.14,3.93,18.93,68.57,NA,NA
fells point,20309,14.54,8206.6,5.87,27.85,2.43,1.5,3.51,13.1,51.61,NA,NA,20309,14.54,8206.6,5.87,6.75,3.15,1.94,4.53,16.93,66.7,NA,NA
forest park,5806,8.78,3634.9,5.5,70.35,1.82,1.66,5.14,14.98,6.05,NA,NA,5806,8.78,3634.9,5.5,69.13,1.89,1.73,5.35,15.59,6.3,NA,NA
forest park golf course,8697,21.47,4441.8,10.97,42.22,3.46,3.7,4.94,13.83,31.6,0.25,NA,8697,21.47,4441.8,10.97,42.08,3.47,3.71,4.95,13.86,31.68,0.25,NA
four by four,710,7.89,390.3,4.34,74.44,2.22,NA,5.56,4.44,13.33,NA,NA,710,7.89,390.3,4.34,62.9,3.23,NA,8.06,6.45,19.35,NA,NA
frankford,38131,14.42,15239.05,5.76,41.53,1.25,1.82,4.88,18.84,31.54,0.11,0.04,38131,14.42,15239.05,5.76,38.82,1.31,1.9,5.1,19.71,33,0.12,0.04
franklin square,16594,15.17,6728.1,6.15,37.66,2.19,1.28,4.94,18.92,34.64,0.37,NA,16594,15.17,6728.1,6.15,12.11,3.09,1.8,6.96,26.68,48.84,0.52,NA
franklintown,34660,34.11,16334.9,16.08,NA,3.05,1.38,5.31,18.31,71.75,0.2,NA,34660,34.11,16334.9,16.08,NA,3.05,1.38,5.31,18.31,71.75,0.2,NA
franklintown road,5550,17.45,2971.5,9.34,46.86,4.09,3.46,4.4,17.61,23.58,NA,NA,5550,17.45,2971.5,9.34,41.72,4.48,3.79,4.83,19.31,25.86,NA,NA
garwyn oaks,6027,14.38,3505.7,8.37,48.69,4.3,2.15,2.63,20.05,21.72,0.48,NA,6027,14.38,3505.7,8.37,47.17,4.42,2.21,2.7,20.64,22.36,0.49,NA
gay street,7616,12.53,4185.5,6.88,40.3,3.29,2.47,7.07,25.33,21.55,NA,NA,7616,12.53,4185.5,6.88,20.74,4.37,3.28,9.39,33.62,28.6,NA,NA
glen,27317,19.6,13582.1,9.74,49.71,2.08,0.72,8.54,14.63,24.32,NA,NA,27317,19.6,13582.1,9.74,48.42,2.14,0.74,8.77,14.96,24.98,NA,NA
glen oaks,22342,20.73,12155.2,11.28,26.07,3.43,1.39,4.55,15.96,48.24,0.37,NA,22342,20.73,12155.2,11.28,25.79,3.45,1.4,4.56,16.01,48.42,0.37,NA
glenham-belhar,12981,12.37,7016,6.69,59.49,2.29,0.76,3.81,20.02,13.63,NA,NA,12981,12.37,7016,6.69,56.54,2.45,0.82,4.09,21.47,14.62,NA,NA
graceland park,7804,10.68,3322.6,4.55,45.83,2.33,2.33,4.79,16.69,28.04,NA,NA,7804,10.68,3322.6,4.55,42.69,2.46,2.46,5.07,17.66,29.67,NA,NA
greektown,9905,11.81,3450.2,4.11,28.72,1.91,1.55,2.26,14.54,50.77,0.24,NA,9905,11.81,3450.2,4.11,11.67,2.36,1.92,2.81,18.02,62.92,0.3,NA
greenmount cemetery,748,12.68,198,3.36,10.17,NA,6.78,8.47,10.17,64.41,NA,NA,748,12.68,198,3.36,5.36,NA,7.14,8.93,10.71,67.86,NA,NA
greenmount west,8384,16.06,2733,5.24,29.69,3.07,0.96,3.07,12.45,50.57,0.19,NA,8384,16.06,2733,5.24,4.18,4.18,1.31,4.18,16.97,68.93,0.26,NA
greenspring,6226,10.19,3734.3,6.11,63.5,4.75,0.49,8.35,13.75,9.17,NA,NA,6226,10.19,3734.3,6.11,60.67,5.11,0.53,8.99,14.81,9.88,NA,NA
grove park,7928,12.5,3539.74,5.58,63.56,1.1,1.26,6.31,13.09,14.2,0.47,NA,7928,12.5,3539.74,5.58,63.39,1.11,1.27,6.34,13.15,14.26,0.48,NA
guilford,68491,26.76,31705,12.39,11.14,2.89,1.99,3.99,18.41,61.51,0.08,NA,68491,26.76,31705,12.39,10.79,2.9,2,4,18.48,61.75,0.08,NA
gwynns falls,3430,8.91,1223.6,3.18,38.96,0.78,2.08,1.56,11.17,44.94,0.52,NA,3430,8.91,1223.6,3.18,29.22,0.9,2.41,1.81,12.95,52.11,0.6,NA
gwynns falls/leakin park,12627,31.89,4824,12.18,NA,5.05,7.83,7.58,26.01,53.28,0.25,NA,12627,31.89,4824,12.18,NA,5.05,7.83,7.58,26.01,53.28,0.25,NA
hamilton hills,33837,12.91,16161.7,6.16,48.32,2.75,1.37,4.31,12.2,30.59,0.46,NA,33837,12.91,16161.7,6.16,46.97,2.82,1.41,4.42,12.52,31.39,0.47,NA
hampden,34908,18.44,16495.8,8.71,27.79,1.48,0.79,5.39,15.95,48.28,0.32,NA,34908,18.44,16495.8,8.71,12.2,1.8,0.96,6.55,19.4,58.7,0.39,NA
hanlon-longwood,22777,19.79,13121.4,11.4,42.31,2.35,2,6.17,25.72,21.29,0.17,NA,22777,19.79,13121.4,11.4,41.03,2.4,2.04,6.31,26.29,21.76,0.18,NA
harlem park,30860,15.42,14423.2,7.21,34.13,1.9,2.6,7.2,29.54,24.44,0.2,NA,30860,15.42,14423.2,7.21,16.53,2.41,3.29,9.12,37.43,30.97,0.25,NA
harwood,8137,19.06,2802.5,6.56,13.11,0.7,0.7,4.92,18.5,62.06,NA,NA,8137,19.06,2802.5,6.56,1.85,0.79,0.79,5.56,20.9,70.11,NA,NA
hawkins point,3202,13.23,1923.8,7.95,30.17,5.79,4.13,4.13,38.84,16.53,0.41,NA,3202,13.23,1923.8,7.95,30.17,5.79,4.13,4.13,38.84,16.53,0.41,NA
heritage crossing,15027,22.39,4718.9,7.03,6.26,0.89,1.94,5.66,18.18,66.92,0.15,NA,15027,22.39,4718.9,7.03,3.08,0.92,2,5.86,18.8,69.18,0.15,NA
herring run park,14329,25.05,7566.8,13.23,0.17,2.45,2.97,3.32,11.71,79.02,0.35,NA,14329,25.05,7566.8,13.23,0.17,2.45,2.97,3.32,11.71,79.02,0.35,NA
highlandtown,11105,11.63,4157.7,4.35,27.12,2.41,1.78,3.04,13.61,52.04,NA,NA,11105,11.63,4157.7,4.35,9.61,2.99,2.21,3.77,16.88,64.55,NA,NA
hillen,5519,15.86,3073.7,8.83,56.9,1.44,0.57,6.61,13.22,21.26,NA,NA,5519,15.86,3073.7,8.83,56.9,1.44,0.57,6.61,13.22,21.26,NA,NA
hoes heights,4099,22.4,1872.6,10.23,24.04,2.19,1.64,9.29,22.95,36.61,3.28,NA,4099,22.4,1872.6,10.23,20.57,2.29,1.71,9.71,24,38.29,3.43,NA
holabird industrial park,11034,16.82,4688.8,7.15,0.3,2.13,0.46,6.1,28.51,62.04,0.46,NA,11034,16.82,4688.8,7.15,NA,2.14,0.46,6.12,28.59,62.23,0.46,NA
hollins market,14550,20.21,4966.9,6.9,18.06,1.39,1.11,3.75,20.83,54.44,0.42,NA,14550,20.21,4966.9,6.9,3.75,1.63,1.31,4.4,24.47,63.95,0.49,NA
homeland,44739,28.41,26444.89,16.79,5.4,2.41,0.63,5.27,27.62,58.54,0.06,0.06,44739,28.41,26444.89,16.79,4.67,2.43,0.64,5.31,27.83,58.99,0.06,0.06
hopkins bayview,7583,15.44,3165.4,6.45,13.03,1.02,2.04,4.89,24.64,53.77,0.61,NA,7583,15.44,3165.4,6.45,6.36,1.1,2.19,5.26,26.54,57.89,0.66,NA
howard park,42080,11.63,21217.15,5.86,59.41,2.18,2.21,5.28,8.54,22.19,0.19,NA,42080,11.63,21217.15,5.86,58.96,2.21,2.24,5.34,8.63,22.44,0.2,NA
hunting ridge,17352,25.08,7397.7,10.69,27.46,3.03,1.88,3.32,15.32,48.41,0.43,0.14,17352,25.08,7397.7,10.69,27.35,3.04,1.88,3.33,15.34,48.48,0.43,0.14
idlewood,9313,13.76,5504.5,8.13,56.28,2.66,0.44,7.83,10.49,22.3,NA,NA,9313,13.76,5504.5,8.13,56.15,2.67,0.44,7.85,10.52,22.37,NA,NA
inner harbor,10120,13.83,3680.3,5.03,28.55,3.69,2.73,5.46,14.21,45.22,0.14,NA,10120,13.83,3680.3,5.03,4.56,4.93,3.65,7.3,18.98,60.4,0.18,NA
irvington,17484,16.56,7508.7,7.11,35.61,2.46,1.89,2.84,16.38,40.34,0.47,NA,17484,16.56,7508.7,7.11,27.35,2.78,2.14,3.21,18.48,45.51,0.53,NA
