zcta,temp_mean_am,temp_median_am,temp_min_am,temp_max_am,temp_mean_aft,temp_median_aft,temp_min_aft,temp_max_aft,temp_mean_pm,temp_median_pm,temp_min_pm,temp_max_pm,09-127_mean,09-63_mean,17-127_mean,17-63_mean,change_percent_127,change_percent_point_127,change_percent_63,change_percent_point_63,white_%,black_%,otherrace_or_multirace_%,poverty_%,single_family_detached_houses_%,65+_%,0-17_%,disabled_%,renter_%,vacancy_%,home_median_price_d,median_household_income_d,median_age_a,all_effects_heat_count,all_effects_heat_prev,kidney_disease_count,kidney_disease_prev,copd_count,copd_prev,asthma_count,asthma_prev,respiratory_count,respiratory_prev,hypertension_count,hypertension_prev,heart_attack_count,heart_attack_prev,congestive_artery_disease_count,congestive_artery_disease_prev,angina_pectoris_count,angina_pectoris_prev,heart_disease_count,heart_disease_prev,circulatory_count,circulatory_prev,diabetes_count,diabetes_prev
21201,79.87361994504451,79.84968185424805,78.18559303283692,82.969146728515625,96.00383101701705,95.90000686645514,93.14062576293938,102.78414993286131,90.72328355240577,90.64057693481438,88.6210151672363,95.54307479858389,0.066976919897342,0.066976919897342,0.067247402692694,0.104932081919525,0.004038447808089324,2.7048279535199504e-4,0.5666901684992124,0.03795516202218299,36.294064477252185,51.28653208797831,12.419403434769507,30.799122532121594,1.7527238275698722,9.99698704429045,14.275384151852968,16.101235311840917,88.41117415975557,13.178588346755093,189600,33877,30.1,32,4.18727591531234e-4,1197,0.0156630289707152,11402,0.149197874957473,8727,0.114194865352909,16518,0.216141948653529,14792,0.193556829185313,41,5.36494726649394e-4,747,0.00977467221480726,34,4.44898066001937e-4,15605,0.204195127057654,16044,0.209939546203973,6208,0.0812331527570595
21202,80.19052049361986,80.0326934814453,78.98687744140625,82.3582691192627,96.76669463339702,97.10995864868168,92.78232727050788,101.57000274658202,90.87795497714954,91.02001724243168,88.39640655517586,94.53840255737313,0.071559527943802,0.071559527943802,0.03834426958625,0.088717077004624,-0.4641626253269448,-0.033215258357552006,0.2397661017872612,0.017157549060821994,31.20525059665871,59.75766476959794,9.037084633743348,29.288528112689505,2.8362044351384794,8.24765926197907,11.460436937763907,10.81788140260694,78.77748876803027,19.501284857713905,230200,44656,32.5,33,4.00019394879752e-4,1052,0.0127521334367727,10580,0.128248642358417,8244,0.0999321179208689,16400,0.198797517455392,13544,0.164177657098526,57,6.90942591155935e-4,876,0.0106186966640807,26,3.15166795965865e-4,14482,0.175547905352987,14858,0.180105702094647,5656,0.0685608999224205
21205,79.2656772543233,79.64676780700684,75.66693954467775,81.44292259216309,95.96622133578614,95.74159774780273,90.02451858520514,100.58579254150395,90.3104171369339,90.42742156982413,85.2385581970214,93.42607116699213,0.195014546167123,0.195014546167123,0.157381614549182,0.22256464753808,-0.19297499780190974,-0.037632931617940985,0.14127203284285883,0.02755010137095701,22.998780983340104,68.82026276581335,8.180956250846535,37.13189973976168,3.0760547481303795,10.618989570635243,29.506975484220504,20.62169849654612,66.4236305851561,24.523775927755047,52500,28675,31,18,2.43082283352915e-4,1091,0.0147334872854461,11456,0.154708368782833,9367,0.126497319342597,17120,0.231198260611217,11811,0.159502491593404,50,6.75228564869208e-4,1025,0.0138421855798188,34,4.59155424111062e-4,12761,0.172331834325919,13066,0.176450728571622,5058,0.0683061216221691
21206,77.06668020893237,77.12355842590333,73.60731201171876,79.01005859375,93.99647413583618,94.12236747741704,87.08526039123535,97.5059677124024,88.02602991343238,88.09003219604486,82.9335990905762,90.63322296142586,0.291308204234786,0.291308204234786,0.304935423703268,0.414010170735762,0.046779387845523414,0.013627219468482,0.4212101297431424,0.12270196650097603,22.886891414978454,71.35336440033538,5.75974418468617,14.026050917702781,36.376513593785695,10.548482071480102,23.641468598280266,11.23676565211457,40.87530966143683,11.46447338359607,150600,50975,37.2,42,2.85650160168126e-4,2411,0.0163976794325083,20088,0.136622390891841,16544,0.112518958329083,32923,0.223915719600362,27043,0.183924697176824,93,6.32511068943707e-4,1635,0.0111199526636877,52,3.53662103065298e-4,29088,0.197833139499296,29773,0.202491957587752,12063,0.0820428067168595
21207,75.82519108693873,75.68937911987305,73.45536079406739,79.33985443115235,92.9522396594138,93.49630813598631,87.08317298889152,96.61694030761713,86.92154544979869,87.37962875366216,81.17417640686037,90.9349693298339,0.268344453976329,0.268344453976329,0.439981712964558,0.552686243552869,0.6396154511297235,0.171637258988229,1.0596149291075796,0.28434178957654,10.107165806438239,84.6423315299629,5.250502663598851,13.014027972320363,49.861004601226995,18.70323155690981,19.665029123396142,16.576498144808575,37.840785169029445,12.09739263803681,180300,59013,41.8,33,2.69225121151305e-4,2141,0.0174669995268165,12371,0.100926787083721,9715,0.0792582439995431,22223,0.181302723252892,21247,0.173340186336417,55,4.48708535252174e-4,1416,0.0115522051984923,48,3.91600176220079e-4,22595,0.184337624618598,23335,0.190374794001991,9252,0.0754809339664203
21209,75.0855189314341,75.02369689941406,72.55812797546386,77.42647895812988,92.20514332751348,93.10016174316404,87.17809486389152,97.11979827880856,86.010928415321,86.32015876770026,81.58744430541987,88.95299453735359,0.363551520254842,0.363551520254842,0.509105628165897,0.61360219205356,0.40036721015229043,0.145554107911055,0.6877998244194874,0.25005067179871804,73.12650207559537,16.08404340543296,10.78945451897167,7.645471780662097,31.701497449399373,17.810064816837812,24.076906270482848,9.40572427354162,39.35673525851634,4.837913444133619,296700,78900,37.2,11,3.93968697396225e-4,353,0.0126428136528061,1795,0.0642885283478385,1330,0.0476343970488163,3751,0.134343325812113,4569,0.163640270763941,12,4.29784033523155e-4,287,0.0102790014684288,16,5.73045378030873e-4,5120,0.183374520969879,5319,0.190501772859138,1554,0.0556570323412485
21210,75.25401784506718,75.12181510925294,73.95297966003417,78.99807319641113,92.62391692253019,93.20989456176764,87.17639541625977,97.35634765625001,86.28714245284304,86.6057483673095,81.4077011108399,90.3920112609863,0.349971872670005,0.349971872670005,0.51491994453018,0.61827737308554,0.4713180822268753,0.16494807186017496,0.7666487548515798,0.26830550041553497,72.60453532573077,8.854371477257832,18.541093197011403,8.354997758852532,33.47532836350728,15.624590378817668,13.291388124262681,4.561541486433347,40.27541973212602,5.9105431309904155,436900,93203,30.9,2,2.24719101123596e-4,110,0.0123595505617978,603,0.067752808988764,416,0.0467415730337079,1119,0.125730337078652,1594,0.179101123595506,15,0.00168539325842697,88,0.0098876404494382,11,0.00123595505617978,1891,0.21247191011236,1952,0.219325842696629,415,0.0466292134831461
21211,77.09362625637462,77.006317138671875,75.10049133300782,80.27333526611329,94.35924840477938,94.77475280761712,87.4920978546143,99.7205917358399,88.54237737290498,88.84240341186523,83.56669998168938,91.95391006469727,0.353534348424063,0.353534348424063,0.353358064782575,0.428853474478508,-4.986322892636648e-4,-1.7628364148802866e-4,0.21304613367892625,0.07531912605444502,78.93648089559504,12.125821367729374,8.937697736675586,10.838420331381588,8.005601587116349,14.322219518130932,13.17230469700657,13.76247262107569,46.268852459016394,11.016454662154276,211100,63733,36.2,7,2.33730675481652e-4,438,0.0146248622658519,3704,0.123676917426291,2172,0.0725232895923069,5720,0.190991351965007,5943,0.198437343483923,26,8.68142508931851e-4,446,0.014891983037831,12,4.00681157968547e-4,6545,0.218538181575345,6704,0.223847206918428,2413,0.0805703028481752
21212,75.7078899331078,75.58109512329102,74.01428680419923,77.89350776672364,93.02041226506171,93.50357627868657,87.27713661193843,96.04151077270514,87.01503990295603,87.5649440765381,81.42675895690917,89.42594566345214,0.350383383989365,0.350383383989365,0.431266775259885,0.562220876942248,0.23084254267312793,0.08088339127051997,0.6045877248543062,0.21183749295288296,51.237871214348715,40.97030285210232,7.791825933548964,13.3015494636472,33.53289195661361,14.013525433695973,24.960305792413994,10.235224933842987,31.400661729951157,10.593041273418793,276500,73244,38.5,18,2.50916542370046e-4,1366,0.0190417776043046,9032,0.125904345038125,7265,0.101272704462133,15002,0.209124998257524,14742,0.205500648201068,65,9.06087514114056e-4,935,0.013033720395333,31,4.32134045192857e-4,15940,0.222200538076585,16319,0.227483725274266,6176,0.0860922536487447
21213,79.11706569929174,79.4827299118042,75.14302558898926,80.94708213806152,95.65324611167642,95.43202018737799,88.19839515686036,99.42508697509761,89.98914138370574,89.8486137390137,84.47817039489752,94.0128990173339,0.136081374097349,0.136081374097349,0.139565944296905,0.200745131635734,0.0256065183253017,0.003484570199556003,0.4751844840435419,0.06466375753838499,7.777392619670374,89.57867204487442,2.643935335455197,28.151712784144873,5.276662938351207,10.979106923392052,27.28074874736079,15.066334730406833,48.374235846549126,25.7385354299625,96200,34917,35.6,44,2.99576507754946e-4,2635,0.0179405476803246,23243,0.15825129022155,19389,0.132011111565015,34911,0.237693533232567,28261,0.192416629219603,104,7.08089927420782e-4,1792,0.0122009341340196,48,3.26810735732669e-4,29828,0.203085638029876,30392,0.206925664174735,12541,0.0853861132671542
21214,77.23124366852244,77.20929641723633,75.41851463317872,79.57147369384765,93.81088064232355,93.76628341674812,89.33072166442868,97.05000076293938,88.1883452314301,88.14786148071283,84.94098663330087,91.83670654296884,0.337783970318743,0.337783970318743,0.34597502954229,0.474097842117178,0.024249401816840602,0.00819105922354696,0.4035534062489855,0.13631387179843496,39.55266955266955,55.73833573833574,4.708994708994709,12.06930114853027,65.08383031394172,13.395863395863397,20.553150553150555,13.915343915343914,24.927021195583198,11.342410262180714,179400,65792,41,16,3.38495388000338e-4,940,0.0198866040450199,5863,0.124037403740374,4511,0.0954345434543454,9868,0.208767030549209,9704,0.205297452822205,40,8.46238470000846e-4,592,0.0125243293560125,24,5.07743082000508e-4,10490,0.221926038757722,10737,0.227151561309977,4154,0.0878818651095879
21215,77.0554546777435,76.99156112670899,74.70027313232421,79.09962120056153,94.53503445535904,94.62790679931645,87.67112693786618,97.12892379760736,88.61220222733778,88.65509510040278,83.34546279907227,92.13212203979487,0.168566520388899,0.168566520388899,0.250216383960293,0.3659171950494,0.484377700761812,0.081649863571394,1.1707584294033848,0.19735067466050102,17.04262339236415,80.74203757322739,2.2153390344084585,25.59840653868608,19.997776377719305,17.975220523870448,22.44293313581577,18.109891589791932,50.799981870099266,18.23370270170107,122200,36500,41.8,55,2.51853412155819e-4,2847,0.0130368484437749,22112,0.101254229992536,16654,0.0762612132007821,38541,0.176485133779953,34055,0.155943053653935,81,3.70911388811298e-4,2077,0.0095109006735934,86,3.93807153552736e-4,36448,0.166900966659187,37663,0.172464637491357,14805,0.0677943593993983
21216,76.65761238263829,76.81100769042969,73.49713287353515,79.21572952270509,93.57084260114792,93.98787078857414,87.14713401794427,97.76963272094727,87.74042825918876,88.20849227905273,81.48087348937989,91.85666046142586,0.28009030171615,0.28009030171615,0.333834185848252,0.444590005189221,0.1918805606720623,0.05374388413210196,0.5873095300521286,0.16449970347307097,2.2672037820021975,95.24586343509671,2.4869327829010928,26.17729478504545,13.937212557488502,13.589905782867797,21.666611179545228,16.632819522588807,50.95475496190387,29.140838498966875,88900,37314,36.4,39,2.82320238017678e-4,2398,0.0173590751478562,20451,0.148044389428193,17004,0.123091623775707,31474,0.227839671060728,25495,0.184557806878479,75,5.4292353464938e-4,1600,0.0115823687391868,46,3.3299310125162e-4,26826,0.19419288987339,27477,0.198905466154147,10889,0.078825258250628
