zcta,temp_mean_am,temp_median_am,temp_min_am,temp_max_am,temp_mean_aft,temp_median_aft,temp_min_aft,temp_max_aft,temp_mean_pm,temp_median_pm,temp_min_pm,temp_max_pm,09-127_mean,09-63_mean,17-127_mean,17-63_mean,change_percent_127,change_percent_point_127,change_percent_63,change_percent_point_63,white_%,black_%,otherrace_or_multirace_%,poverty_%,single_family_detached_houses_%,65+_%,0-17_%,disabled_%,renter_%,vacancy_%,home_median_price_d,median_household_income_d,median_age_a,all_effects_heat_count,all_effects_heat_prev,kidney_disease_count,kidney_disease_prev,copd_count,copd_prev,asthma_count,asthma_prev,respiratory_count,respiratory_prev,hypertension_count,hypertension_prev,heart_attack_count,heart_attack_prev,congestive_artery_disease_count,congestive_artery_disease_prev,angina_pectoris_count,angina_pectoris_prev,heart_disease_count,heart_disease_prev,circulatory_count,circulatory_prev,diabetes_count,diabetes_prev
21201,79.87361994504451,79.84968185424805,78.18559303283692,82.969146728515625,96.00383101701705,95.90000686645514,93.14062576293938,102.78414993286131,90.72328355240577,90.64057693481438,88.6210151672363,95.54307479858389,0.066976919897342,0.066976919897342,0.067247402692694,0.104932081919525,0.004038447808089324,2.7048279535199504e-4,0.5666901684992124,0.03795516202218299,36.294064477252185,51.28653208797831,12.419403434769507,30.799122532121594,1.7527238275698722,9.99698704429045,14.275384151852968,16.101235311840917,88.41117415975557,13.178588346755093,189600,33877,30.1,4,2.78570931123337e-4,3237,0.225433526011561,4179,0.291036980291107,2238,0.155860435963507,5798,0.403788564663277,7496,0.522041924925134,316,0.0220071035587436,1266,0.0881676997005362,47,0.00327320844069921,8335,0.580472177728254,8752,0.609513197297862,3721,0.259140608677485
21202,80.19052049361986,80.0326934814453,78.98687744140625,82.3582691192627,96.76669463339702,97.10995864868168,92.78232727050788,101.57000274658202,90.87795497714954,91.02001724243168,88.39640655517586,94.53840255737313,0.071559527943802,0.071559527943802,0.03834426958625,0.088717077004624,-0.4641626253269448,-0.033215258357552006,0.2397661017872612,0.017157549060821994,31.20525059665871,59.75766476959794,9.037084633743348,29.288528112689505,2.8362044351384794,8.24765926197907,11.460436937763907,10.81788140260694,78.77748876803027,19.501284857713905,230200,44656,32.5,5,3.16696224980998e-4,3452,0.218647073726881,4220,0.267291613883962,2399,0.151950848745883,5902,0.37382822396757,8028,0.508487458829491,417,0.0264124651634153,1419,0.0898783886496073,46,0.00291360526982518,8970,0.568153027615911,9465,0.59950595388903,3907,0.247466430200152
21205,79.2656772543233,79.64676780700684,75.66693954467775,81.44292259216309,95.96622133578614,95.74159774780273,90.02451858520514,100.58579254150395,90.3104171369339,90.42742156982413,85.2385581970214,93.42607116699213,0.195014546167123,0.195014546167123,0.157381614549182,0.22256464753808,-0.19297499780190974,-0.037632931617940985,0.14127203284285883,0.02755010137095701,22.998780983340104,68.82026276581335,8.180956250846535,37.13189973976168,3.0760547481303795,10.618989570635243,29.506975484220504,20.62169849654612,66.4236305851561,24.523775927755047,52500,28675,31,3,1.78890876565295e-4,3801,0.226654740608229,5238,0.312343470483005,2822,0.168276684555754,6830,0.407274895646989,8552,0.509958258795468,602,0.0358974358974359,1654,0.0986285032796661,61,0.00363744782349434,9554,0.569707811568277,9978,0.594991055456172,4159,0.248002385211688
21206,77.06668020893237,77.12355842590333,73.60731201171876,79.01005859375,93.99647413583618,94.12236747741704,87.08526039123535,97.5059677124024,88.02602991343238,88.09003219604486,82.9335990905762,90.63322296142586,0.291308204234786,0.291308204234786,0.304935423703268,0.414010170735762,0.046779387845523414,0.013627219468482,0.4212101297431424,0.12270196650097603,22.886891414978454,71.35336440033538,5.75974418468617,14.026050917702781,36.376513593785695,10.548482071480102,23.641468598280266,11.23676565211457,40.87530966143683,11.46447338359607,150600,50975,37.2,5,1.32250641415611e-4,8850,0.234083635305631,9620,0.254450234083635,4995,0.132118390774195,13892,0.367445182109133,19631,0.519242468325971,1096,0.0289893405983019,3586,0.0948501600232761,114,0.00301531462427593,22093,0.584362684159018,23164,0.612690771550242,9926,0.262543973338271
21207,75.82519108693873,75.68937911987305,73.45536079406739,79.33985443115235,92.9522396594138,93.49630813598631,87.08317298889152,96.61694030761713,86.92154544979869,87.37962875366216,81.17417640686037,90.9349693298339,0.268344453976329,0.268344453976329,0.439981712964558,0.552686243552869,0.6396154511297235,0.171637258988229,1.0596149291075796,0.28434178957654,10.107165806438239,84.6423315299629,5.250502663598851,13.014027972320363,49.861004601226995,18.70323155690981,19.665029123396142,16.576498144808575,37.840785169029445,12.09739263803681,180300,59013,41.8,9,2.57216347527865e-4,8826,0.252243498142326,7807,0.223120891683338,4281,0.122349242640755,12129,0.346641897685053,19930,0.569591311803372,822,0.023492426407545,3554,0.101571877679337,90,0.00257216347527865,21783,0.622549299799943,22554,0.64458416690483,10179,0.290911689054015
21209,75.0855189314341,75.02369689941406,72.55812797546386,77.42647895812988,92.20514332751348,93.10016174316404,87.17809486389152,97.11979827880856,86.010928415321,86.32015876770026,81.58744430541987,88.95299453735359,0.363551520254842,0.363551520254842,0.509105628165897,0.61360219205356,0.40036721015229043,0.145554107911055,0.6877998244194874,0.25005067179871804,73.12650207559537,16.08404340543296,10.78945451897167,7.645471780662097,31.701497449399373,17.810064816837812,24.076906270482848,9.40572427354162,39.35673525851634,4.837913444133619,296700,78900,37.2,2,1.33770316366798e-4,2519,0.168483713463982,2211,0.147883084743495,1207,0.0807303859273627,4000,0.267540632733596,6498,0.434619757875727,350,0.0234098053641897,1070,0.071567119256237,39,0.00260852116915257,7426,0.496689184669922,7917,0.529529797337971,2576,0.172296167480436
21210,75.25401784506718,75.12181510925294,73.95297966003417,78.99807319641113,92.62391692253019,93.20989456176764,87.17639541625977,97.35634765625001,86.28714245284304,86.6057483673095,81.4077011108399,90.3920112609863,0.349971872670005,0.349971872670005,0.51491994453018,0.61827737308554,0.4713180822268753,0.16494807186017496,0.7666487548515798,0.26830550041553497,72.60453532573077,8.854371477257832,18.541093197011403,8.354997758852532,33.47532836350728,15.624590378817668,13.291388124262681,4.561541486433347,40.27541973212602,5.9105431309904155,436900,93203,30.9,1,2.15470803706098e-4,774,0.16677440206852,660,0.142210730446025,272,0.0586080586080586,1216,0.262012497306615,2156,0.464555052790347,96,0.0206851971557854,306,0.0659340659340659,13,0.00280112044817927,2619,0.56431803490627,2776,0.598146951088128,651,0.14027149321267
21211,77.09362625637462,77.006317138671875,75.10049133300782,80.27333526611329,94.35924840477938,94.77475280761712,87.4920978546143,99.7205917358399,88.54237737290498,88.84240341186523,83.56669998168938,91.95391006469727,0.353534348424063,0.353534348424063,0.353358064782575,0.428853474478508,-4.986322892636648e-4,-1.7628364148802866e-4,0.21304613367892625,0.07531912605444502,78.93648089559504,12.125821367729374,8.937697736675586,10.838420331381588,8.005601587116349,14.322219518130932,13.17230469700657,13.76247262107569,46.268852459016394,11.016454662154276,211100,63733,36.2,1,9.05223137503395e-5,2190,0.198243867113243,2906,0.263057843758486,1019,0.0922422377115959,4236,0.383452521046438,5674,0.513623608219426,279,0.0252557255363447,1145,0.103648049244139,33,0.0029872363537612,6476,0.586222503847198,6835,0.61872001448357,2604,0.235720105005884
21212,75.7078899331078,75.58109512329102,74.01428680419923,77.89350776672364,93.02041226506171,93.50357627868657,87.27713661193843,96.04151077270514,87.01503990295603,87.5649440765381,81.42675895690917,89.42594566345214,0.350383383989365,0.350383383989365,0.431266775259885,0.562220876942248,0.23084254267312793,0.08088339127051997,0.6045877248543062,0.21183749295288296,51.237871214348715,40.97030285210232,7.791825933548964,13.3015494636472,33.53289195661361,14.013525433695973,24.960305792413994,10.235224933842987,31.400661729951157,10.593041273418793,276500,73244,38.5,9,4.26924718941227e-4,4646,0.220388027133438,4691,0.222522650728144,2583,0.122527394336132,7266,0.344670556425217,10887,0.516436601679237,513,0.0243347089796499,2026,0.0961054978416584,49,0.00232436791423557,12340,0.585361225748304,12880,0.610976708884778,5304,0.25160096769603
21213,79.11706569929174,79.4827299118042,75.14302558898926,80.94708213806152,95.65324611167642,95.43202018737799,88.19839515686036,99.42508697509761,89.98914138370574,89.8486137390137,84.47817039489752,94.0128990173339,0.136081374097349,0.136081374097349,0.139565944296905,0.200745131635734,0.0256065183253017,0.003484570199556003,0.4751844840435419,0.06466375753838499,7.777392619670374,89.57867204487442,2.643935335455197,28.151712784144873,5.276662938351207,10.979106923392052,27.28074874736079,15.066334730406833,48.374235846549126,25.7385354299625,96200,34917,35.6,6,1.91338733337585e-4,8076,0.25754193507239,9373,0.298902991262198,5605,0.178742266726194,12782,0.407615281586836,17568,0.56023981121245,987,0.0314752216340328,3258,0.103896932202309,99,0.00315708910007016,19189,0.611933159002487,19919,0.635212704891894,8556,0.272849033739397
