nbrdesc,tracked_spaces,live_trees,empty_spaces,perc_trees_to_spaces
parkview/woodbrook,673,471,202,69.99
patterson park,2021,1839,182,90.99
patterson park neighborhood,1319,1099,220,83.32
patterson place,274,240,34,87.59
pen lucy,277,113,164,40.79
penn north,498,264,234,53.01
penn-fallsway,417,117,300,28.06
penrose/fayette street outreach,781,311,470,39.82
perkins homes,192,137,55,71.35
perring loch,876,312,564,35.62
pimlico good neighbors,269,188,81,69.89
pleasant view gardens,154,67,87,43.51
poppleton,1064,621,443,58.36
port covington,190,171,19,90
pulaski industrial area,1062,538,524,50.66
purnell,8,7,1,87.5
radnor-winston,250,191,59,76.4
ramblewood,666,312,354,46.85
reisterstown station,316,156,160,49.37
remington,1070,672,398,62.8
reservoir hill,1701,1454,247,85.48
richnor springs,17,8,9,47.06
ridgely's delight,476,413,63,86.76
riverside,2128,1507,621,70.82
rognel heights,558,288,270,51.61
roland park,3382,2910,472,86.04
rosebank,146,110,36,75.34
rosemont,717,267,450,37.24
rosemont east,430,241,189,56.05
rosemont homeowners/tenants,280,65,215,23.21
sabina-mattfeldt,193,172,21,89.12
saint agnes,65,43,22,66.15
saint helena,71,21,50,29.58
saint josephs,447,115,332,25.73
saint paul,75,70,5,93.33
sandtown-winchester,2264,1234,1030,54.51
seton business park,132,112,20,84.85
seton hill,623,481,142,77.21
sharp-leadenhall,510,412,98,80.78
shipley hill,552,292,260,52.9
south baltimore,812,461,351,56.77
south clifton park,264,114,150,43.18
spring garden industrial area,52,29,23,55.77
stadium area,134,104,30,77.61
stonewood-pentwood-winston,143,61,82,42.66
taylor heights,16,15,1,93.75
ten hills,626,317,309,50.64
the orchards,456,360,96,78.95
towanda-grantley,267,93,174,34.83
tremont,123,51,72,41.46
tuscany-canterbury,459,348,111,75.82
union square,565,465,100,82.3
university of maryland,664,505,159,76.05
uplands,444,381,63,85.81
upper fells point,908,710,198,78.19
upton,1572,776,796,49.36
violetville,703,358,345,50.92
wakefield,32,31,1,96.88
walbrook,872,390,482,44.72
waltherson,1335,561,774,42.02
washington hill,1020,643,377,63.04
washington village/pigtown,1579,1065,514,67.45
waverly,566,329,237,58.13
west arlington,1047,257,790,24.55
west forest park,608,279,329,45.89
west hills,464,254,210,54.74
westfield,954,341,613,35.74
westgate,620,363,257,58.55
westport,655,440,215,67.18
wilhelm park,100,71,29,71
wilson park,102,70,32,68.63
winchester,251,81,170,32.27
windsor hills,547,222,325,40.59
winston-govans,162,49,113,30.25
woodberry,343,276,67,80.47
woodbourne heights,565,285,280,50.44
woodbourne-mccabe,91,39,52,42.86
woodmere,516,151,365,29.26
wrenlane,26,12,14,46.15
wyman park,607,508,99,83.69
wyndhurst,696,569,127,81.75
yale heights,507,172,335,33.93
york-homeland,14,13,1,92.86
