nbrdesc,combined_ht,avg_ht,combined_diam,avg_diam
lucille park,3591,25.65,1573.2,11.24
madison park,18309,27.04,7431.9,10.98
madison-eastend,6434,14.27,1846.6,4.09
mayfield,11804,28.79,5288.4,12.9
mcelderry park,13595,18.1,4561.2,6.07
medfield,7810,32.41,3403.5,14.12
medford,2925,24.38,1558.7,12.99
mid-govans,5869,16.39,2749.3,7.68
mid-town belvedere,26913,25.88,7656.4,7.36
middle branch/reedbird parks,24342,17.73,9455.51,6.89
middle east,10550,17.15,2985.4,4.85
midtown-edmondson,6183,23.33,2408.2,9.09
millhill,4085,27.79,1460.7,9.94
milton-montford,4421,15.3,1080.3,3.74
mondawmin,11206,20.6,4988.1,9.17
montebello,6685,25.91,2992.9,11.6
moravia-walther,5384,25.52,2610.3,12.37
morgan park,3896,35.1,1963.9,17.69
morgan state university,4685,24.15,1986.1,10.24
morrell park,14944,27.32,6276.1,11.47
mosher,6143,33.03,3163.4,17.01
mount holly,3204,32.36,2034,20.55
mount vernon,24658,23.33,8208.69,7.77
mount washington,62672,38.19,25211.7,15.36
mount winans,3774,37,1469.9,14.41
mt pleasant park,4016,20.92,1450.9,7.56
new northwood,9477,18.66,5181.1,10.2
new southwest/mount clare,7854,19.88,2693.4,6.82
north harford road,16093,31.37,7447.4,14.52
north roland park/poplar hill,12538,37.65,5210.2,15.65
northwest community action,4845,29.19,2217.7,13.36
o'donnell heights,746,14.35,117.2,2.25
oakenshawe,11769,26.39,4936.5,11.07
oaklee,377,23.56,202.8,12.68
old goucher,6875,19.76,2224.4,6.39
oldtown,8012,23.43,4042.3,11.82
oliver,18245,19.31,7599.3,8.04
orangeville,3855,22.81,1770.7,10.48
orangeville industrial area,2977,18.15,952.6,5.81
orchard ridge,5215,18.76,1474.6,5.3
original northwood,10749,33.07,4815,14.82
otterbein,9674,25.87,3603.1,9.63
overlea,7755,38.77,3415.5,17.08
panway/braddish avenue,4389,32.51,2488.6,18.43
park circle,11468,30.75,5413.2,14.51
parklane,7528,42.77,2877.4,16.35
parkside,485,12.76,165,4.34
parkview/woodbrook,10455,22.2,4951.9,10.51
patterson park,46635,25.36,24658,13.41
patterson park neighborhood,17846,16.24,6091.9,5.54
patterson place,4714,19.64,1570.1,6.54
pen lucy,2494,22.07,1224.31,10.83
penn north,5801,21.97,2559.1,9.69
penn-fallsway,2282,19.5,1211.995,10.36
penrose/fayette street outreach,7955,25.58,3111,10
perkins homes,2671,19.5,1089.8,7.95
perring loch,9805,31.43,5646,18.1
pimlico good neighbors,4911,26.12,2102.1,11.18
pleasant view gardens,1154,17.22,480.3,7.17
poppleton,16266,26.19,5490.5,8.84
port covington,2335,13.65,1085.1,6.35
pulaski industrial area,11884,22.09,5166,9.6
purnell,249,35.57,70,10
radnor-winston,5171,27.07,2630.5,13.77
ramblewood,8127,26.05,4624.8,14.82
reisterstown station,5668,36.33,2356.8,15.11
remington,19587,29.15,6783.9,10.1
reservoir hill,32508,22.36,13805.7,9.49
richnor springs,197,24.62,150.4,18.8
ridgely's delight,11224,27.18,4734.15,11.46
riverside,34715,23.04,14538.25,9.65
rognel heights,8545,29.67,4468.5,15.52
roland park,100971,34.7,42367.13,14.56
rosebank,2980,27.09,1617.5,14.7
rosemont,11248,42.13,5393.7,20.2
rosemont east,10535,43.71,4859.1,20.16
rosemont homeowners/tenants,1654,25.45,761.5,11.72
sabina-mattfeldt,5236,30.44,2103.93,12.23
saint agnes,1678,39.02,752.7,17.5
saint helena,646,30.76,327.8,15.61
saint josephs,3404,29.6,1635,14.22
saint paul,1015,14.5,334.6,4.78
sandtown-winchester,27100,21.96,10801.6,8.75
seton business park,3819,34.1,1620.2,14.47
seton hill,13713,28.51,6455.9,13.42
sharp-leadenhall,8907,21.62,3321.7,8.06
shipley hill,6158,21.09,1966.8,6.74
south baltimore,9800,21.26,3282.8,7.12
south clifton park,2788,24.46,1124,9.86
spring garden industrial area,703,24.24,239.1,8.24
stadium area,2615,25.14,1043.2,10.03
stonewood-pentwood-winston,2190,35.9,1421.3,23.3
taylor heights,445,29.67,155.6,10.37
ten hills,12454,39.29,5293.1,16.7
the orchards,9456,26.27,5210.8,14.47
towanda-grantley,3246,34.9,1737.7,18.68
tremont,1979,38.8,818.7,16.05
tuscany-canterbury,10049,28.88,4375,12.57
union square,11770,25.31,4115.3,8.85
university of maryland,12235,24.23,4093.4,8.11
uplands,8112,21.29,2014.36,5.29
upper fells point,18710,26.35,6491,9.14
upton,19319,24.9,8433.6,10.87
violetville,12790,35.73,5801,16.2
wakefield,981,31.65,371.1,11.97
walbrook,10103,25.91,5256.3,13.48
waltherson,17015,30.33,8603.04333,15.34
washington hill,15796,24.57,6450.85,10.03
washington village/pigtown,21664,20.34,8174.8,7.68
waverly,9405,28.59,4447.1,13.52
west arlington,11919,46.38,5554.7845,21.61
west forest park,10430,37.38,5081.3,18.21
west hills,9030,35.55,3977.3,15.66
westfield,9657,28.32,4410.8,12.93
westgate,16566,45.64,7073.7,19.49
westport,8560,19.45,4532.905,10.3
wilhelm park,2178,30.68,1080.1,15.21
wilson park,1463,20.9,909.4,12.99
winchester,2982,36.81,1492.7,18.43
windsor hills,8092,36.45,3929.5,17.7
winston-govans,1106,22.57,773.7,15.79
woodberry,6775,24.55,2902.6,10.52
woodbourne heights,6121,21.48,3153.1,11.06
woodbourne-mccabe,880,22.56,637.7,16.35
woodmere,4959,32.84,2446.5,16.2
wrenlane,252,21,167.3,13.94
wyman park,13630,26.83,6215.52,12.24
wyndhurst,15307,26.9,6594.2,11.59
yale heights,6441,37.45,3460.9,20.12
york-homeland,243,18.69,96.2,7.4
