nbrdesc,all_tracked_spaces,spaces_with_live_trees,spaces_without_live_trees,suitable_without_tree,unsuitable_without_tree,perc_spaces_treed,perc_spaces_nontreed,perc_of_nontreed_are_suitable,num_spaces_with_live_trees,num_spaces_without_live_trees,num_easy,num_moderate,num_hard,num_not_suitable,perc_of_nontreed_easy,perc_of_nontreed_moderate,perc_of_nontreed_hard,perc_of_nontreed_unsuitable,num_easy_or_moderate,num_hard_or_unsuitable,perc_easy_or_moderate_of_nontreed,poor_count,fair_count,good_count,poor_perc_of_live,fair_perc_of_live,good_perc_of_live,avg_ht,avg_diam
lakeland,333,231,102,102,NA,69.37,30.63,100,231,102,78,24,NA,NA,76.47,23.53,NA,NA,102,NA,100,17,78,136,7.36,33.77,58.87,33.69,13.17
langston hughes,313,60,253,251,2,19.17,80.83,99.21,60,253,177,9,65,2,69.96,3.56,25.69,0.79,186,67,73.52,30,19,11,50,31.67,18.33,33.47,18.93
lauraville,1257,701,556,552,4,55.77,44.23,99.28,701,556,486,39,27,4,87.41,7.01,4.86,0.72,525,31,94.42,43,158,500,6.13,22.54,71.33,30.56,13.84
levindale,312,204,108,108,NA,65.38,34.62,100,204,108,101,7,NA,NA,93.52,6.48,NA,NA,108,NA,100,22,56,126,10.78,27.45,61.76,28.87,12.14
liberty square,244,113,131,130,1,46.31,53.69,99.24,113,131,96,15,19,1,73.28,11.45,14.5,0.76,111,20,84.73,13,28,72,11.5,24.78,63.72,28.89,13.51
little italy,311,132,179,173,6,42.44,57.56,96.65,132,179,3,4,166,6,1.68,2.23,92.74,3.35,7,172,3.91,5,24,103,3.79,18.18,78.03,20.81,7.67
loch raven,965,401,564,563,1,41.55,58.45,99.82,401,564,504,53,6,1,89.36,9.4,1.06,0.18,557,7,98.76,39,120,242,9.73,29.93,60.35,31.01,18.5
locust point,741,513,228,215,13,69.23,30.77,94.3,513,228,4,15,196,13,1.75,6.58,85.96,5.7,19,209,8.33,15,83,415,2.92,16.18,80.9,20.06,9.24
locust point industrial area,391,303,88,87,1,77.49,22.51,98.86,303,88,19,15,53,1,21.59,17.05,60.23,1.14,34,54,38.64,29,35,239,9.57,11.55,78.88,16.59,5.89
lower edmondson village,62,26,36,33,3,41.94,58.06,91.67,26,36,19,2,12,3,52.78,5.56,33.33,8.33,21,15,58.33,4,14,8,15.38,53.85,30.77,30.54,17.6
lower herring run park,480,444,36,36,NA,92.5,7.5,100,444,36,2,34,NA,NA,5.56,94.44,NA,NA,36,NA,100,24,77,343,5.41,17.34,77.25,20.25,7.24
loyola/notre dame,39,35,4,4,NA,89.74,10.26,100,35,4,NA,4,NA,NA,NA,100,NA,NA,4,NA,100,2,12,21,5.71,34.29,60,34.74,15.25
lucille park,273,140,133,132,1,51.28,48.72,99.25,140,133,74,17,41,1,55.64,12.78,30.83,0.75,91,42,68.42,30,73,37,21.43,52.14,26.43,25.65,11.24
madison park,941,677,264,235,29,71.94,28.06,89.02,677,264,27,22,186,29,10.23,8.33,70.45,10.98,49,215,18.56,58,290,329,8.57,42.84,48.6,27.04,10.98
madison-eastend,559,451,108,101,7,80.68,19.32,93.52,451,108,28,17,56,7,25.93,15.74,51.85,6.48,45,63,41.67,22,67,362,4.88,14.86,80.27,14.27,4.09
mayfield,603,410,193,192,1,67.99,32.01,99.48,410,193,148,34,10,1,76.68,17.62,5.18,0.52,182,11,94.3,30,99,281,7.32,24.15,68.54,28.79,12.9
mcelderry park,942,751,191,166,25,79.72,20.28,86.91,751,191,8,40,118,25,4.19,20.94,61.78,13.09,48,143,25.13,32,158,561,4.26,21.04,74.7,18.1,6.07
medfield,384,241,143,128,15,62.76,37.24,89.51,241,143,100,11,17,15,69.93,7.69,11.89,10.49,111,32,77.62,16,50,175,6.64,20.75,72.61,32.41,14.12
medford,266,120,146,146,NA,45.11,54.89,100,120,146,117,16,13,NA,80.14,10.96,8.9,NA,133,13,91.1,12,56,52,10,46.67,43.33,24.38,12.99
mid-govans,517,358,159,157,2,69.25,30.75,98.74,358,159,132,8,17,2,83.02,5.03,10.69,1.26,140,19,88.05,14,31,313,3.91,8.66,87.43,16.39,7.68
mid-town belvedere,1218,1040,178,169,9,85.39,14.61,94.94,1040,178,19,74,76,9,10.67,41.57,42.7,5.06,93,85,52.25,74,175,791,7.12,16.83,76.06,25.88,7.36
middle branch/reedbird parks,1496,1373,123,123,NA,91.78,8.22,100,1373,123,25,98,NA,NA,20.33,79.67,NA,NA,123,NA,100,85,253,1035,6.19,18.43,75.38,17.73,6.89
middle east,990,615,375,347,28,62.12,37.88,92.53,615,375,56,37,254,28,14.93,9.87,67.73,7.47,93,282,24.8,48,117,450,7.8,19.02,73.17,17.15,4.85
midtown-edmondson,606,265,341,260,81,43.73,56.27,76.25,265,341,49,19,192,81,14.37,5.57,56.3,23.75,68,273,19.94,22,78,165,8.3,29.43,62.26,23.33,9.09
millhill,294,147,147,127,20,50,50,86.39,147,147,36,13,78,20,24.49,8.84,53.06,13.61,49,98,33.33,13,42,92,8.84,28.57,62.59,27.79,9.94
milton-montford,391,289,102,95,7,73.91,26.09,93.14,289,102,NA,6,89,7,NA,5.88,87.25,6.86,6,96,5.88,8,51,230,2.77,17.65,79.58,15.3,3.74
mondawmin,1030,544,486,453,33,52.82,47.18,93.21,544,486,222,36,195,33,45.68,7.41,40.12,6.79,258,228,53.09,43,117,384,7.9,21.51,70.59,20.6,9.17
montebello,476,258,218,218,NA,54.2,45.8,100,258,218,198,16,4,NA,90.83,7.34,1.83,NA,214,4,98.17,16,65,177,6.2,25.19,68.6,25.91,11.6
moravia-walther,310,211,99,99,NA,68.06,31.94,100,211,99,79,20,NA,NA,79.8,20.2,NA,NA,99,NA,100,5,37,169,2.37,17.54,80.09,25.52,12.37
morgan park,166,111,55,55,NA,66.87,33.13,100,111,55,51,4,NA,NA,92.73,7.27,NA,NA,55,NA,100,16,25,70,14.41,22.52,63.06,35.1,17.69
morgan state university,311,194,117,117,NA,62.38,37.62,100,194,117,92,19,6,NA,78.63,16.24,5.13,NA,111,6,94.87,7,34,153,3.61,17.53,78.87,24.15,10.24
morrell park,1244,547,697,685,12,43.97,56.03,98.28,547,697,514,55,116,12,73.74,7.89,16.64,1.72,569,128,81.64,56,114,377,10.24,20.84,68.92,27.32,11.47
mosher,446,186,260,236,24,41.7,58.3,90.77,186,260,97,11,128,24,37.31,4.23,49.23,9.23,108,152,41.54,8,59,119,4.3,31.72,63.98,33.03,17.01
mount holly,403,99,304,300,4,24.57,75.43,98.68,99,304,278,10,12,4,91.45,3.29,3.95,1.32,288,16,94.74,18,33,48,18.18,33.33,48.48,32.36,20.55
mount vernon,1378,1057,321,289,32,76.71,23.29,90.03,1057,321,6,59,224,32,1.87,18.38,69.78,9.97,65,256,20.25,90,107,860,8.51,10.12,81.36,23.33,7.77
mount washington,2238,1641,597,596,1,73.32,26.68,99.83,1641,597,486,107,3,1,81.41,17.92,0.5,0.17,593,4,99.33,214,506,921,13.04,30.83,56.12,38.19,15.36
mount winans,142,102,40,38,2,71.83,28.17,95,102,40,13,24,1,2,32.5,60,2.5,5,37,3,92.5,9,23,70,8.82,22.55,68.63,37,14.41
mt pleasant park,233,192,41,41,NA,82.4,17.6,100,192,41,7,34,NA,NA,17.07,82.93,NA,NA,41,NA,100,17,56,119,8.85,29.17,61.98,20.92,7.56
new northwood,686,508,178,178,NA,74.05,25.95,100,508,178,143,28,6,NA,80.34,15.73,3.37,NA,171,6,96.07,37,120,351,7.28,23.62,69.09,18.66,10.2
new southwest/mount clare,649,395,254,217,37,60.86,39.14,85.43,395,254,24,27,166,37,9.45,10.63,65.35,14.57,51,203,20.08,17,72,306,4.3,18.23,77.47,19.88,6.82
north harford road,1400,513,887,877,10,36.64,63.36,98.87,513,887,809,43,25,10,91.21,4.85,2.82,1.13,852,35,96.05,56,140,317,10.92,27.29,61.79,31.37,14.52
north roland park/poplar hill,355,333,22,22,NA,93.8,6.2,100,333,22,8,14,NA,NA,36.36,63.64,NA,NA,22,NA,100,22,61,250,6.61,18.32,75.08,37.65,15.65
northwest community action,444,166,278,273,5,37.39,62.61,98.2,166,278,143,17,113,5,51.44,6.12,40.65,1.8,160,118,57.55,13,30,123,7.83,18.07,74.1,29.19,13.36
o'donnell heights,82,52,30,30,NA,63.41,36.59,100,52,30,29,1,NA,NA,96.67,3.33,NA,NA,30,NA,100,3,11,38,5.77,21.15,73.08,14.35,2.25
oakenshawe,518,446,72,72,NA,86.1,13.9,100,446,72,30,29,13,NA,41.67,40.28,18.06,NA,59,13,81.94,35,160,251,7.85,35.87,56.28,26.39,11.07
oaklee,61,16,45,45,NA,26.23,73.77,100,16,45,35,4,6,NA,77.78,8.89,13.33,NA,39,6,86.67,2,5,9,12.5,31.25,56.25,23.56,12.68
old goucher,369,348,21,15,6,94.31,5.69,71.43,348,21,NA,10,5,6,NA,47.62,23.81,28.57,10,11,47.62,17,109,222,4.89,31.32,63.79,19.76,6.39
oldtown,699,342,357,307,50,48.93,51.07,85.99,342,357,31,31,245,50,8.68,8.68,68.63,14.01,62,295,17.37,42,115,185,12.28,33.63,54.09,23.43,11.82
oliver,1526,945,581,461,120,61.93,38.07,79.35,945,581,43,93,325,120,7.4,16.01,55.94,20.65,136,445,23.41,98,237,610,10.37,25.08,64.55,19.31,8.04
orangeville,278,169,109,109,NA,60.79,39.21,100,169,109,64,10,35,NA,58.72,9.17,32.11,NA,74,35,67.89,26,47,96,15.38,27.81,56.8,22.81,10.48
orangeville industrial area,212,164,48,48,NA,77.36,22.64,100,164,48,12,17,19,NA,25,35.42,39.58,NA,29,19,60.42,8,29,127,4.88,17.68,77.44,18.15,5.81
orchard ridge,429,278,151,151,NA,64.8,35.2,100,278,151,134,12,5,NA,88.74,7.95,3.31,NA,146,5,96.69,22,77,179,7.91,27.7,64.39,18.76,5.3
original northwood,393,325,68,68,NA,82.7,17.3,100,325,68,39,29,NA,NA,57.35,42.65,NA,NA,68,NA,100,14,55,256,4.31,16.92,78.77,33.07,14.82
otterbein,520,374,146,126,20,71.92,28.08,86.3,374,146,7,27,92,20,4.79,18.49,63.01,13.7,34,112,23.29,17,72,285,4.55,19.25,76.2,25.87,9.63
overlea,289,200,89,89,NA,69.2,30.8,100,200,89,69,19,1,NA,77.53,21.35,1.12,NA,88,1,98.88,19,59,122,9.5,29.5,61,38.77,17.08
panway/braddish avenue,299,135,164,163,1,45.15,54.85,99.39,135,164,149,11,3,1,90.85,6.71,1.83,0.61,160,4,97.56,10,44,81,7.41,32.59,60,32.51,18.43
park circle,827,373,454,426,28,45.1,54.9,93.83,373,454,324,31,71,28,71.37,6.83,15.64,6.17,355,99,78.19,54,102,217,14.48,27.35,58.18,30.75,14.51
parklane,276,176,100,99,1,63.77,36.23,99,176,100,60,34,5,1,60,34,5,1,94,6,94,24,65,87,13.64,36.93,49.43,42.77,16.35
parkside,217,38,179,179,NA,17.51,82.49,100,38,179,171,5,3,NA,95.53,2.79,1.68,NA,176,3,98.32,3,18,17,7.89,47.37,44.74,12.76,4.34
parkview/woodbrook,673,471,202,192,10,69.99,30.01,95.05,471,202,68,24,100,10,33.66,11.88,49.5,4.95,92,110,45.54,33,105,333,7.01,22.29,70.7,22.2,10.51
patterson park,2021,1839,182,181,1,90.99,9.01,99.45,1839,182,68,88,25,1,37.36,48.35,13.74,0.55,156,26,85.71,98,244,1497,5.33,13.27,81.4,25.36,13.41
patterson park neighborhood,1319,1099,220,177,43,83.32,16.68,80.45,1099,220,6,27,144,43,2.73,12.27,65.45,19.55,33,187,15,26,177,896,2.37,16.11,81.53,16.24,5.54
patterson place,274,240,34,25,9,87.59,12.41,73.53,240,34,3,5,17,9,8.82,14.71,50,26.47,8,26,23.53,13,65,162,5.42,27.08,67.5,19.64,6.54
pen lucy,277,113,164,160,4,40.79,59.21,97.56,113,164,115,10,35,4,70.12,6.1,21.34,2.44,125,39,76.22,8,19,86,7.08,16.81,76.11,22.07,10.83
penn north,498,264,234,197,37,53.01,46.99,84.19,264,234,5,20,172,37,2.14,8.55,73.5,15.81,25,209,10.68,19,67,178,7.2,25.38,67.42,21.97,9.69
penn-fallsway,417,117,300,272,28,28.06,71.94,90.67,117,300,1,11,260,28,0.33,3.67,86.67,9.33,12,288,4,11,25,81,9.4,21.37,69.23,19.5,10.36
penrose/fayette street outreach,781,311,470,424,46,39.82,60.18,90.21,311,470,94,22,308,46,20,4.68,65.53,9.79,116,354,24.68,21,115,175,6.75,36.98,56.27,25.58,10
perkins homes,192,137,55,52,3,71.35,28.65,94.55,137,55,25,16,11,3,45.45,29.09,20,5.45,41,14,74.55,23,41,73,16.79,29.93,53.28,19.5,7.95
perring loch,876,312,564,564,NA,35.62,64.38,100,312,564,537,26,NA,NA,95.21,4.61,NA,NA,563,NA,99.82,31,82,199,9.94,26.28,63.78,31.43,18.1
pimlico good neighbors,269,188,81,80,1,69.89,30.11,98.77,188,81,61,7,12,1,75.31,8.64,14.81,1.23,68,13,83.95,23,40,125,12.23,21.28,66.49,26.12,11.18
pleasant view gardens,154,67,87,84,3,43.51,56.49,96.55,67,87,23,7,54,3,26.44,8.05,62.07,3.45,30,57,34.48,6,10,51,8.96,14.93,76.12,17.22,7.17
poppleton,1064,621,443,401,42,58.36,41.64,90.52,621,443,24,18,359,42,5.42,4.06,81.04,9.48,42,401,9.48,38,134,449,6.12,21.58,72.3,26.19,8.84
port covington,190,171,19,19,NA,90,10,100,171,19,4,11,4,NA,21.05,57.89,21.05,NA,15,4,78.95,3,37,131,1.75,21.64,76.61,13.65,6.35
pulaski industrial area,1062,538,524,523,1,50.66,49.34,99.81,538,524,377,26,120,1,71.95,4.96,22.9,0.19,403,121,76.91,54,229,255,10.04,42.57,47.4,22.09,9.6
purnell,8,7,1,1,NA,87.5,12.5,100,7,1,1,NA,NA,NA,100,NA,NA,NA,1,NA,100,NA,3,4,NA,42.86,57.14,35.57,10
radnor-winston,250,191,59,59,NA,76.4,23.6,100,191,59,42,17,NA,NA,71.19,28.81,NA,NA,59,NA,100,24,72,95,12.57,37.7,49.74,27.07,13.77
ramblewood,666,312,354,353,1,46.85,53.15,99.72,312,354,311,39,3,1,87.85,11.02,0.85,0.28,350,4,98.87,17,80,215,5.45,25.64,68.91,26.05,14.82
reisterstown station,316,156,160,160,NA,49.37,50.63,100,156,160,133,12,15,NA,83.12,7.5,9.38,NA,145,15,90.62,24,29,103,15.38,18.59,66.03,36.33,15.11
remington,1070,672,398,294,104,62.8,37.2,73.87,672,398,80,29,185,104,20.1,7.29,46.48,26.13,109,289,27.39,55,123,494,8.18,18.3,73.51,29.15,10.1
reservoir hill,1701,1454,247,214,33,85.48,14.52,86.64,1454,247,38,77,99,33,15.38,31.17,40.08,13.36,115,132,46.56,128,298,1028,8.8,20.5,70.7,22.36,9.49
richnor springs,17,8,9,9,NA,47.06,52.94,100,8,9,9,NA,NA,NA,100,NA,NA,NA,9,NA,100,1,3,4,12.5,37.5,50,24.62,18.8
ridgely's delight,476,413,63,54,9,86.76,13.24,85.71,413,63,3,18,33,9,4.76,28.57,52.38,14.29,21,42,33.33,14,61,338,3.39,14.77,81.84,27.18,11.46
riverside,2128,1507,621,556,65,70.82,29.18,89.53,1507,621,25,77,454,65,4.03,12.4,73.11,10.47,102,519,16.43,90,441,976,5.97,29.26,64.76,23.04,9.65
rognel heights,558,288,270,268,2,51.61,48.39,99.26,288,270,224,37,7,2,82.96,13.7,2.59,0.74,261,9,96.67,23,97,168,7.99,33.68,58.33,29.67,15.52
roland park,3382,2910,472,470,2,86.04,13.96,99.58,2910,472,234,221,13,2,49.58,46.82,2.75,0.42,455,15,96.4,132,534,2244,4.54,18.35,77.11,34.7,14.56
rosebank,146,110,36,35,1,75.34,24.66,97.22,110,36,4,4,27,1,11.11,11.11,75,2.78,8,28,22.22,8,37,65,7.27,33.64,59.09,27.09,14.7
rosemont,717,267,450,450,NA,37.24,62.76,100,267,450,379,26,45,NA,84.22,5.78,10,NA,405,45,90,14,87,166,5.24,32.58,62.17,42.13,20.2
rosemont east,430,241,189,189,NA,56.05,43.95,100,241,189,157,28,4,NA,83.07,14.81,2.12,NA,185,4,97.88,29,98,114,12.03,40.66,47.3,43.71,20.16
rosemont homeowners/tenants,280,65,215,197,18,23.21,76.79,91.63,65,215,53,4,140,18,24.65,1.86,65.12,8.37,57,158,26.51,8,21,36,12.31,32.31,55.38,25.45,11.72
sabina-mattfeldt,193,172,21,21,NA,89.12,10.88,100,172,21,12,9,NA,NA,57.14,42.86,NA,NA,21,NA,100,13,50,109,7.56,29.07,63.37,30.44,12.23
saint agnes,65,43,22,22,NA,66.15,33.85,100,43,22,3,15,4,NA,13.64,68.18,18.18,NA,18,4,81.82,8,9,26,18.6,20.93,60.47,39.02,17.5
saint helena,71,21,50,50,NA,29.58,70.42,100,21,50,46,4,NA,NA,92,8,NA,NA,50,NA,100,6,6,9,28.57,28.57,42.86,30.76,15.61
saint josephs,447,115,332,331,1,25.73,74.27,99.7,115,332,264,11,56,1,79.52,3.31,16.87,0.3,275,57,82.83,9,61,45,7.83,53.04,39.13,29.6,14.22
saint paul,75,70,5,5,NA,93.33,6.67,100,70,5,4,NA,1,NA,80,NA,20,NA,4,1,80,7,20,43,10,28.57,61.43,14.5,4.78
sandtown-winchester,2264,1234,1030,877,153,54.51,45.49,85.15,1234,1030,48,99,730,153,4.66,9.61,70.87,14.85,147,883,14.27,190,786,258,15.4,63.7,20.91,21.96,8.75
seton business park,132,112,20,20,NA,84.85,15.15,100,112,20,18,2,NA,NA,90,10,NA,NA,20,NA,100,7,16,89,6.25,14.29,79.46,34.1,14.47
seton hill,623,481,142,94,48,77.21,22.79,66.2,481,142,8,28,58,48,5.63,19.72,40.85,33.8,36,106,25.35,83,115,283,17.26,23.91,58.84,28.51,13.42
sharp-leadenhall,510,412,98,78,20,80.78,19.22,79.59,412,98,3,20,55,20,3.06,20.41,56.12,20.41,23,75,23.47,23,90,299,5.58,21.84,72.57,21.62,8.06
shipley hill,552,292,260,232,28,52.9,47.1,89.23,292,260,17,17,198,28,6.54,6.54,76.15,10.77,34,226,13.08,14,53,225,4.79,18.15,77.05,21.09,6.74
south baltimore,812,461,351,322,29,56.77,43.23,91.74,461,351,13,34,275,29,3.7,9.69,78.35,8.26,47,304,13.39,27,131,303,5.86,28.42,65.73,21.26,7.12
south clifton park,264,114,150,123,27,43.18,56.82,82,114,150,24,6,93,27,16,4,62,18,30,120,20,16,34,64,14.04,29.82,56.14,24.46,9.86
spring garden industrial area,52,29,23,22,1,55.77,44.23,95.65,29,23,4,3,15,1,17.39,13.04,65.22,4.35,7,16,30.43,1,5,23,3.45,17.24,79.31,24.24,8.24
stadium area,134,104,30,28,2,77.61,22.39,93.33,104,30,20,3,5,2,66.67,10,16.67,6.67,23,7,76.67,NA,9,95,NA,8.65,91.35,25.14,10.03
stonewood-pentwood-winston,143,61,82,82,NA,42.66,57.34,100,61,82,61,17,4,NA,74.39,20.73,4.88,NA,78,4,95.12,14,24,23,22.95,39.34,37.7,35.9,23.3
taylor heights,16,15,1,1,NA,93.75,6.25,100,15,1,NA,1,NA,NA,NA,100,NA,NA,1,NA,100,NA,4,11,NA,26.67,73.33,29.67,10.37
ten hills,626,317,309,309,NA,50.64,49.36,100,317,309,268,41,NA,NA,86.73,13.27,NA,NA,309,NA,100,14,86,217,4.42,27.13,68.45,39.29,16.7
the orchards,456,360,96,96,NA,78.95,21.05,100,360,96,89,7,NA,NA,92.71,7.29,NA,NA,96,NA,100,18,120,222,5,33.33,61.67,26.27,14.47
towanda-grantley,267,93,174,165,9,34.83,65.17,94.83,93,174,112,9,44,9,64.37,5.17,25.29,5.17,121,53,69.54,21,27,45,22.58,29.03,48.39,34.9,18.68
tremont,123,51,72,72,NA,41.46,58.54,100,51,72,57,7,8,NA,79.17,9.72,11.11,NA,64,8,88.89,3,16,32,5.88,31.37,62.75,38.8,16.05
tuscany-canterbury,459,348,111,111,NA,75.82,24.18,100,348,111,62,16,33,NA,55.86,14.41,29.73,NA,78,33,70.27,18,70,260,5.17,20.11,74.71,28.88,12.57
union square,565,465,100,64,36,82.3,17.7,64,465,100,8,32,24,36,8,32,24,36,40,60,40,21,80,364,4.52,17.2,78.28,25.31,8.85
university of maryland,664,505,159,155,4,76.05,23.95,97.48,505,159,15,20,120,4,9.43,12.58,75.47,2.52,35,124,22.01,30,136,339,5.94,26.93,67.13,24.23,8.11
uplands,444,381,63,63,NA,85.81,14.19,100,381,63,40,16,7,NA,63.49,25.4,11.11,NA,56,7,88.89,6,48,327,1.57,12.6,85.83,21.29,5.29
upper fells point,908,710,198,168,30,78.19,21.81,84.85,710,198,3,32,133,30,1.52,16.16,67.17,15.15,35,163,17.68,30,128,552,4.23,18.03,77.75,26.35,9.14
upton,1572,776,796,661,135,49.36,50.64,83.04,776,796,62,51,548,135,7.79,6.41,68.84,16.96,113,683,14.2,138,466,172,17.78,60.05,22.16,24.9,10.87
violetville,703,358,345,345,NA,50.92,49.08,100,358,345,293,52,NA,NA,84.93,15.07,NA,NA,345,NA,100,55,94,209,15.36,26.26,58.38,35.73,16.2
wakefield,32,31,1,1,NA,96.88,3.12,100,31,1,1,NA,NA,NA,100,NA,NA,NA,1,NA,100,1,7,23,3.23,22.58,74.19,31.65,11.97
walbrook,872,390,482,470,12,44.72,55.28,97.51,390,482,396,34,40,12,82.16,7.05,8.3,2.49,430,52,89.21,39,99,252,10,25.38,64.62,25.91,13.48
waltherson,1335,561,774,768,6,42.02,57.98,99.22,561,774,646,54,68,6,83.46,6.98,8.79,0.78,700,74,90.44,80,222,259,14.26,39.57,46.17,30.33,15.34
washington hill,1020,643,377,352,25,63.04,36.96,93.37,643,377,19,38,295,25,5.04,10.08,78.25,6.63,57,320,15.12,45,214,384,7,33.28,59.72,24.57,10.03
washington village/pigtown,1579,1065,514,435,79,67.45,32.55,84.63,1065,514,51,100,284,79,9.92,19.46,55.25,15.37,151,363,29.38,38,130,897,3.57,12.21,84.23,20.34,7.68
waverly,566,329,237,224,13,58.13,41.87,94.51,329,237,176,23,25,13,74.26,9.7,10.55,5.49,199,38,83.97,32,108,189,9.73,32.83,57.45,28.59,13.52
west arlington,1047,257,790,782,8,24.55,75.45,98.99,257,790,752,18,12,8,95.19,2.28,1.52,1.01,770,20,97.47,99,87,71,38.52,33.85,27.63,46.38,21.61
west forest park,608,279,329,327,2,45.89,54.11,99.39,279,329,275,40,12,2,83.59,12.16,3.65,0.61,315,14,95.74,57,123,99,20.43,44.09,35.48,37.38,18.21
west hills,464,254,210,210,NA,54.74,45.26,100,254,210,176,27,7,NA,83.81,12.86,3.33,NA,203,7,96.67,16,61,177,6.3,24.02,69.69,35.55,15.66
westfield,954,341,613,606,7,35.74,64.26,98.86,341,613,537,21,48,7,87.6,3.43,7.83,1.14,558,55,91.03,35,103,203,10.26,30.21,59.53,28.32,12.93
westgate,620,363,257,256,1,58.55,41.45,99.61,363,257,209,32,15,1,81.32,12.45,5.84,0.39,241,16,93.77,25,111,227,6.89,30.58,62.53,45.64,19.49
westport,655,440,215,192,23,67.18,32.82,89.3,440,215,88,48,56,23,40.93,22.33,26.05,10.7,136,79,63.26,38,150,252,8.64,34.09,57.27,19.45,10.3
wilhelm park,100,71,29,29,NA,71,29,100,71,29,22,5,2,NA,75.86,17.24,6.9,NA,27,2,93.1,2,20,49,2.82,28.17,69.01,30.68,15.21
wilson park,102,70,32,31,1,68.63,31.37,96.88,70,32,8,7,16,1,25,21.88,50,3.12,15,17,46.88,11,24,35,15.71,34.29,50,20.9,12.99
winchester,251,81,170,154,16,32.27,67.73,90.59,81,170,94,5,55,16,55.29,2.94,32.35,9.41,99,71,58.24,8,26,47,9.88,32.1,58.02,36.81,18.43
windsor hills,547,222,325,325,NA,40.59,59.41,100,222,325,292,31,2,NA,89.85,9.54,0.62,NA,323,2,99.38,24,84,114,10.81,37.84,51.35,36.45,17.7
winston-govans,162,49,113,113,NA,30.25,69.75,100,49,113,110,2,1,NA,97.35,1.77,0.88,NA,112,1,99.12,9,17,23,18.37,34.69,46.94,22.57,15.79
woodberry,343,276,67,66,1,80.47,19.53,98.51,276,67,28,11,27,1,41.79,16.42,40.3,1.49,39,28,58.21,11,38,227,3.99,13.77,82.25,24.55,10.52
woodbourne heights,565,285,280,279,1,50.44,49.56,99.64,285,280,242,34,3,1,86.43,12.14,1.07,0.36,276,4,98.57,14,58,213,4.91,20.35,74.74,21.48,11.06
woodbourne-mccabe,91,39,52,52,NA,42.86,57.14,100,39,52,33,10,9,NA,63.46,19.23,17.31,NA,43,9,82.69,7,18,14,17.95,46.15,35.9,22.56,16.35
woodmere,516,151,365,359,6,29.26,70.74,98.36,151,365,282,17,60,6,77.26,4.66,16.44,1.64,299,66,81.92,26,77,48,17.22,50.99,31.79,32.84,16.2
wrenlane,26,12,14,14,NA,46.15,53.85,100,12,14,8,3,3,NA,57.14,21.43,21.43,NA,11,3,78.57,NA,4,8,NA,33.33,66.67,21,13.94
wyman park,607,508,99,99,NA,83.69,16.31,100,508,99,54,14,31,NA,54.55,14.14,31.31,NA,68,31,68.69,38,109,361,7.48,21.46,71.06,26.83,12.24
wyndhurst,696,569,127,126,1,81.75,18.25,99.21,569,127,52,43,31,1,40.94,33.86,24.41,0.79,95,32,74.8,7,62,500,1.23,10.9,87.87,26.9,11.59
yale heights,507,172,335,335,NA,33.93,66.07,100,172,335,320,15,NA,NA,95.52,4.48,NA,NA,335,NA,100,17,60,95,9.88,34.88,55.23,37.45,20.12
york-homeland,14,13,1,1,NA,92.86,7.14,100,13,1,NA,NA,1,NA,NA,NA,100,NA,NA,1,NA,1,4,8,7.69,30.77,61.54,18.69,7.4
