nbrdesc,num_spaces_with_live_trees,num_spaces_without_live_trees,num_easy,num_moderate,num_hard,num_not_suitable,perc_of_nontreed_easy,perc_of_nontreed_moderate,perc_of_nontreed_hard,perc_of_nontreed_unsuitable,num_easy_or_moderate,num_hard_or_unsuitable,perc_easy_or_moderate_of_nontreed
edmondson village,281,147,109,18,5,15,74.15,12.24,3.4,10.2,127,20,86.39
ednor gardens-lakeside,1069,587,513,67,7,NA,87.39,11.41,1.19,NA,580,7,98.81
ellwood park/monument,860,207,26,50,106,25,12.56,24.15,51.21,12.08,76,131,36.71
evergreen,285,34,8,25,1,NA,23.53,73.53,2.94,NA,33,1,97.06
evergreen lawn,118,147,54,12,65,16,36.73,8.16,44.22,10.88,66,81,44.9
evesham park,272,24,8,16,NA,NA,33.33,66.67,NA,NA,24,NA,100
fairfield area,228,108,78,13,17,NA,72.22,12.04,15.74,NA,91,17,84.26
fairmont,163,191,130,30,31,NA,68.06,15.71,16.23,NA,160,31,83.77
fallstaff,260,299,243,10,46,NA,81.27,3.34,15.38,NA,253,46,84.62
federal hill,768,263,1,53,190,19,0.38,20.15,72.24,7.22,54,209,20.53
fells point,953,444,17,55,316,56,3.83,12.39,71.17,12.61,72,372,16.22
forest park,173,488,430,23,26,9,88.11,4.71,5.33,1.84,453,35,92.83
forest park golf course,204,201,169,30,1,1,84.08,14.93,0.5,0.5,199,2,99
four by four,21,69,38,2,28,1,55.07,2.9,40.58,1.45,40,29,57.97
frankford,1461,1183,958,84,117,23,80.98,7.1,9.89,1.94,1042,140,88.08
franklin square,640,454,10,42,318,84,2.2,9.25,70.04,18.5,52,402,11.45
franklintown,969,47,NA,47,NA,NA,NA,100,NA,NA,47,NA,100
franklintown road,145,173,118,24,28,3,68.21,13.87,16.18,1.73,142,31,82.08
garwyn oaks,186,233,192,29,12,NA,82.4,12.45,5.15,NA,221,12,94.85
gay street,328,280,16,35,150,79,5.71,12.5,53.57,28.21,51,229,18.21
glen,662,732,652,39,36,5,89.07,5.33,4.92,0.68,691,41,94.4
glen oaks,741,337,277,56,4,NA,82.2,16.62,1.19,NA,333,4,98.81
glenham-belhar,393,656,544,32,71,9,82.93,4.88,10.82,1.37,576,80,87.8
graceland park,362,369,295,34,40,NA,79.95,9.21,10.84,NA,329,40,89.16
greektown,567,272,70,31,162,9,25.74,11.4,59.56,3.31,101,171,37.13
greenmount cemetery,49,10,3,4,3,NA,30,40,30,NA,7,3,70
greenmount west,345,177,3,22,139,13,1.69,12.43,78.53,7.34,25,152,14.12
greenspring,191,420,343,32,44,1,81.67,7.62,10.48,0.24,375,45,89.29
grove park,213,421,400,18,3,NA,95.01,4.28,0.71,NA,418,3,99.29
guilford,2147,412,274,127,10,1,66.5,30.83,2.43,0.24,401,11,97.33
gwynns falls,222,163,95,13,53,2,58.28,7.98,32.52,1.23,108,55,66.26
gwynns falls/leakin park,344,52,NA,52,NA,NA,NA,100,NA,NA,52,NA,100
hamilton hills,1235,1387,1199,120,67,1,86.45,8.65,4.83,0.07,1319,68,95.1
hampden,1318,575,171,49,336,19,29.74,8.52,58.43,3.3,220,355,38.26
hanlon-longwood,612,539,462,52,25,NA,85.71,9.65,4.64,NA,514,25,95.36
harlem park,1224,777,34,94,422,227,4.38,12.1,54.31,29.21,128,649,16.47
harwood,365,62,1,6,49,6,1.61,9.68,79.03,9.68,7,55,11.29
hawkins point,144,98,73,25,NA,NA,74.49,25.51,NA,NA,98,NA,100
heritage crossing,609,62,20,20,22,NA,32.26,32.26,35.48,NA,40,22,64.52
herring run park,538,34,1,33,NA,NA,2.94,97.06,NA,NA,34,NA,100
highlandtown,656,299,42,40,185,32,14.05,13.38,61.87,10.7,82,217,27.42
hillen,143,205,198,7,NA,NA,96.59,3.41,NA,NA,205,NA,100
hoes heights,126,57,36,13,8,NA,63.16,22.81,14.04,NA,49,8,85.96
holabird industrial park,634,22,NA,20,2,NA,NA,90.91,9.09,NA,20,2,90.91
hollins market,569,151,3,21,107,20,1.99,13.91,70.86,13.25,24,127,15.89
homeland,1440,135,66,49,12,7,48.89,36.3,8.89,5.19,115,19,85.19
hopkins bayview,409,82,27,18,35,2,32.93,21.95,42.68,2.44,45,37,54.88
howard park,1303,2316,2105,166,40,5,90.89,7.17,1.73,0.22,2271,45,98.06
hunting ridge,464,228,189,37,1,NA,82.89,16.23,0.44,NA,226,1,99.12
idlewood,275,402,379,21,2,NA,94.28,5.22,0.5,NA,400,2,99.5
inner harbor,475,257,10,48,184,15,3.89,18.68,71.6,5.84,58,199,22.57
irvington,629,427,250,51,120,6,58.55,11.94,28.1,1.41,301,126,70.49
johns hopkins homewood,333,76,49,12,15,NA,64.47,15.79,19.74,NA,61,15,80.26
johnston square,274,545,32,26,427,60,5.87,4.77,78.35,11.01,58,487,10.64
jones falls area,22,2,NA,2,NA,NA,NA,100,NA,NA,2,NA,100
jonestown,429,345,40,22,274,9,11.59,6.38,79.42,2.61,62,283,17.97
kenilworth park,84,185,179,5,NA,1,96.76,2.7,NA,0.54,184,1,99.46
kernewood,174,110,97,9,2,2,88.18,8.18,1.82,1.82,106,4,96.36
keswick,220,17,12,5,NA,NA,70.59,29.41,NA,NA,17,NA,100
kresson,54,126,39,8,62,17,30.95,6.35,49.21,13.49,47,79,37.3
lake evesham,156,23,18,5,NA,NA,78.26,21.74,NA,NA,23,NA,100
lake walker,309,151,141,10,NA,NA,93.38,6.62,NA,NA,151,NA,100
lakeland,231,102,78,24,NA,NA,76.47,23.53,NA,NA,102,NA,100
langston hughes,60,253,177,9,65,2,69.96,3.56,25.69,0.79,186,67,73.52
lauraville,701,556,486,39,27,4,87.41,7.01,4.86,0.72,525,31,94.42
levindale,204,108,101,7,NA,NA,93.52,6.48,NA,NA,108,NA,100
liberty square,113,131,96,15,19,1,73.28,11.45,14.5,0.76,111,20,84.73
little italy,132,179,3,4,166,6,1.68,2.23,92.74,3.35,7,172,3.91
loch raven,401,564,504,53,6,1,89.36,9.4,1.06,0.18,557,7,98.76
locust point,513,228,4,15,196,13,1.75,6.58,85.96,5.7,19,209,8.33
locust point industrial area,303,88,19,15,53,1,21.59,17.05,60.23,1.14,34,54,38.64
lower edmondson village,26,36,19,2,12,3,52.78,5.56,33.33,8.33,21,15,58.33
lower herring run park,444,36,2,34,NA,NA,5.56,94.44,NA,NA,36,NA,100
loyola/notre dame,35,4,NA,4,NA,NA,NA,100,NA,NA,4,NA,100
lucille park,140,133,74,17,41,1,55.64,12.78,30.83,0.75,91,42,68.42
madison park,677,264,27,22,186,29,10.23,8.33,70.45,10.98,49,215,18.56
madison-eastend,451,108,28,17,56,7,25.93,15.74,51.85,6.48,45,63,41.67
mayfield,410,193,148,34,10,1,76.68,17.62,5.18,0.52,182,11,94.3
mcelderry park,751,191,8,40,118,25,4.19,20.94,61.78,13.09,48,143,25.13
medfield,241,143,100,11,17,15,69.93,7.69,11.89,10.49,111,32,77.62
medford,120,146,117,16,13,NA,80.14,10.96,8.9,NA,133,13,91.1
mid-govans,358,159,132,8,17,2,83.02,5.03,10.69,1.26,140,19,88.05
mid-town belvedere,1040,178,19,74,76,9,10.67,41.57,42.7,5.06,93,85,52.25
middle branch/reedbird parks,1373,123,25,98,NA,NA,20.33,79.67,NA,NA,123,NA,100
middle east,615,375,56,37,254,28,14.93,9.87,67.73,7.47,93,282,24.8
midtown-edmondson,265,341,49,19,192,81,14.37,5.57,56.3,23.75,68,273,19.94
millhill,147,147,36,13,78,20,24.49,8.84,53.06,13.61,49,98,33.33
milton-montford,289,102,NA,6,89,7,NA,5.88,87.25,6.86,6,96,5.88
mondawmin,544,486,222,36,195,33,45.68,7.41,40.12,6.79,258,228,53.09
montebello,258,218,198,16,4,NA,90.83,7.34,1.83,NA,214,4,98.17
moravia-walther,211,99,79,20,NA,NA,79.8,20.2,NA,NA,99,NA,100
morgan park,111,55,51,4,NA,NA,92.73,7.27,NA,NA,55,NA,100
morgan state university,194,117,92,19,6,NA,78.63,16.24,5.13,NA,111,6,94.87
morrell park,547,697,514,55,116,12,73.74,7.89,16.64,1.72,569,128,81.64
mosher,186,260,97,11,128,24,37.31,4.23,49.23,9.23,108,152,41.54
mount holly,99,304,278,10,12,4,91.45,3.29,3.95,1.32,288,16,94.74
mount vernon,1057,321,6,59,224,32,1.87,18.38,69.78,9.97,65,256,20.25
mount washington,1641,597,486,107,3,1,81.41,17.92,0.5,0.17,593,4,99.33
mount winans,102,40,13,24,1,2,32.5,60,2.5,5,37,3,92.5
mt pleasant park,192,41,7,34,NA,NA,17.07,82.93,NA,NA,41,NA,100
new northwood,508,178,143,28,6,NA,80.34,15.73,3.37,NA,171,6,96.07
new southwest/mount clare,395,254,24,27,166,37,9.45,10.63,65.35,14.57,51,203,20.08
north harford road,513,887,809,43,25,10,91.21,4.85,2.82,1.13,852,35,96.05
north roland park/poplar hill,333,22,8,14,NA,NA,36.36,63.64,NA,NA,22,NA,100
northwest community action,166,278,143,17,113,5,51.44,6.12,40.65,1.8,160,118,57.55
o'donnell heights,52,30,29,1,NA,NA,96.67,3.33,NA,NA,30,NA,100
oakenshawe,446,72,30,29,13,NA,41.67,40.28,18.06,NA,59,13,81.94
oaklee,16,45,35,4,6,NA,77.78,8.89,13.33,NA,39,6,86.67
old goucher,348,21,NA,10,5,6,NA,47.62,23.81,28.57,10,11,47.62
oldtown,342,357,31,31,245,50,8.68,8.68,68.63,14.01,62,295,17.37
oliver,945,581,43,93,325,120,7.4,16.01,55.94,20.65,136,445,23.41
orangeville,169,109,64,10,35,NA,58.72,9.17,32.11,NA,74,35,67.89
orangeville industrial area,164,48,12,17,19,NA,25,35.42,39.58,NA,29,19,60.42
orchard ridge,278,151,134,12,5,NA,88.74,7.95,3.31,NA,146,5,96.69
original northwood,325,68,39,29,NA,NA,57.35,42.65,NA,NA,68,NA,100
otterbein,374,146,7,27,92,20,4.79,18.49,63.01,13.7,34,112,23.29
overlea,200,89,69,19,1,NA,77.53,21.35,1.12,NA,88,1,98.88
panway/braddish avenue,135,164,149,11,3,1,90.85,6.71,1.83,0.61,160,4,97.56
park circle,373,454,324,31,71,28,71.37,6.83,15.64,6.17,355,99,78.19
parklane,176,100,60,34,5,1,60,34,5,1,94,6,94
parkside,38,179,171,5,3,NA,95.53,2.79,1.68,NA,176,3,98.32
parkview/woodbrook,471,202,68,24,100,10,33.66,11.88,49.5,4.95,92,110,45.54
patterson park,1839,182,68,88,25,1,37.36,48.35,13.74,0.55,156,26,85.71
patterson park neighborhood,1099,220,6,27,144,43,2.73,12.27,65.45,19.55,33,187,15
patterson place,240,34,3,5,17,9,8.82,14.71,50,26.47,8,26,23.53
pen lucy,113,164,115,10,35,4,70.12,6.1,21.34,2.44,125,39,76.22
penn north,264,234,5,20,172,37,2.14,8.55,73.5,15.81,25,209,10.68
penn-fallsway,117,300,1,11,260,28,0.33,3.67,86.67,9.33,12,288,4
penrose/fayette street outreach,311,470,94,22,308,46,20,4.68,65.53,9.79,116,354,24.68
perkins homes,137,55,25,16,11,3,45.45,29.09,20,5.45,41,14,74.55
perring loch,312,564,537,26,NA,NA,95.21,4.61,NA,NA,563,NA,99.82
pimlico good neighbors,188,81,61,7,12,1,75.31,8.64,14.81,1.23,68,13,83.95
pleasant view gardens,67,87,23,7,54,3,26.44,8.05,62.07,3.45,30,57,34.48
poppleton,621,443,24,18,359,42,5.42,4.06,81.04,9.48,42,401,9.48
port covington,171,19,4,11,4,NA,21.05,57.89,21.05,NA,15,4,78.95
pulaski industrial area,538,524,377,26,120,1,71.95,4.96,22.9,0.19,403,121,76.91
purnell,7,1,1,NA,NA,NA,100,NA,NA,NA,1,NA,100
radnor-winston,191,59,42,17,NA,NA,71.19,28.81,NA,NA,59,NA,100
ramblewood,312,354,311,39,3,1,87.85,11.02,0.85,0.28,350,4,98.87
reisterstown station,156,160,133,12,15,NA,83.12,7.5,9.38,NA,145,15,90.62
remington,672,398,80,29,185,104,20.1,7.29,46.48,26.13,109,289,27.39
reservoir hill,1454,247,38,77,99,33,15.38,31.17,40.08,13.36,115,132,46.56
richnor springs,8,9,9,NA,NA,NA,100,NA,NA,NA,9,NA,100
ridgely's delight,413,63,3,18,33,9,4.76,28.57,52.38,14.29,21,42,33.33
riverside,1507,621,25,77,454,65,4.03,12.4,73.11,10.47,102,519,16.43
rognel heights,288,270,224,37,7,2,82.96,13.7,2.59,0.74,261,9,96.67
roland park,2910,472,234,221,13,2,49.58,46.82,2.75,0.42,455,15,96.4
rosebank,110,36,4,4,27,1,11.11,11.11,75,2.78,8,28,22.22
rosemont,267,450,379,26,45,NA,84.22,5.78,10,NA,405,45,90
rosemont east,241,189,157,28,4,NA,83.07,14.81,2.12,NA,185,4,97.88
rosemont homeowners/tenants,65,215,53,4,140,18,24.65,1.86,65.12,8.37,57,158,26.51
sabina-mattfeldt,172,21,12,9,NA,NA,57.14,42.86,NA,NA,21,NA,100
saint agnes,43,22,3,15,4,NA,13.64,68.18,18.18,NA,18,4,81.82
saint helena,21,50,46,4,NA,NA,92,8,NA,NA,50,NA,100
saint josephs,115,332,264,11,56,1,79.52,3.31,16.87,0.3,275,57,82.83
saint paul,70,5,4,NA,1,NA,80,NA,20,NA,4,1,80
sandtown-winchester,1234,1030,48,99,730,153,4.66,9.61,70.87,14.85,147,883,14.27
seton business park,112,20,18,2,NA,NA,90,10,NA,NA,20,NA,100
seton hill,481,142,8,28,58,48,5.63,19.72,40.85,33.8,36,106,25.35
sharp-leadenhall,412,98,3,20,55,20,3.06,20.41,56.12,20.41,23,75,23.47
