nbrdesc,total_possible,total_trees,total_absent,potential_wellpit
riverside,2128,1584,544,454
rognel heights,558,325,233,7
roland park,3380,3131,249,13
rosebank,146,114,32,27
rosemont,717,293,424,45
rosemont east,430,269,161,4
rosemont homeowners/tenants,280,69,211,140
sabina-mattfeldt,193,181,12,NA
saint agnes,65,58,7,4
saint helena,71,25,46,NA
saint josephs,447,126,321,56
saint paul,75,70,5,1
sandtown-winchester,2264,1333,931,730
seton business park,132,114,18,NA
seton hill,623,509,114,58
sharp-leadenhall,510,432,78,55
shipley hill,552,309,243,198
south baltimore,812,495,317,275
south clifton park,264,120,144,93
spring garden industrial area,52,32,20,15
stadium area,134,107,27,5
stonewood-pentwood-winston,143,78,65,4
taylor heights,16,16,NA,NA
ten hills,626,358,268,NA
the orchards,456,367,89,NA
towanda-grantley,267,102,165,45
tremont,123,58,65,8
tuscany-canterbury,459,364,95,33
union square,565,497,68,24
university of maryland,664,525,139,120
uplands,444,397,47,7
upper fells point,908,742,166,133
upton,1572,827,745,548
violetville,703,410,293,NA
wakefield,32,31,1,NA
walbrook,872,424,448,40
waltherson,1335,615,720,68
washington hill,1020,681,339,295
washington village/pigtown,1579,1165,414,284
waverly,566,352,214,25
west arlington,1047,275,772,12
west forest park,608,319,289,12
west hills,464,281,183,7
westfield,954,362,592,48
westgate,620,395,225,15
westport,655,488,167,56
wilhelm park,100,76,24,2
wilson park,102,77,25,16
winchester,251,86,165,55
windsor hills,547,253,294,2
winston-govans,162,51,111,1
woodberry,343,287,56,27
woodbourne heights,565,319,246,3
woodbourne-mccabe,91,49,42,9
woodmere,516,168,348,60
wrenlane,26,15,11,3
wyman park,607,522,85,31
wyndhurst,696,612,84,31
yale heights,507,187,320,NA
york-homeland,14,13,1,1
