nbrdesc,num_easy,num_moderate,num_hard,num_not_suitable,num_has_tree,num_empty_spaces,perc_easy,perc_moderate,perc_hard,perc_not_suitable,stump_count,dead_count,total_at_moderate_diff,stump_perc_of_moderate_diff,dead_perc_of_moderate_diff,tracked_spaces,live_trees,empty_spaces,poor_perc,fair_perc,good_perc,poor_count,fair_count,good_count,combined_ht,avg_ht,combined_diam,avg_diam,perc_trees_to_spaces,absent,stump,dead,poor,fair,good,unknown
hillen,198,7,NA,NA,143,205,96.59,3.41,NA,NA,5,2,7,71.43,28.57,348,143,205,16.08,32.17,51.75,23,46,74,5449,38.1,2919.2,20.41,41.09,198,5,2,23,46,74,NA
hoes heights,36,13,8,NA,126,57,63.16,22.81,14.04,NA,10,3,13,76.92,23.08,183,126,57,13.49,33.33,53.17,17,42,67,4038,32.05,1620.1,12.86,68.85,44,10,3,17,42,67,NA
holabird industrial park,NA,20,2,NA,634,22,NA,90.91,9.09,NA,17,3,20,85,15,656,634,22,6.31,29.5,64.2,40,187,407,10998,17.35,4440.7,7,96.65,2,17,3,40,187,407,NA
hollins market,3,21,107,20,569,151,1.99,13.91,70.86,13.25,13,8,21,61.9,38.1,720,569,151,4.75,26.36,68.89,27,150,392,14443,25.38,4794.9,8.43,79.03,130,13,8,27,150,392,NA
homeland,66,49,12,7,1440,135,48.89,36.3,8.89,5.19,39,10,49,79.59,20.41,1575,1440,135,5.76,30.21,64.03,83,435,922,44475,30.89,25387.89,17.63,91.43,85,39,10,83,435,922,1
hopkins bayview,27,18,35,2,409,82,32.93,21.95,42.68,2.44,8,10,18,44.44,55.56,491,409,82,5.87,29.58,64.55,24,121,264,7418,18.14,3044.1,7.44,83.3,64,8,10,24,121,264,NA
howard park,2105,166,40,5,1303,2316,90.89,7.17,1.73,0.22,86,80,166,51.81,48.19,3619,1303,2316,14.66,23.71,61.63,191,309,803,40128,30.8,19116.8,14.67,36,2150,86,80,191,309,803,NA
hunting ridge,189,37,1,NA,464,228,82.89,16.23,0.44,NA,24,13,37,64.86,35.14,692,464,228,4.96,22.84,72.2,23,106,335,16771,36.14,6689.5,14.42,67.05,190,24,13,23,106,335,1
idlewood,379,21,2,NA,275,402,94.28,5.22,0.5,NA,18,3,21,85.71,14.29,677,275,402,19.27,25.82,54.91,53,71,151,9228,33.56,5096.8,18.53,40.62,381,18,3,53,71,151,NA
inner harbor,10,48,184,15,475,257,3.89,18.68,71.6,5.84,28,20,48,58.33,41.67,732,475,257,8.42,21.89,69.68,40,104,331,9769,20.57,3303,6.95,64.89,209,28,20,40,104,331,NA
irvington,250,51,120,6,629,427,58.55,11.94,28.1,1.41,31,20,51,60.78,39.22,1056,629,427,4.77,27.5,67.73,30,173,426,16832,26.76,6659.8,10.59,59.56,376,31,20,30,173,426,NA
johns hopkins homewood,49,12,15,NA,333,76,64.47,15.79,19.74,NA,8,4,12,66.67,33.33,409,333,76,9.01,28.83,62.16,30,96,207,10282,30.88,5218.6,15.67,81.42,64,8,4,30,96,207,NA
johnston square,32,26,427,60,274,545,5.87,4.77,78.35,11.01,13,13,26,50,50,819,274,545,12.41,29.56,58.03,34,81,159,6762,24.68,2851.5,10.41,33.46,519,13,13,34,81,159,NA
jones falls area,NA,2,NA,NA,22,2,NA,100,NA,NA,1,1,2,50,50,24,22,2,NA,31.82,68.18,NA,7,15,386,17.55,175.2,7.96,91.67,NA,1,1,NA,7,15,NA
jonestown,40,22,274,9,429,345,11.59,6.38,79.42,2.61,16,6,22,72.73,27.27,774,429,345,3.26,19.11,77.62,14,82,333,8740,20.37,3473.75,8.1,55.43,323,16,6,14,82,333,NA
kenilworth park,179,5,NA,1,84,185,96.76,2.7,NA,0.54,4,1,5,80,20,269,84,185,21.43,46.43,32.14,18,39,27,2206,26.26,1652.19,19.67,31.23,180,4,1,18,39,27,NA
kernewood,97,9,2,2,174,110,88.18,8.18,1.82,1.82,7,2,9,77.78,22.22,284,174,110,14.37,29.89,55.75,25,52,97,4372,25.13,2106.27,12.11,61.27,101,7,2,25,52,97,NA
keswick,12,5,NA,NA,220,17,70.59,29.41,NA,NA,3,2,5,60,40,237,220,17,5.45,23.18,71.36,12,51,157,7910,35.95,3463,15.74,92.83,12,3,2,12,51,157,NA
kresson,39,8,62,17,54,126,30.95,6.35,49.21,13.49,6,2,8,75,25,180,54,126,20.37,51.85,27.78,11,28,15,1615,29.91,846.2,15.67,30,118,6,2,11,28,15,NA
lake evesham,18,5,NA,NA,156,23,78.26,21.74,NA,NA,1,4,5,20,80,179,156,23,7.69,25.64,66.67,12,40,104,2794,17.91,1635.8,10.49,87.15,18,1,4,12,40,104,NA
lake walker,141,10,NA,NA,309,151,93.38,6.62,NA,NA,9,1,10,90,10,460,309,151,5.18,15.21,79.61,16,47,246,10837,35.07,4905,15.87,67.17,141,9,1,16,47,246,NA
lakeland,78,24,NA,NA,231,102,76.47,23.53,NA,NA,5,19,24,20.83,79.17,333,231,102,7.36,33.77,58.87,17,78,136,7783,33.69,3042.9,13.17,69.37,78,5,19,17,78,136,NA
langston hughes,177,9,65,2,60,253,69.96,3.56,25.69,0.79,8,1,9,88.89,11.11,313,60,253,50,31.67,18.33,30,19,11,2008,33.47,1136.1,18.93,19.17,244,8,1,30,19,11,NA
lauraville,486,39,27,4,701,556,87.41,7.01,4.86,0.72,32,7,39,82.05,17.95,1257,701,556,6.13,22.54,71.33,43,158,500,21423,30.56,9704,13.84,55.77,517,32,7,43,158,500,NA
levindale,101,7,NA,NA,204,108,93.52,6.48,NA,NA,4,3,7,57.14,42.86,312,204,108,10.78,27.45,61.76,22,56,126,5889,28.87,2477,12.14,65.38,101,4,3,22,56,126,NA
liberty square,96,15,19,1,113,131,73.28,11.45,14.5,0.76,8,7,15,53.33,46.67,244,113,131,11.5,24.78,63.72,13,28,72,3265,28.89,1526.5,13.51,46.31,116,8,7,13,28,72,NA
little italy,3,4,166,6,132,179,1.68,2.23,92.74,3.35,3,1,4,75,25,311,132,179,3.79,18.18,78.03,5,24,103,2747,20.81,1011.8,7.67,42.44,175,3,1,5,24,103,NA
loch raven,504,53,6,1,401,564,89.36,9.4,1.06,0.18,47,6,53,88.68,11.32,965,401,564,9.73,29.93,60.35,39,120,242,12435,31.01,7419.3,18.5,41.55,511,47,6,39,120,242,NA
locust point,4,15,196,13,513,228,1.75,6.58,85.96,5.7,7,8,15,46.67,53.33,741,513,228,2.92,16.18,80.9,15,83,415,10291,20.06,4738.3,9.24,69.23,213,7,8,15,83,415,NA
locust point industrial area,19,15,53,1,303,88,21.59,17.05,60.23,1.14,7,8,15,46.67,53.33,391,303,88,9.57,11.55,78.88,29,35,239,5027,16.59,1785.9,5.89,77.49,73,7,8,29,35,239,NA
lower edmondson village,19,2,12,3,26,36,52.78,5.56,33.33,8.33,2,NA,2,100,NA,62,26,36,15.38,53.85,30.77,4,14,8,794,30.54,457.5,17.6,41.94,34,2,NA,4,14,8,NA
lower herring run park,2,34,NA,NA,444,36,5.56,94.44,NA,NA,9,25,34,26.47,73.53,480,444,36,5.41,17.34,77.25,24,77,343,8989,20.25,3215.3,7.24,92.5,2,9,25,24,77,343,NA
loyola/notre dame,NA,4,NA,NA,35,4,NA,100,NA,NA,1,3,4,25,75,39,35,4,5.71,34.29,60,2,12,21,1216,34.74,533.8,15.25,89.74,NA,1,3,2,12,21,NA
lucille park,74,17,41,1,140,133,55.64,12.78,30.83,0.75,13,4,17,76.47,23.53,273,140,133,21.43,52.14,26.43,30,73,37,3591,25.65,1573.2,11.24,51.28,116,13,4,30,73,37,NA
madison park,27,22,186,29,677,264,10.23,8.33,70.45,10.98,16,6,22,72.73,27.27,941,677,264,8.57,42.84,48.6,58,290,329,18309,27.04,7431.9,10.98,71.94,242,16,6,58,290,329,NA
madison-eastend,28,17,56,7,451,108,25.93,15.74,51.85,6.48,13,4,17,76.47,23.53,559,451,108,4.88,14.86,80.27,22,67,362,6434,14.27,1846.6,4.09,80.68,91,13,4,22,67,362,NA
mayfield,148,34,10,1,410,193,76.68,17.62,5.18,0.52,29,5,34,85.29,14.71,603,410,193,7.32,24.15,68.54,30,99,281,11804,28.79,5288.4,12.9,67.99,159,29,5,30,99,281,NA
mcelderry park,8,40,118,25,751,191,4.19,20.94,61.78,13.09,26,14,40,65,35,942,751,191,4.26,21.04,74.7,32,158,561,13595,18.1,4561.2,6.07,79.72,151,26,14,32,158,561,NA
medfield,100,11,17,15,241,143,69.93,7.69,11.89,10.49,7,4,11,63.64,36.36,384,241,143,6.64,20.75,72.61,16,50,175,7810,32.41,3403.5,14.12,62.76,132,7,4,16,50,175,NA
medford,117,16,13,NA,120,146,80.14,10.96,8.9,NA,11,5,16,68.75,31.25,266,120,146,10,46.67,43.33,12,56,52,2925,24.38,1558.7,12.99,45.11,130,11,5,12,56,52,NA
mid-govans,132,8,17,2,358,159,83.02,5.03,10.69,1.26,6,2,8,75,25,517,358,159,3.91,8.66,87.43,14,31,313,5869,16.39,2749.3,7.68,69.25,151,6,2,14,31,313,NA
mid-town belvedere,19,74,76,9,1040,178,10.67,41.57,42.7,5.06,44,30,74,59.46,40.54,1218,1040,178,7.12,16.83,76.06,74,175,791,26913,25.88,7656.4,7.36,85.39,104,44,30,74,175,791,NA
middle branch/reedbird parks,25,98,NA,NA,1373,123,20.33,79.67,NA,NA,13,85,98,13.27,86.73,1496,1373,123,6.19,18.43,75.38,85,253,1035,24342,17.73,9455.51,6.89,91.78,25,13,85,85,253,1035,NA
middle east,56,37,254,28,615,375,14.93,9.87,67.73,7.47,22,15,37,59.46,40.54,990,615,375,7.8,19.02,73.17,48,117,450,10550,17.15,2985.4,4.85,62.12,338,22,15,48,117,450,NA
midtown-edmondson,49,19,192,81,265,341,14.37,5.57,56.3,23.75,7,12,19,36.84,63.16,606,265,341,8.3,29.43,62.26,22,78,165,6183,23.33,2408.2,9.09,43.73,322,7,12,22,78,165,NA
millhill,36,13,78,20,147,147,24.49,8.84,53.06,13.61,8,5,13,61.54,38.46,294,147,147,8.84,28.57,62.59,13,42,92,4085,27.79,1460.7,9.94,50,134,8,5,13,42,92,NA
milton-montford,NA,6,89,7,289,102,NA,5.88,87.25,6.86,3,3,6,50,50,391,289,102,2.77,17.65,79.58,8,51,230,4421,15.3,1080.3,3.74,73.91,96,3,3,8,51,230,NA
mondawmin,222,36,195,33,544,486,45.68,7.41,40.12,6.79,23,13,36,63.89,36.11,1030,544,486,7.9,21.51,70.59,43,117,384,11206,20.6,4988.1,9.17,52.82,450,23,13,43,117,384,NA
montebello,198,16,4,NA,258,218,90.83,7.34,1.83,NA,12,4,16,75,25,476,258,218,6.2,25.19,68.6,16,65,177,6685,25.91,2992.9,11.6,54.2,202,12,4,16,65,177,NA
moravia-walther,79,20,NA,NA,211,99,79.8,20.2,NA,NA,19,1,20,95,5,310,211,99,2.37,17.54,80.09,5,37,169,5384,25.52,2610.3,12.37,68.06,79,19,1,5,37,169,NA
morgan park,51,4,NA,NA,111,55,92.73,7.27,NA,NA,4,NA,4,100,NA,166,111,55,14.41,22.52,63.06,16,25,70,3896,35.1,1963.9,17.69,66.87,51,4,NA,16,25,70,NA
morgan state university,92,19,6,NA,194,117,78.63,16.24,5.13,NA,12,7,19,63.16,36.84,311,194,117,3.61,17.53,78.87,7,34,153,4685,24.15,1986.1,10.24,62.38,98,12,7,7,34,153,NA
morrell park,514,55,116,12,547,697,73.74,7.89,16.64,1.72,35,20,55,63.64,36.36,1244,547,697,10.24,20.84,68.92,56,114,377,14944,27.32,6276.1,11.47,43.97,642,35,20,56,114,377,NA
mosher,97,11,128,24,186,260,37.31,4.23,49.23,9.23,4,7,11,36.36,63.64,446,186,260,4.3,31.72,63.98,8,59,119,6143,33.03,3163.4,17.01,41.7,249,4,7,8,59,119,NA
mount holly,278,10,12,4,99,304,91.45,3.29,3.95,1.32,4,6,10,40,60,403,99,304,18.18,33.33,48.48,18,33,48,3204,32.36,2034,20.55,24.57,294,4,6,18,33,48,NA
mount vernon,6,59,224,32,1057,321,1.87,18.38,69.78,9.97,25,34,59,42.37,57.63,1378,1057,321,8.51,10.12,81.36,90,107,860,24658,23.33,8208.69,7.77,76.71,262,25,34,90,107,860,NA
mount washington,486,107,3,1,1641,597,81.41,17.92,0.5,0.17,57,50,107,53.27,46.73,2238,1641,597,13.04,30.83,56.12,214,506,921,62672,38.19,25211.7,15.36,73.32,490,57,50,214,506,921,NA
mount winans,13,24,1,2,102,40,32.5,60,2.5,5,7,17,24,29.17,70.83,142,102,40,8.82,22.55,68.63,9,23,70,3774,37,1469.9,14.41,71.83,16,7,17,9,23,70,NA
mt pleasant park,7,34,NA,NA,192,41,17.07,82.93,NA,NA,20,14,34,58.82,41.18,233,192,41,8.85,29.17,61.98,17,56,119,4016,20.92,1450.9,7.56,82.4,7,20,14,17,56,119,NA
new northwood,143,28,6,NA,508,178,80.34,15.73,3.37,NA,17,11,28,60.71,39.29,686,508,178,7.28,23.62,69.09,37,120,351,9477,18.66,5181.1,10.2,74.05,149,17,11,37,120,351,1
new southwest/mount clare,24,27,166,37,395,254,9.45,10.63,65.35,14.57,12,15,27,44.44,55.56,649,395,254,4.3,18.23,77.47,17,72,306,7854,19.88,2693.4,6.82,60.86,227,12,15,17,72,306,NA
north harford road,809,43,25,10,513,887,91.21,4.85,2.82,1.13,30,13,43,69.77,30.23,1400,513,887,10.92,27.29,61.79,56,140,317,16093,31.37,7447.4,14.52,36.64,844,30,13,56,140,317,NA
north roland park/poplar hill,8,14,NA,NA,333,22,36.36,63.64,NA,NA,11,3,14,78.57,21.43,355,333,22,6.61,18.32,75.08,22,61,250,12538,37.65,5210.2,15.65,93.8,8,11,3,22,61,250,NA
northwest community action,143,17,113,5,166,278,51.44,6.12,40.65,1.8,14,3,17,82.35,17.65,444,166,278,7.83,18.07,74.1,13,30,123,4845,29.19,2217.7,13.36,37.39,261,14,3,13,30,123,NA
o'donnell heights,29,1,NA,NA,52,30,96.67,3.33,NA,NA,NA,1,1,NA,100,82,52,30,5.77,21.15,73.08,3,11,38,746,14.35,117.2,2.25,63.41,29,NA,1,3,11,38,NA
oakenshawe,30,29,13,NA,446,72,41.67,40.28,18.06,NA,14,15,29,48.28,51.72,518,446,72,7.85,35.87,56.28,35,160,251,11769,26.39,4936.5,11.07,86.1,43,14,15,35,160,251,NA
oaklee,35,4,6,NA,16,45,77.78,8.89,13.33,NA,3,1,4,75,25,61,16,45,12.5,31.25,56.25,2,5,9,377,23.56,202.8,12.68,26.23,41,3,1,2,5,9,NA
old goucher,NA,10,5,6,348,21,NA,47.62,23.81,28.57,4,6,10,40,60,369,348,21,4.89,31.32,63.79,17,109,222,6875,19.76,2224.4,6.39,94.31,11,4,6,17,109,222,NA
oldtown,31,31,245,50,342,357,8.68,8.68,68.63,14.01,22,9,31,70.97,29.03,699,342,357,12.28,33.63,54.09,42,115,185,8012,23.43,4042.3,11.82,48.93,326,22,9,42,115,185,NA
oliver,43,93,325,120,945,581,7.4,16.01,55.94,20.65,76,17,93,81.72,18.28,1526,945,581,10.37,25.08,64.55,98,237,610,18245,19.31,7599.3,8.04,61.93,488,76,17,98,237,610,NA
orangeville,64,10,35,NA,169,109,58.72,9.17,32.11,NA,5,5,10,50,50,278,169,109,15.38,27.81,56.8,26,47,96,3855,22.81,1770.7,10.48,60.79,99,5,5,26,47,96,NA
orangeville industrial area,12,17,19,NA,164,48,25,35.42,39.58,NA,13,4,17,76.47,23.53,212,164,48,4.88,17.68,77.44,8,29,127,2977,18.15,952.6,5.81,77.36,31,13,4,8,29,127,NA
orchard ridge,134,12,5,NA,278,151,88.74,7.95,3.31,NA,4,8,12,33.33,66.67,429,278,151,7.91,27.7,64.39,22,77,179,5215,18.76,1474.6,5.3,64.8,139,4,8,22,77,179,NA
original northwood,39,29,NA,NA,325,68,57.35,42.65,NA,NA,19,10,29,65.52,34.48,393,325,68,4.31,16.92,78.77,14,55,256,10749,33.07,4815,14.82,82.7,39,19,10,14,55,256,NA
otterbein,7,27,92,20,374,146,4.79,18.49,63.01,13.7,13,14,27,48.15,51.85,520,374,146,4.55,19.25,76.2,17,72,285,9674,25.87,3603.1,9.63,71.92,119,13,14,17,72,285,NA
overlea,69,19,1,NA,200,89,77.53,21.35,1.12,NA,17,2,19,89.47,10.53,289,200,89,9.5,29.5,61,19,59,122,7755,38.77,3415.5,17.08,69.2,70,17,2,19,59,122,NA
panway/braddish avenue,149,11,3,1,135,164,90.85,6.71,1.83,0.61,10,1,11,90.91,9.09,299,135,164,7.41,32.59,60,10,44,81,4389,32.51,2488.6,18.43,45.15,153,10,1,10,44,81,NA
park circle,324,31,71,28,373,454,71.37,6.83,15.64,6.17,25,6,31,80.65,19.35,827,373,454,14.48,27.35,58.18,54,102,217,11468,30.75,5413.2,14.51,45.1,423,25,6,54,102,217,NA
parklane,60,34,5,1,176,100,60,34,5,1,9,25,34,26.47,73.53,276,176,100,13.64,36.93,49.43,24,65,87,7528,42.77,2877.4,16.35,63.77,66,9,25,24,65,87,NA
parkside,171,5,3,NA,38,179,95.53,2.79,1.68,NA,2,3,5,40,60,217,38,179,7.89,47.37,44.74,3,18,17,485,12.76,165,4.34,17.51,174,2,3,3,18,17,NA
parkview/woodbrook,68,24,100,10,471,202,33.66,11.88,49.5,4.95,15,9,24,62.5,37.5,673,471,202,7.01,22.29,70.7,33,105,333,10455,22.2,4951.9,10.51,69.99,178,15,9,33,105,333,NA
patterson park,68,88,25,1,1839,182,37.36,48.35,13.74,0.55,45,43,88,51.14,48.86,2021,1839,182,5.33,13.27,81.4,98,244,1497,46635,25.36,24658,13.41,90.99,94,45,43,98,244,1497,NA
patterson park neighborhood,6,27,144,43,1099,220,2.73,12.27,65.45,19.55,11,16,27,40.74,59.26,1319,1099,220,2.37,16.11,81.53,26,177,896,17846,16.24,6091.9,5.54,83.32,193,11,16,26,177,896,NA
patterson place,3,5,17,9,240,34,8.82,14.71,50,26.47,2,3,5,40,60,274,240,34,5.42,27.08,67.5,13,65,162,4714,19.64,1570.1,6.54,87.59,29,2,3,13,65,162,NA
pen lucy,115,10,35,4,113,164,70.12,6.1,21.34,2.44,7,3,10,70,30,277,113,164,7.08,16.81,76.11,8,19,86,2494,22.07,1224.31,10.83,40.79,154,7,3,8,19,86,NA
penn north,5,20,172,37,264,234,2.14,8.55,73.5,15.81,18,2,20,90,10,498,264,234,7.2,25.38,67.42,19,67,178,5801,21.97,2559.1,9.69,53.01,214,18,2,19,67,178,NA
penn-fallsway,1,11,260,28,117,300,0.33,3.67,86.67,9.33,8,3,11,72.73,27.27,417,117,300,9.4,21.37,69.23,11,25,81,2282,19.5,1211.995,10.36,28.06,289,8,3,11,25,81,NA
penrose/fayette street outreach,94,22,308,46,311,470,20,4.68,65.53,9.79,12,10,22,54.55,45.45,781,311,470,6.75,36.98,56.27,21,115,175,7955,25.58,3111,10,39.82,448,12,10,21,115,175,NA
perkins homes,25,16,11,3,137,55,45.45,29.09,20,5.45,7,9,16,43.75,56.25,192,137,55,16.79,29.93,53.28,23,41,73,2671,19.5,1089.8,7.95,71.35,39,7,9,23,41,73,NA
perring loch,537,26,NA,NA,312,564,95.21,4.61,NA,NA,20,6,26,76.92,23.08,876,312,564,9.94,26.28,63.78,31,82,199,9805,31.43,5646,18.1,35.62,537,20,6,31,82,199,1
pimlico good neighbors,61,7,12,1,188,81,75.31,8.64,14.81,1.23,4,3,7,57.14,42.86,269,188,81,12.23,21.28,66.49,23,40,125,4911,26.12,2102.1,11.18,69.89,74,4,3,23,40,125,NA
pleasant view gardens,23,7,54,3,67,87,26.44,8.05,62.07,3.45,6,1,7,85.71,14.29,154,67,87,8.96,14.93,76.12,6,10,51,1154,17.22,480.3,7.17,43.51,80,6,1,6,10,51,NA
poppleton,24,18,359,42,621,443,5.42,4.06,81.04,9.48,8,10,18,44.44,55.56,1064,621,443,6.12,21.58,72.3,38,134,449,16266,26.19,5490.5,8.84,58.36,425,8,10,38,134,449,NA
port covington,4,11,4,NA,171,19,21.05,57.89,21.05,NA,9,2,11,81.82,18.18,190,171,19,1.75,21.64,76.61,3,37,131,2335,13.65,1085.1,6.35,90,8,9,2,3,37,131,NA
pulaski industrial area,377,26,120,1,538,524,71.95,4.96,22.9,0.19,11,15,26,42.31,57.69,1062,538,524,10.04,42.57,47.4,54,229,255,11884,22.09,5166,9.6,50.66,498,11,15,54,229,255,NA
purnell,1,NA,NA,NA,7,1,100,NA,NA,NA,NA,NA,NA,NA,NA,8,7,1,NA,42.86,57.14,NA,3,4,249,35.57,70,10,87.5,1,NA,NA,NA,3,4,NA
radnor-winston,42,17,NA,NA,191,59,71.19,28.81,NA,NA,12,5,17,70.59,29.41,250,191,59,12.57,37.7,49.74,24,72,95,5171,27.07,2630.5,13.77,76.4,42,12,5,24,72,95,NA
ramblewood,311,39,3,1,312,354,87.85,11.02,0.85,0.28,37,2,39,94.87,5.13,666,312,354,5.45,25.64,68.91,17,80,215,8127,26.05,4624.8,14.82,46.85,315,37,2,17,80,215,NA
reisterstown station,133,12,15,NA,156,160,83.12,7.5,9.38,NA,10,2,12,83.33,16.67,316,156,160,15.38,18.59,66.03,24,29,103,5668,36.33,2356.8,15.11,49.37,148,10,2,24,29,103,NA
remington,80,29,185,104,672,398,20.1,7.29,46.48,26.13,20,9,29,68.97,31.03,1070,672,398,8.18,18.3,73.51,55,123,494,19587,29.15,6783.9,10.1,62.8,369,20,9,55,123,494,NA
reservoir hill,38,77,99,33,1454,247,15.38,31.17,40.08,13.36,53,24,77,68.83,31.17,1701,1454,247,8.8,20.5,70.7,128,298,1028,32508,22.36,13805.7,9.49,85.48,170,53,24,128,298,1028,NA
richnor springs,9,NA,NA,NA,8,9,100,NA,NA,NA,NA,NA,NA,NA,NA,17,8,9,12.5,37.5,50,1,3,4,197,24.62,150.4,18.8,47.06,9,NA,NA,1,3,4,NA
ridgely's delight,3,18,33,9,413,63,4.76,28.57,52.38,14.29,16,2,18,88.89,11.11,476,413,63,3.39,14.77,81.84,14,61,338,11224,27.18,4734.15,11.46,86.76,45,16,2,14,61,338,NA
riverside,25,77,454,65,1507,621,4.03,12.4,73.11,10.47,42,35,77,54.55,45.45,2128,1507,621,5.97,29.26,64.76,90,441,976,34715,23.04,14538.25,9.65,70.82,544,42,35,90,441,976,NA
rognel heights,224,37,7,2,288,270,82.96,13.7,2.59,0.74,30,7,37,81.08,18.92,558,288,270,7.99,33.68,58.33,23,97,168,8545,29.67,4468.5,15.52,51.61,233,30,7,23,97,168,NA
roland park,234,221,13,2,2910,472,49.58,46.82,2.75,0.42,121,100,221,54.75,45.25,3382,2910,472,4.54,18.35,77.11,132,534,2244,100971,34.7,42367.13,14.56,86.04,249,121,100,132,534,2244,2
rosebank,4,4,27,1,110,36,11.11,11.11,75,2.78,3,1,4,75,25,146,110,36,7.27,33.64,59.09,8,37,65,2980,27.09,1617.5,14.7,75.34,32,3,1,8,37,65,NA
rosemont,379,26,45,NA,267,450,84.22,5.78,10,NA,18,8,26,69.23,30.77,717,267,450,5.24,32.58,62.17,14,87,166,11248,42.13,5393.7,20.2,37.24,424,18,8,14,87,166,NA
rosemont east,157,28,4,NA,241,189,83.07,14.81,2.12,NA,13,15,28,46.43,53.57,430,241,189,12.03,40.66,47.3,29,98,114,10535,43.71,4859.1,20.16,56.05,161,13,15,29,98,114,NA
rosemont homeowners/tenants,53,4,140,18,65,215,24.65,1.86,65.12,8.37,4,NA,4,100,NA,280,65,215,12.31,32.31,55.38,8,21,36,1654,25.45,761.5,11.72,23.21,211,4,NA,8,21,36,NA
sabina-mattfeldt,12,9,NA,NA,172,21,57.14,42.86,NA,NA,2,7,9,22.22,77.78,193,172,21,7.56,29.07,63.37,13,50,109,5236,30.44,2103.93,12.23,89.12,12,2,7,13,50,109,NA
saint agnes,3,15,4,NA,43,22,13.64,68.18,18.18,NA,5,10,15,33.33,66.67,65,43,22,18.6,20.93,60.47,8,9,26,1678,39.02,752.7,17.5,66.15,7,5,10,8,9,26,NA
saint helena,46,4,NA,NA,21,50,92,8,NA,NA,2,2,4,50,50,71,21,50,28.57,28.57,42.86,6,6,9,646,30.76,327.8,15.61,29.58,46,2,2,6,6,9,NA
saint josephs,264,11,56,1,115,332,79.52,3.31,16.87,0.3,8,3,11,72.73,27.27,447,115,332,7.83,53.04,39.13,9,61,45,3404,29.6,1635,14.22,25.73,321,8,3,9,61,45,NA
saint paul,4,NA,1,NA,70,5,80,NA,20,NA,NA,NA,NA,NA,NA,75,70,5,10,28.57,61.43,7,20,43,1015,14.5,334.6,4.78,93.33,5,NA,NA,7,20,43,NA
sandtown-winchester,48,99,730,153,1234,1030,4.66,9.61,70.87,14.85,72,27,99,72.73,27.27,2264,1234,1030,15.4,63.7,20.91,190,786,258,27100,21.96,10801.6,8.75,54.51,931,72,27,190,786,258,NA
seton business park,18,2,NA,NA,112,20,90,10,NA,NA,NA,2,2,NA,100,132,112,20,6.25,14.29,79.46,7,16,89,3819,34.1,1620.2,14.47,84.85,18,NA,2,7,16,89,NA
seton hill,8,28,58,48,481,142,5.63,19.72,40.85,33.8,22,6,28,78.57,21.43,623,481,142,17.26,23.91,58.84,83,115,283,13713,28.51,6455.9,13.42,77.21,114,22,6,83,115,283,NA
sharp-leadenhall,3,20,55,20,412,98,3.06,20.41,56.12,20.41,9,11,20,45,55,510,412,98,5.58,21.84,72.57,23,90,299,8907,21.62,3321.7,8.06,80.78,78,9,11,23,90,299,NA
shipley hill,17,17,198,28,292,260,6.54,6.54,76.15,10.77,6,11,17,35.29,64.71,552,292,260,4.79,18.15,77.05,14,53,225,6158,21.09,1966.8,6.74,52.9,243,6,11,14,53,225,NA
south baltimore,13,34,275,29,461,351,3.7,9.69,78.35,8.26,19,15,34,55.88,44.12,812,461,351,5.86,28.42,65.73,27,131,303,9800,21.26,3282.8,7.12,56.77,317,19,15,27,131,303,NA
south clifton park,24,6,93,27,114,150,16,4,62,18,4,2,6,66.67,33.33,264,114,150,14.04,29.82,56.14,16,34,64,2788,24.46,1124,9.86,43.18,144,4,2,16,34,64,NA
spring garden industrial area,4,3,15,1,29,23,17.39,13.04,65.22,4.35,1,2,3,33.33,66.67,52,29,23,3.45,17.24,79.31,1,5,23,703,24.24,239.1,8.24,55.77,20,1,2,1,5,23,NA
stadium area,20,3,5,2,104,30,66.67,10,16.67,6.67,NA,3,3,NA,100,134,104,30,NA,8.65,91.35,NA,9,95,2615,25.14,1043.2,10.03,77.61,27,NA,3,NA,9,95,NA
stonewood-pentwood-winston,61,17,4,NA,61,82,74.39,20.73,4.88,NA,10,7,17,58.82,41.18,143,61,82,22.95,39.34,37.7,14,24,23,2190,35.9,1421.3,23.3,42.66,65,10,7,14,24,23,NA
taylor heights,NA,1,NA,NA,15,1,NA,100,NA,NA,NA,1,1,NA,100,16,15,1,NA,26.67,73.33,NA,4,11,445,29.67,155.6,10.37,93.75,NA,NA,1,NA,4,11,NA
ten hills,268,41,NA,NA,317,309,86.73,13.27,NA,NA,33,8,41,80.49,19.51,626,317,309,4.42,27.13,68.45,14,86,217,12454,39.29,5293.1,16.7,50.64,268,33,8,14,86,217,NA
the orchards,89,7,NA,NA,360,96,92.71,7.29,NA,NA,6,1,7,85.71,14.29,456,360,96,5,33.33,61.67,18,120,222,9456,26.27,5210.8,14.47,78.95,89,6,1,18,120,222,NA
towanda-grantley,112,9,44,9,93,174,64.37,5.17,25.29,5.17,8,1,9,88.89,11.11,267,93,174,22.58,29.03,48.39,21,27,45,3246,34.9,1737.7,18.68,34.83,165,8,1,21,27,45,NA
tremont,57,7,8,NA,51,72,79.17,9.72,11.11,NA,7,NA,7,100,NA,123,51,72,5.88,31.37,62.75,3,16,32,1979,38.8,818.7,16.05,41.46,65,7,NA,3,16,32,NA
