nbrdesc,num_easy,num_moderate,num_hard,num_not_suitable,num_has_tree,num_empty_spaces,perc_easy,perc_moderate,perc_hard,perc_not_suitable,stump_count,dead_count,total_at_moderate_diff,stump_perc_of_moderate_diff,dead_perc_of_moderate_diff,tracked_spaces,live_trees,empty_spaces,poor_perc,fair_perc,good_perc,poor_count,fair_count,good_count,combined_ht,avg_ht,combined_diam,avg_diam,perc_trees_to_spaces,absent,stump,dead,poor,fair,good,unknown
butcher's hill,4,18,19,1,586,42,9.52,42.86,45.24,2.38,10,8,18,55.56,44.44,628,586,42,3.75,20.48,75.77,22,120,444,14806,25.27,4905.3,8.37,93.31,24,10,8,22,120,444,NA
callaway-garrison,456,31,22,3,240,512,89.06,6.05,4.3,0.59,22,9,31,70.97,29.03,752,240,512,25.83,25,49.17,62,60,118,7834,32.64,4383,18.26,31.91,481,22,9,62,60,118,NA
cameron village,221,14,7,1,92,243,90.95,5.76,2.88,0.41,12,2,14,85.71,14.29,335,92,243,9.78,25,65.22,9,23,60,3488,37.91,2021.8,21.98,27.46,229,12,2,9,23,60,NA
canton,84,176,941,122,2809,1323,6.35,13.3,71.13,9.22,129,47,176,73.3,26.7,4132,2809,1323,6.84,31.47,61.69,192,884,1733,61556,21.91,23554.5,8.39,67.98,1147,129,47,192,884,1733,NA
canton industrial area,137,6,70,11,222,224,61.16,2.68,31.25,4.91,2,4,6,33.33,66.67,446,222,224,6.31,31.98,61.71,14,71,137,3578,16.12,1141.7,5.14,49.78,218,2,4,14,71,137,NA
care,7,19,84,36,398,146,4.79,13.01,57.53,24.66,11,8,19,57.89,42.11,544,398,146,7.54,31.91,60.55,30,127,241,7162,17.99,2197.17,5.52,73.16,127,11,8,30,127,241,NA
carroll - camden industrial area,62,32,137,33,699,264,23.48,12.12,51.89,12.5,18,14,32,56.25,43.75,963,699,264,3,18.17,78.83,21,127,551,15437,22.08,4908.23,7.02,72.59,232,18,14,21,127,551,NA
carroll park,52,43,22,2,862,119,43.7,36.13,18.49,1.68,15,28,43,34.88,65.12,981,862,119,5.34,14.62,80.05,46,126,690,24552,28.48,12494.7,14.5,87.87,76,15,28,46,126,690,NA
carroll-south hilton,162,25,85,NA,380,272,59.56,9.19,31.25,NA,7,18,25,28,72,652,380,272,1.58,18.68,79.74,6,71,303,7562,19.9,2625.8,6.91,58.28,247,7,18,6,71,303,NA
carrollton ridge,49,35,423,90,491,597,8.21,5.86,70.85,15.08,23,12,35,65.71,34.29,1088,491,597,5.09,25.05,69.86,25,123,343,9165,18.67,2623.6,5.34,45.13,562,23,12,25,123,343,NA
cedarcroft,50,7,1,NA,340,58,86.21,12.07,1.72,NA,5,2,7,71.43,28.57,398,340,58,8.82,25,66.18,30,85,225,12079,35.53,6121.1,18,85.43,51,5,2,30,85,225,NA
cedmont,223,26,30,7,223,286,77.97,9.09,10.49,2.45,20,6,26,76.92,23.08,509,223,286,14.35,35.43,50.22,32,79,112,6877,30.84,3823.6,17.15,43.81,260,20,6,32,79,112,NA
cedonia,78,9,NA,NA,332,87,89.66,10.34,NA,NA,5,4,9,55.56,44.44,419,332,87,4.82,25,70.18,16,83,233,8386,25.26,2897.9,8.73,79.24,78,5,4,16,83,233,NA
central forest park,422,10,8,24,90,464,90.95,2.16,1.72,5.17,9,1,10,90,10,554,90,464,16.67,26.67,56.67,15,24,51,3644,40.49,1685.7,18.73,16.25,454,9,1,15,24,51,NA
central park heights,703,70,378,33,639,1184,59.38,5.91,31.93,2.79,42,28,70,60,40,1823,639,1184,23.32,38.03,38.65,149,243,247,17098,26.76,8282.8,12.96,35.05,1114,42,28,149,243,247,NA
charles north,NA,33,93,19,346,145,NA,22.76,64.14,13.1,13,20,33,39.39,60.61,491,346,145,10.98,23.12,65.9,38,80,228,7154,20.68,2526.8,7.3,70.47,112,13,20,38,80,228,NA
charles village,28,58,78,35,1406,200,14,29,39,17.5,33,25,58,56.9,43.1,1606,1406,200,4.98,39.76,55.26,70,559,777,32644,23.22,11001.9,7.82,87.55,141,33,25,70,559,777,1
cherry hill,375,29,14,15,416,433,86.61,6.7,3.23,3.46,15,14,29,51.72,48.28,849,416,433,7.21,28.37,64.42,30,118,268,10636,25.57,5064.4,12.17,49,404,15,14,30,118,268,NA
cheswolde,261,47,NA,1,688,309,84.47,15.21,NA,0.32,34,13,47,72.34,27.66,997,688,309,13.66,33.43,52.91,94,230,364,31254,45.43,12079.3,17.56,69.01,262,34,13,94,230,364,NA
chinquapin park,178,12,2,2,170,194,91.75,6.19,1.03,1.03,10,2,12,83.33,16.67,364,170,194,3.53,32.94,63.53,6,56,108,4785,28.15,2558.1,15.05,46.7,182,10,2,6,56,108,NA
clifton park,26,175,NA,3,1600,204,12.75,85.78,NA,1.47,131,44,175,74.86,25.14,1804,1600,204,4.88,34.62,60.5,78,554,968,38085,23.8,16236.8,10.15,88.69,29,131,44,78,554,968,NA
coldspring,78,45,NA,NA,997,123,63.41,36.59,NA,NA,26,19,45,57.78,42.22,1120,997,123,5.52,18.56,75.93,55,185,757,27178,27.26,12336.8,12.37,89.02,78,26,19,55,185,757,NA
coldstream homestead montebello,701,69,446,44,830,1260,55.63,5.48,35.4,3.49,46,23,69,66.67,33.33,2090,830,1260,13.98,45.3,40.72,116,376,338,19197,23.13,10562.33,12.73,39.71,1191,46,23,116,376,338,NA
concerned citizens of forest park,207,12,31,11,72,261,79.31,4.6,11.88,4.21,7,5,12,58.33,41.67,333,72,261,15.28,38.89,45.83,11,28,33,2556,35.5,1407.9,19.55,21.62,249,7,5,11,28,33,NA
coppin heights/ash-co-east,112,31,122,40,415,305,36.72,10.16,40,13.11,21,10,31,67.74,32.26,720,415,305,7.47,24.58,67.95,31,102,282,9516,22.93,4134.1,9.96,57.64,274,21,10,31,102,282,NA
cross country,419,57,5,2,578,483,86.75,11.8,1.04,0.41,50,7,57,87.72,12.28,1061,578,483,19.38,38.58,42.04,112,223,243,24803,42.91,10976.6,18.99,54.48,426,50,7,112,223,243,NA
