nbrdesc,num_easy,num_moderate,num_hard,num_not_suitable,num_has_tree,num_empty_spaces,perc_easy,perc_moderate,perc_hard,perc_not_suitable
east arlington,152,22,NA,4,154,178,85.39,12.36,NA,2.25
east baltimore midway,200,44,339,65,566,648,30.86,6.79,52.31,10.03
easterwood,88,12,140,13,182,253,34.78,4.74,55.34,5.14
eastwood,93,4,NA,NA,19,97,95.88,4.12,NA,NA
edgewood,89,30,29,10,190,158,56.33,18.99,18.35,6.33
edmondson village,109,18,5,15,281,147,74.15,12.24,3.4,10.2
ednor gardens-lakeside,513,67,7,NA,1069,587,87.39,11.41,1.19,NA
ellwood park/monument,26,50,106,25,860,207,12.56,24.15,51.21,12.08
evergreen,8,25,1,NA,285,34,23.53,73.53,2.94,NA
evergreen lawn,54,12,65,16,118,147,36.73,8.16,44.22,10.88
evesham park,8,16,NA,NA,272,24,33.33,66.67,NA,NA
fairfield area,78,13,17,NA,228,108,72.22,12.04,15.74,NA
fairmont,130,30,31,NA,163,191,68.06,15.71,16.23,NA
fallstaff,243,10,46,NA,260,299,81.27,3.34,15.38,NA
federal hill,1,53,190,19,768,263,0.38,20.15,72.24,7.22
fells point,17,55,316,56,953,444,3.83,12.39,71.17,12.61
forest park,430,23,26,9,173,488,88.11,4.71,5.33,1.84
forest park golf course,169,30,1,1,204,201,84.08,14.93,0.5,0.5
four by four,38,2,28,1,21,69,55.07,2.9,40.58,1.45
frankford,958,84,117,23,1461,1183,80.98,7.1,9.89,1.94
franklin square,10,42,318,84,640,454,2.2,9.25,70.04,18.5
franklintown,NA,47,NA,NA,969,47,NA,100,NA,NA
franklintown road,118,24,28,3,145,173,68.21,13.87,16.18,1.73
garwyn oaks,192,29,12,NA,186,233,82.4,12.45,5.15,NA
gay street,16,35,150,79,328,280,5.71,12.5,53.57,28.21
glen,652,39,36,5,662,732,89.07,5.33,4.92,0.68
glen oaks,277,56,4,NA,741,337,82.2,16.62,1.19,NA
glenham-belhar,544,32,71,9,393,656,82.93,4.88,10.82,1.37
graceland park,295,34,40,NA,362,369,79.95,9.21,10.84,NA
greektown,70,31,162,9,567,272,25.74,11.4,59.56,3.31
greenmount cemetery,3,4,3,NA,49,10,30,40,30,NA
greenmount west,3,22,139,13,345,177,1.69,12.43,78.53,7.34
greenspring,343,32,44,1,191,420,81.67,7.62,10.48,0.24
grove park,400,18,3,NA,213,421,95.01,4.28,0.71,NA
guilford,274,127,10,1,2147,412,66.5,30.83,2.43,0.24
gwynns falls,95,13,53,2,222,163,58.28,7.98,32.52,1.23
gwynns falls/leakin park,NA,52,NA,NA,344,52,NA,100,NA,NA
hamilton hills,1199,120,67,1,1235,1387,86.45,8.65,4.83,0.07
hampden,171,49,336,19,1318,575,29.74,8.52,58.43,3.3
hanlon-longwood,462,52,25,NA,612,539,85.71,9.65,4.64,NA
harlem park,34,94,422,227,1224,777,4.38,12.1,54.31,29.21
harwood,1,6,49,6,365,62,1.61,9.68,79.03,9.68
hawkins point,73,25,NA,NA,144,98,74.49,25.51,NA,NA
heritage crossing,20,20,22,NA,609,62,32.26,32.26,35.48,NA
herring run park,1,33,NA,NA,538,34,2.94,97.06,NA,NA
highlandtown,42,40,185,32,656,299,14.05,13.38,61.87,10.7
hillen,198,7,NA,NA,143,205,96.59,3.41,NA,NA
hoes heights,36,13,8,NA,126,57,63.16,22.81,14.04,NA
holabird industrial park,NA,20,2,NA,634,22,NA,90.91,9.09,NA
hollins market,3,21,107,20,569,151,1.99,13.91,70.86,13.25
homeland,66,49,12,7,1440,135,48.89,36.3,8.89,5.19
hopkins bayview,27,18,35,2,409,82,32.93,21.95,42.68,2.44
howard park,2105,166,40,5,1303,2316,90.89,7.17,1.73,0.22
hunting ridge,189,37,1,NA,464,228,82.89,16.23,0.44,NA
idlewood,379,21,2,NA,275,402,94.28,5.22,0.5,NA
inner harbor,10,48,184,15,475,257,3.89,18.68,71.6,5.84
irvington,250,51,120,6,629,427,58.55,11.94,28.1,1.41
johns hopkins homewood,49,12,15,NA,333,76,64.47,15.79,19.74,NA
johnston square,32,26,427,60,274,545,5.87,4.77,78.35,11.01
jones falls area,NA,2,NA,NA,22,2,NA,100,NA,NA
jonestown,40,22,274,9,429,345,11.59,6.38,79.42,2.61
kenilworth park,179,5,NA,1,84,185,96.76,2.7,NA,0.54
kernewood,97,9,2,2,174,110,88.18,8.18,1.82,1.82
keswick,12,5,NA,NA,220,17,70.59,29.41,NA,NA
kresson,39,8,62,17,54,126,30.95,6.35,49.21,13.49
lake evesham,18,5,NA,NA,156,23,78.26,21.74,NA,NA
lake walker,141,10,NA,NA,309,151,93.38,6.62,NA,NA
lakeland,78,24,NA,NA,231,102,76.47,23.53,NA,NA
langston hughes,177,9,65,2,60,253,69.96,3.56,25.69,0.79
lauraville,486,39,27,4,701,556,87.41,7.01,4.86,0.72
levindale,101,7,NA,NA,204,108,93.52,6.48,NA,NA
liberty square,96,15,19,1,113,131,73.28,11.45,14.5,0.76
