nbrdesc,combined_ht,avg_ht,combined_diam,avg_diam,stump,dead,poor,fair,good,total_possible,total_trees,total_absent,potential_wellpit
downtown,21785,11.4,7031.9,3.68,3.88,5.43,7.27,15.5,67.93,1911,1032,879,789
downtown west,2712,8.02,828.5,2.45,0.76,6.06,14.39,20.45,58.33,338,132,206,197
druid heights,8816,14.04,3879.1,6.18,3.92,2.61,14.6,65.36,13.51,628,459,169,125
druid hill park,119992,32.83,63661.525,17.42,3.76,3.52,6.02,21.38,65.32,3655,3639,16,NA
dunbar-broadway,10146,14.21,3954.09,5.54,1.42,3.55,4.61,22.34,68.09,714,564,150,101
east arlington,6702,20.19,3974.2,11.97,11.93,0.57,9.66,21.59,56.25,332,176,156,NA
east baltimore midway,11851,9.76,5380.6,4.43,5.9,1.31,8.52,31.8,52.46,1214,610,604,339
easterwood,3305,7.6,1727.9,3.97,3.61,2.58,13.4,20.62,59.79,435,194,241,140
eastwood,288,2.48,149.7,1.29,17.39,NA,34.78,30.43,17.39,116,23,93,NA
edgewood,6066,17.43,3643.9,10.47,12.73,0.91,8.64,33.18,44.55,348,220,128,29
edmondson village,8143,19.03,4349.9,10.16,5.02,1,3.68,31.1,59.2,428,299,129,5
ednor gardens-lakeside,28347,17.12,13455,8.12,4.05,1.85,5.63,24.3,64.17,1656,1136,520,7
ellwood park/monument,13948,13.07,4715.35,4.42,3.52,1.98,4.73,18.35,71.43,1067,910,157,106
evergreen,9104,28.54,4045.2,12.68,6.45,1.61,2.58,10.65,78.71,319,310,9,1
evergreen lawn,3282,12.38,1827.9,6.9,7.69,1.54,5.38,26.15,59.23,265,130,135,65
evesham park,9692,32.74,4563.2,15.42,3.82,1.74,12.5,25.35,56.6,296,288,8,NA
fairfield area,6308,18.77,3353.5,9.98,3.73,1.66,15.35,33.61,45.64,336,241,95,17
fairmont,7618,21.52,4563.4,12.89,4.15,11.4,20.21,23.32,40.93,354,193,161,31
fallstaff,9000,16.1,4273.6,7.65,2.59,1.11,14.07,26.67,55.56,559,270,289,46
federal hill,19033,18.46,7682.1,7.45,4.26,2.19,4.02,19.37,70.16,1031,821,210,191
fells point,20309,14.54,8206.6,5.87,3.37,2.08,4.86,18.15,71.53,1397,1008,389,316
forest park,5806,8.78,3634.9,5.5,6.12,5.61,17.35,50.51,20.41,661,196,465,26
forest park golf course,8697,21.47,4441.8,10.97,6.41,6.41,8.55,23.93,54.7,405,234,171,1
four by four,710,7.89,390.3,4.34,8.7,NA,21.74,17.39,52.17,90,23,67,28
frankford,38118,14.42,15234.35,5.76,2.33,3.11,8.35,32.23,53.98,2643,1545,1098,117
franklin square,16594,15.17,6728.1,6.15,4.11,2.05,7.92,30.35,55.57,1094,682,412,318
franklintown,34660,34.11,16334.9,16.08,3.25,1.38,5.31,18.31,71.75,1016,1016,NA,NA
franklintown road,5550,17.45,2971.5,9.34,7.69,6.51,8.28,33.14,44.38,318,169,149,28
garwyn oaks,6027,14.38,3505.7,8.37,9.3,4.19,5.12,39.07,42.33,419,215,204,12
gay street,7616,12.53,4185.5,6.88,5.51,4.13,11.85,42.42,36.09,608,363,245,150
glen,27317,19.6,13582.1,9.74,4.14,1.43,16.98,29.1,48.36,1394,701,693,37
glen oaks,22342,20.73,12155.2,11.28,5.14,1.88,6.15,21.58,65.24,1078,797,281,4
glenham-belhar,12981,12.37,7016,6.69,5.65,1.88,9.41,49.41,33.65,1049,425,624,71
graceland park,7804,10.68,3322.6,4.55,4.29,4.29,8.84,30.81,51.77,731,396,335,40
greektown,9905,11.81,3450.2,4.11,3.01,2.17,3.18,20.4,71.24,839,598,241,162
greenmount cemetery,748,12.68,198,3.36,NA,7.55,9.43,11.32,71.7,59,53,6,3
greenmount west,8384,16.06,2733,5.24,4.63,1.36,4.36,17.71,71.93,522,367,155,139
greenspring,6226,10.19,3734.3,6.11,13,1.35,22.87,37.67,25.11,611,223,388,44
grove park,7928,12.5,3539.74,5.58,4.33,3.46,17.32,35.93,38.96,634,231,403,3
guilford,68491,26.76,31705,12.39,3.34,2.24,4.49,20.71,69.22,2559,2274,285,10
gwynns falls,3430,8.91,1223.6,3.18,2.13,3.4,2.55,18.3,73.62,385,235,150,53
gwynns falls/leakin park,12627,31.89,4824,12.18,5.3,7.83,7.58,26.01,53.28,396,396,NA,NA
hamilton hills,33837,12.91,16161.7,6.16,6.2,2.66,8.34,23.62,59.19,2622,1355,1267,67
hampden,34908,18.44,16495.8,8.71,2.49,1.1,7.46,22.09,66.86,1893,1367,526,336
hanlon-longwood,22777,19.79,13121.4,11.4,4.37,3.46,10.69,44.58,36.9,1151,664,487,25
harlem park,30860,15.42,14423.2,7.21,3.19,3.95,10.93,44.84,37.1,2001,1318,683,422
harwood,8137,19.06,2802.5,6.56,0.81,0.81,5.66,21.29,71.43,427,371,56,49
hawkins point,3202,13.23,1923.8,7.95,8.88,5.92,5.92,55.62,23.67,242,169,73,NA
heritage crossing,15027,22.39,4718.9,7.03,1.11,2.07,6.04,19.4,71.38,671,629,42,22
herring run park,14329,25.05,7566.8,13.23,2.8,2.98,3.33,11.73,79.16,572,571,1,NA
highlandtown,11105,11.63,4157.7,4.35,3.3,2.44,4.17,18.68,71.41,955,696,259,185
hillen,5519,15.86,3073.7,8.83,3.33,1.33,15.33,30.67,49.33,348,150,198,NA
hoes heights,4099,22.4,1872.6,10.23,7.19,2.16,12.23,30.22,48.2,183,139,44,8
holabird industrial park,11034,16.82,4688.8,7.15,2.6,0.46,6.12,28.59,62.23,656,654,2,2
hollins market,14550,20.21,4966.9,6.9,2.2,1.36,4.58,25.42,66.44,720,590,130,107
homeland,44699,28.4,26412.89,16.78,2.62,0.67,5.57,29.21,61.92,1574,1489,85,12
hopkins bayview,7583,15.44,3165.4,6.45,1.87,2.34,5.62,28.34,61.83,491,427,64,35
howard park,42080,11.63,21217.15,5.86,5.85,5.45,13,21.03,54.66,3619,1469,2150,40
hunting ridge,17257,24.97,7375.6,10.67,4.79,2.59,4.59,21.16,66.87,691,501,190,1
idlewood,9313,13.76,5504.5,8.13,6.08,1.01,17.91,23.99,51.01,677,296,381,2
inner harbor,10120,13.83,3680.3,5.03,5.35,3.82,7.65,19.89,63.29,732,523,209,184
irvington,17484,16.56,7508.7,7.11,4.56,2.94,4.41,25.44,62.65,1056,680,376,120
johns hopkins homewood,10361,25.33,5485.2,13.41,2.32,1.16,8.7,27.83,60,409,345,64,15
johnston square,6954,8.49,3111.2,3.8,4.33,4.33,11.33,27,53,819,300,519,427
jones falls area,446,18.58,251.2,10.47,4.17,4.17,NA,29.17,62.5,24,24,NA,NA
jonestown,8834,11.41,3712.35,4.8,3.55,1.33,3.1,18.18,73.84,774,451,323,274
kenilworth park,2246,8.35,1784.29,6.63,4.49,1.12,20.22,43.82,30.34,269,89,180,NA
kernewood,4454,15.68,2210.67,7.78,3.83,1.09,13.66,28.42,53.01,284,183,101,2
keswick,7964,33.6,3581.4,15.11,1.33,0.89,5.33,22.67,69.78,237,225,12,NA
kresson,1646,9.14,947.9,5.27,9.68,3.23,17.74,45.16,24.19,180,62,118,62
lake evesham,2822,15.77,1667.5,9.32,0.62,2.48,7.45,24.84,64.6,179,161,18,NA
lake walker,10877,23.65,5236,11.38,2.82,0.31,5.02,14.73,77.12,460,319,141,NA
lakeland,8187,24.59,3221.8,9.68,1.96,7.45,6.67,30.59,53.33,333,255,78,NA
langston hughes,2038,6.51,1306.1,4.17,11.59,1.45,43.48,27.54,15.94,313,69,244,65
lauraville,21559,17.15,10437.2,8.3,4.32,0.95,5.81,21.35,67.57,1257,740,517,27
levindale,5961,19.11,2625.8,8.42,1.9,1.42,10.43,26.54,59.72,312,211,101,NA
liberty square,3548,14.54,1767.7,7.24,6.25,5.47,10.16,21.88,56.25,244,128,116,19
little italy,2765,8.89,1041,3.35,2.21,0.74,3.68,17.65,75.74,311,136,175,166
loch raven,12601,13.06,8427,8.73,10.35,1.32,8.59,26.43,53.3,965,454,511,6
locust point,10414,14.05,4850.4,6.55,1.33,1.52,2.84,15.72,78.6,741,528,213,196
locust point industrial area,5166,13.21,1865.4,4.77,2.2,2.52,9.12,11.01,75.16,391,318,73,53
lower edmondson village,794,12.81,526.5,8.49,7.14,NA,14.29,50,28.57,62,28,34,12
lower herring run park,9449,19.69,3547.3,7.39,1.88,5.23,5.02,16.11,71.76,480,478,2,NA
loyola/notre dame,1289,33.05,653,16.74,2.56,7.69,5.13,30.77,53.85,39,39,NA,NA
lucille park,3691,13.52,1786.4,6.54,8.28,2.55,19.11,46.5,23.57,273,157,116,41
madison park,18466,19.62,7678.9,8.16,2.29,0.86,8.3,41.49,47.07,941,699,242,186
madison-eastend,6477,11.59,2033.3,3.64,2.78,0.85,4.7,14.32,77.35,559,468,91,56
mayfield,11863,19.67,6038.2,10.01,6.53,1.13,6.76,22.3,63.29,603,444,159,10
mcelderry park,13793,14.64,4848.8,5.15,3.29,1.77,4.05,19.97,70.92,942,791,151,118
medfield,7890,20.55,3612.9,9.41,2.78,1.59,6.35,19.84,69.44,384,252,132,17
medford,3031,11.39,1875.5,7.05,8.09,3.68,8.82,41.18,38.24,266,136,130,13
mid-govans,5887,11.39,2845.5,5.5,1.64,0.55,3.83,8.47,85.52,517,366,151,17
mid-town belvedere,27528,22.6,8298.8,6.81,3.95,2.69,6.64,15.71,71.01,1218,1114,104,76
middle branch/reedbird parks,25522,17.06,9979.11,6.67,0.88,5.78,5.78,17.2,70.36,1496,1471,25,NA
middle east,10760,10.87,3173.7,3.21,3.37,2.3,7.36,17.94,69.02,990,652,338,254
midtown-edmondson,6422,10.6,2567.3,4.24,2.46,4.23,7.75,27.46,58.1,606,284,322,192
millhill,4217,14.34,1646.9,5.6,5,3.12,8.12,26.25,57.5,294,160,134,78
milton-montford,4442,11.36,1108.2,2.83,1.02,1.02,2.71,17.29,77.97,391,295,96,89
mondawmin,11512,11.18,5435.9,5.28,3.97,2.24,7.41,20.17,66.21,1030,580,450,195
montebello,6846,14.38,3245.1,6.82,4.38,1.46,5.84,23.72,64.6,476,274,202,4
