objectid,nsa_name,temp_mean_am,temp_median_am,temp_min_am,temp_max_am,temp_mean_aft,temp_median_aft,temp_min_aft,temp_max_aft,temp_mean_pm,temp_median_pm,temp_min_pm,temp_max_pm,acres,09-63_mean,09-127_mean,17-127_mean,17-63_mean,change_percent_127,change_percent_point_127,change_percent_63,change_percent_point_63
1,Abell,78.95461280036564,78.95633544921884,78.69087829589847,78.85204429626464,96.72758940255208,96.70151786804205,95.30000915527347,96.65233688354486,90.5946365201609,90.55180053710943,89.94855499267587,90.5299858093262,46.7104316,0.237745474173286,0.186197882214731,0.180339840504628,0.251117896396802,-0.03146137668390477,-0.005858041710102985,0.056246800365037423,0.013372422223515978
2,Allendale,77.85670920038277,77.84806642532348,76.82458267211918,77.5583904266357,94.55953352555505,94.7035511016846,92.75948257446285,93.68006134033202,89.08490208551294,89.32197465896603,87.17945442199701,87.62148933410643,260.02386379,0.128443270864938,0.078479961066563,0.142106093615145,0.231022801154316,0.8107309392599891,0.063626132548582,0.7986368581133649,0.102579530289378
3,Arcadia,76.99381240940582,77.06920013427731,75.79639968872073,76.36680641174324,94.06509525077186,94.23600044250489,92.43947143554692,92.87462615966798,88.05368374010587,88.28405675888064,86.300623703003,86.80565147399906,144.6780746,0.306118125437802,0.245968802856606,0.2405357844561,0.339672993798158,-0.02208824183151927,-0.005433018400506001,0.10961411811981653,0.03355486836035604
4,Arlington,78.22966943280966,78.36698074340822,77.16212043762201,77.623621749878,95.55424997397397,95.56810474395749,94.42461853027346,94.6528457641601,89.5751911576265,89.55265235900882,88.53641014099118,88.90259132385248,115.58468919,0.192358769174182,0.109672149026669,0.205491199069332,0.324003840717162,0.8736862630398777,0.095819050042663,0.6843726028615551,0.13164507154298
5,Armistead Gardens,77.97792581748308,77.86330051422128,75.66693954467775,76.98557701110849,95.01661723830557,95.20748367309571,90.02451858520514,93.91310195922861,89.41593101251084,89.6257732391357,85.2385581970214,88.83255691528322,302.58565324,0.534988187779989,0.455903495959665,0.403567029038783,0.505869349984806,-0.11479724850697867,-0.05233646692088201,-0.05442893592850306,-0.029118837795182984
6,Ashburton,77.25717709523798,77.09610633850093,76.35835380554204,76.64485321044914,94.41620350473603,94.22545700073236,92.97966918945308,93.85186004638663,88.62448485913788,88.42464141845701,87.63621101379391,88.15050849914547,225.55523578,0.353433520133427,0.256221495087457,0.260955420015298,0.409659836811088,0.018475908612683428,0.004733924927840971,0.159085976498309,0.05622631667766098
7,Baltimore Highlands,80.31907584037154,80.41913671493535,79.68216781616216,79.86695442199701,96.50154763862864,96.50006465911862,95.46356124877929,95.74429626464845,91.48237710674653,91.62223453521726,90.20332107543938,90.6185356140137,96.96706957,0.093210466613136,0.039330095973693,0.06822161893473,0.107719955645624,0.7345907058137332,0.028891522961037003,0.15566373133511596,0.014509489032487999
9,Barclay,79.80061509086016,79.72906398773199,79.3888534545899,79.63283576965334,97.64480366127333,97.5658826828003,96.40996475219727,97.31186676025395,91.19217277356668,91.21400833129888,90.60818099975583,90.83825531005856,89.95306758,0.165807935500359,0.103828154840908,0.095567848005958,0.149092218109472,-0.07955748464958244,-0.008260306834950007,-0.1008137357264833,-0.01671571739088698
10,Barre Circle,79.50253260726913,79.51474304199212,79.29375648498535,79.40193061828623,95.66386279979962,95.66311073303228,95.06794357299813,95.30579757690428,91.05480524021877,91.2344429016113,89.75527801513664,90.35545425415035,15.32702623,0.383532485124087,0.257349265476594,0.233241417122216,0.316417525357586,-0.09367754871859389,-0.024107848354377986,-0.17499159098553757,-0.067114959766501
123,Bayview,80.12599746983611,80.23160438537593,79.40076675415034,79.99662055969239,94.86672123146212,95.01232528686523,92.80690231323236,93.85054855346678,89.57623174813949,89.46678562164303,88.79046211242681,89.35099487304691,59.78610724,0.094486365797689,0.025577308718034,0.011932769634698,0.045237849124475,-0.5334626576139941,-0.013644539083336,-0.5212235252931968,-0.049248516673214
11,Beechfield,77.51167915959746,77.5250572204589,75.75916976928715,76.64610633850094,93.53232399368284,93.67000885009762,89.30380859375,91.91045913696284,87.21115418194263,87.41798648834234,83.29432830810549,85.45328598022466,257.89012067,0.392122117622931,0.279345595824632,0.385806548066851,0.501155298801192,0.3811083970303697,0.10646095224221902,0.27805924807105264,0.10903318117826105
275,Belair-Edison,79.10821645663766,79.11019897460942,76.08488006591799,77.35230751037594,95.37994186441668,95.33401870727533,91.97525100708015,94.6021781921387,89.76258684079085,89.70909423828115,87.87383499145514,88.51345901489265,527.96850716,0.173028016030563,0.122151578710813,0.115678021648751,0.184224128244504,-0.052996098211614454,-0.006473557062061999,0.06470693284700985,0.011196112213940984
12,Belair-Parkside,76.64971372784464,76.50002937316893,75.96494026184084,76.57594833374024,93.71351477322943,93.58231391906739,91.53180160522467,93.38355407714846,87.95476651911481,87.88912658691405,86.75082283020026,87.98499259948724,20.61651843,0.377128399443618,0.300314163748861,0.284462084512447,0.413125329752026,-0.05278498702335727,-0.01585207923641402,0.09545006518075728,0.035996930308408004
13,Bellona-Gittings,75.01387041474538,75.03630714416498,74.20318298339846,74.61630325317381,93.46128897884125,93.44391365051277,91.98518676757809,92.96770095825187,87.58954116718479,87.75663833618168,85.16699600219727,86.9241561889649,104.03781371,0.414172012354478,0.240601092896175,0.471819909717273,0.625032074126871,0.96100484847288,0.231218816821098,0.5091122902624428,0.21086006177239303
