zcta,temp_mean_am,temp_median_am,temp_min_am,temp_max_am,temp_mean_aft,temp_median_aft,temp_min_aft,temp_max_aft,temp_mean_pm,temp_median_pm,temp_min_pm,temp_max_pm,09-127_mean,09-63_mean,17-127_mean,17-63_mean,change_percent_127,change_percent_point_127,change_percent_63,change_percent_point_63,white_%,black_%,otherrace_or_multirace_%,poverty_%,single_family_detached_houses_%,65+_%,0-17_%,disabled_%,renter_%,vacancy_%,home_median_price_d,median_household_income_d,median_age_a,all_effects_heat_count,all_effects_heat_prev,black_all_effects_heat_count,white_all_effects_heat_count,black_all_effects_heat_prev,white_all_effects_heat_prev,kidney_disease_count,kidney_disease_prev,black_kidney_disease_count,white_kidney_disease_count,black_kidney_disease_prev,white_kidney_disease_prev,copd_count,copd_prev,black_copd_count,white_copd_count,black_copd_prev,white_copd_prev,asthma_count,asthma_prev,black_asthma_count,white_asthma_count,black_asthma_prev,white_asthma_prev,respiratory_count,respiratory_prev,black_respiratory_count,white_respiratory_count,black_respiratory_prev,white_respiratory_prev,hypertension_count,hypertension_prev,black_hypertension_count,white_hypertension_count,black_hypertension_prev,white_hypertension_prev,heart_attack_count,heart_attack_prev,black_heart_attack_count,white_heart_attack_count,black_heart_attack_prev,white_heart_attack_prev,congestive_artery_disease_count,congestive_artery_disease_prev,black_congestive_artery_disease_count,white_congestive_artery_disease_count,black_congestive_artery_disease_prev,white_congestive_artery_disease_prev,angina_pectoris_count,angina_pectoris_prev,black_angina_pectoris_count,white_angina_pectoris_count,black_angina_pectoris_prev,white_angina_pectoris_prev,heart_disease_count,heart_disease_prev,black_heart_disease_count,white_heart_disease_count,black_heart_disease_prev,white_heart_disease_prev,circulatory_count,circulatory_prev,black_circulatory_count,white_circulatory_count,black_circulatory_prev,white_circulatory_prev,diabetes_count,diabetes_prev,black_diabetes_count,white_diabetes_count,black_diabetes_prev,white_diabetes_prev
21201,79.87361994504451,79.84968185424805,78.18559303283692,82.969146728515625,96.00383101701705,95.90000686645514,93.14062576293938,102.78414993286131,90.72328355240577,90.64057693481438,88.6210151672363,95.54307479858389,0.066976919897342,0.066976919897342,0.067247402692694,0.104932081919525,0.004038447808089324,2.7048279535199504e-4,0.5666901684992124,0.03795516202218299,36.294064477252185,51.28653208797831,12.419403434769507,30.799122532121594,1.7527238275698722,9.99698704429045,14.275384151852968,16.101235311840917,88.41117415975557,13.178588346755093,189600,33877,30.1,32,4.18727591531234e-4,27,5,4.33985919567943e-4,4.65159549725556e-4,1197,0.0156630289707152,1054,116,0.0169415244157264,0.0107917015536329,11402,0.149197874957473,10085,1105,0.162101777734915,0.102800260489348,8727,0.114194865352909,8055,512,0.129472466004436,0.0476323378918969,16518,0.216141948653529,14530,1539,0.23354871893786,0.143176109405526,14792,0.193556829185313,13033,1456,0.209486610730704,0.135454460880082,41,5.36494726649394e-4,31,7,4.98280129874305e-4,6.51223369615778e-4,747,0.00977467221480726,630,103,0.010126338123252,0.00958228672434645,34,4.44898066001937e-4,27,6,4.33985919567943e-4,5.58191459670667e-4,15605,0.204195127057654,13587,1679,0.218391358858135,0.156200576797842,16044,0.209939546203973,13916,1760,0.223679557655833,0.163736161503396,6208,0.0812331527570595,5507,521,0.0885170540392838,0.0484696250814029
21202,80.19052049361986,80.0326934814453,78.98687744140625,82.3582691192627,96.76669463339702,97.10995864868168,92.78232727050788,101.57000274658202,90.87795497714954,91.02001724243168,88.39640655517586,94.53840255737313,0.071559527943802,0.071559527943802,0.03834426958625,0.088717077004624,-0.4641626253269448,-0.033215258357552006,0.2397661017872612,0.017157549060821994,31.20525059665871,59.75766476959794,9.037084633743348,29.288528112689505,2.8362044351384794,8.24765926197907,11.460436937763907,10.81788140260694,78.77748876803027,19.501284857713905,230200,44656,32.5,33,4.00019394879752e-4,26,7,3.92044512130762e-4,5.47473799468168e-4,1052,0.0127521334367727,873,150,0.0131636484265444,0.011731581417175,10580,0.128248642358417,9180,1147,0.138421870052323,0.0897074925699984,8244,0.0999321179208689,7526,524,0.113481807626774,0.0409823244173315,16400,0.198797517455392,14202,1692,0.214146775433888,0.132332238385734,13544,0.164177657098526,11518,1779,0.173675718873928,0.139136555607696,57,6.90942591155935e-4,38,13,5.72988133114191e-4,0.00101673705615517,876,0.0106186966640807,714,142,0.010766145448514,0.0111058970749257,26,3.15166795965865e-4,19,6,2.86494066557095e-4,4.69263256687001e-4,14482,0.175547905352987,12137,2055,0.183009393989656,0.160722665415298,14858,0.180105702094647,12437,2115,0.187532984514242,0.165415297982168,5656,0.0685608999224205,4830,645,0.07282980744583,0.0504458000938527
21205,79.2656772543233,79.64676780700684,75.66693954467775,81.44292259216309,95.96622133578614,95.74159774780273,90.02451858520514,100.58579254150395,90.3104171369339,90.42742156982413,85.2385581970214,93.42607116699213,0.195014546167123,0.195014546167123,0.157381614549182,0.22256464753808,-0.19297499780190974,-0.037632931617940985,0.14127203284285883,0.02755010137095701,22.998780983340104,68.82026276581335,8.180956250846535,37.13189973976168,3.0760547481303795,10.618989570635243,29.506975484220504,20.62169849654612,66.4236305851561,24.523775927755047,52500,28675,31,18,2.43082283352915e-4,14,2,2.42189392104626e-4,2.04645451754835e-4,1091,0.0147334872854461,972,98,0.0168148635089783,0.0100276271359869,11456,0.154708368782833,9452,1498,0.163512438155209,0.153279443364371,9367,0.126497319342597,8091,809,0.139968169394181,0.0827790852348307,17120,0.231198260611217,13816,2033,0.239006331522679,0.20802210170879,11811,0.159502491593404,9588,1788,0.165865135107082,0.182953033868822,50,6.75228564869208e-4,40,10,6.91969691727502e-4,0.00102322725877417,1025,0.0138421855798188,836,173,0.0144621665571048,0.0177018315767932,34,4.59155424111062e-4,32,2,5.53575753382002e-4,2.04645451754835e-4,12761,0.172331834325919,10274,2019,0.177732415320209,0.206589583546506,13066,0.176450728571622,10520,2058,0.181988028924333,0.210580169855725,5058,0.0683061216221691,3863,937,0.0668269729785835,0.0958763941471401
21206,77.06668020893237,77.12355842590333,73.60731201171876,79.01005859375,93.99647413583618,94.12236747741704,87.08526039123535,97.5059677124024,88.02602991343238,88.09003219604486,82.9335990905762,90.63322296142586,0.291308204234786,0.291308204234786,0.304935423703268,0.414010170735762,0.046779387845523414,0.013627219468482,0.4212101297431424,0.12270196650097603,22.886891414978454,71.35336440033538,5.75974418468617,14.026050917702781,36.376513593785695,10.548482071480102,23.641468598280266,11.23676565211457,40.87530966143683,11.46447338359607,150600,50975,37.2,42,2.85650160168126e-4,32,8,2.63235826395972e-4,3.99860048982856e-4,2411,0.0163976794325083,2002,367,0.016468691388898,0.0183435797470885,20088,0.136622390891841,17157,2513,0.141135533546116,0.12560603788674,16544,0.112518958329083,14803,1367,0.121771248066862,0.0683260858699455,32923,0.223915719600362,28295,3486,0.232758053371064,0.174239016344279,27043,0.183924697176824,21963,4536,0.180670264222961,0.226720647773279,93,6.32511068943707e-4,65,26,5.34697772366819e-4,0.00129954515919428,1635,0.0111199526636877,1291,334,0.0106199203711625,0.0166941570450342,52,3.53662103065298e-4,39,11,3.20818663420091e-4,5.49807567351427e-4,29088,0.197833139499296,23332,5161,0.191931821920963,0.257959714100065,29773,0.202491957587752,23886,5276,0.196489092165444,0.263707702304194,12063,0.0820428067168595,9692,2082,0.0797275509196802,0.104063577747788
21207,75.82519108693873,75.68937911987305,73.45536079406739,79.33985443115235,92.9522396594138,93.49630813598631,87.08317298889152,96.61694030761713,86.92154544979869,87.37962875366216,81.17417640686037,90.9349693298339,0.268344453976329,0.268344453976329,0.439981712964558,0.552686243552869,0.6396154511297235,0.171637258988229,1.0596149291075796,0.28434178957654,10.107165806438239,84.6423315299629,5.250502663598851,13.014027972320363,49.861004601226995,18.70323155690981,19.665029123396142,16.576498144808575,37.840785169029445,12.09739263803681,180300,59013,41.8,33,2.69225121151305e-4,28,3,2.59737850298235e-4,2.83527076835838e-4,2141,0.0174669995268165,1807,283,0.0167623676960325,0.0267460542481807,12371,0.100926787083721,11006,1097,0.102095527870799,0.103676401096305,9715,0.0792582439995431,8837,660,0.0819751208244821,0.0623759569038843,22223,0.181302723252892,19784,1786,0.183523343939296,0.168793119742935,21247,0.173340186336417,18575,2242,0.17230823461749,0.211889235421983,55,4.48708535252174e-4,48,5,4.45264886225545e-4,4.7254512805973e-4,1416,0.0115522051984923,1233,163,0.0114377417649187,0.0154049711747472,48,3.91600176220079e-4,42,5,3.89606775447352e-4,4.7254512805973e-4,22595,0.184337624618598,19610,2519,0.181909258726728,0.238068235516492,23335,0.190374794001991,20228,2617,0.187642044136882,0.247330120026463,9252,0.0754809339664203,8211,777,0.0761681245999573,0.073433512900482
21209,75.0855189314341,75.02369689941406,72.55812797546386,77.42647895812988,92.20514332751348,93.10016174316404,87.17809486389152,97.11979827880856,86.010928415321,86.32015876770026,81.58744430541987,88.95299453735359,0.363551520254842,0.363551520254842,0.509105628165897,0.61360219205356,0.40036721015229043,0.145554107911055,0.6877998244194874,0.25005067179871804,73.12650207559537,16.08404340543296,10.78945451897167,7.645471780662097,31.701497449399373,17.810064816837812,24.076906270482848,9.40572427354162,39.35673525851634,4.837913444133619,296700,78900,37.2,11,3.93968697396225e-4,2,9,1.90912562046583e-4,5.92573084013695e-4,353,0.0126428136528061,181,165,0.0172775868652157,0.0108638398735844,1795,0.0642885283478385,902,820,0.0861015654830088,0.0539899920990255,1330,0.0476343970488163,711,562,0.0678694158075601,0.0370028970239663,3751,0.134343325812113,1699,1760,0.162180221458572,0.115880958651567,4569,0.163640270763941,2088,2313,0.199312714776632,0.15229128259152,12,4.29784033523155e-4,2,10,1.90912562046583e-4,6.58414537792994e-4,287,0.0102790014684288,147,134,0.0140320733104238,0.00882275480642613,16,5.73045378030873e-4,7,8,6.68193967163039e-4,5.26731630234396e-4,5120,0.183374520969879,2224,2702,0.2122947689958,0.177903608111667,5319,0.190501772859138,2279,2827,0.217544864452081,0.18613378983408,1554,0.0556570323412485,762,720,0.072737686139748,0.0474058467210956
21210,75.25401784506718,75.12181510925294,73.95297966003417,78.99807319641113,92.62391692253019,93.20989456176764,87.17639541625977,97.35634765625001,86.28714245284304,86.6057483673095,81.4077011108399,90.3920112609863,0.349971872670005,0.349971872670005,0.51491994453018,0.61827737308554,0.4713180822268753,0.16494807186017496,0.7666487548515798,0.26830550041553497,72.60453532573077,8.854371477257832,18.541093197011403,8.354997758852532,33.47532836350728,15.624590378817668,13.291388124262681,4.561541486433347,40.27541973212602,5.9105431309904155,436900,93203,30.9,2,2.24719101123596e-4,0,2,0,3.13627097381214e-4,110,0.0123595505617978,29,78,0.019621109607577802,0.0122314567978673,603,0.067752808988764,191,365,0.129228687415426,0.0572369452720715,416,0.0467415730337079,150,221,0.10148849797023,0.0346557942606241,1119,0.125730337078652,301,682,0.203653585926928,0.106946840206994,1594,0.179101123595506,342,1208,0.231393775372124,0.189430766818253,15,0.00168539325842697,0,15,0,0.0023522032303591,88,0.0098876404494382,31,56,0.0209742895805142,0.00878155872667398,11,0.00123595505617978,1,9,6.765899864682e-4,0.00141132193821546,1891,0.21247191011236,361,1472,0.24424898511502,0.230829543672573,1952,0.219325842696629,371,1516,0.251014884979702,0.23772933981496,415,0.0466292134831461,111,282,0.0751014884979702,0.0442214207307511
21211,77.09362625637462,77.006317138671875,75.10049133300782,80.27333526611329,94.35924840477938,94.77475280761712,87.4920978546143,99.7205917358399,88.54237737290498,88.84240341186523,83.56669998168938,91.95391006469727,0.353534348424063,0.353534348424063,0.353358064782575,0.428853474478508,-4.986322892636648e-4,-1.7628364148802866e-4,0.21304613367892625,0.07531912605444502,78.93648089559504,12.125821367729374,8.937697736675586,10.838420331381588,8.005601587116349,14.322219518130932,13.17230469700657,13.76247262107569,46.268852459016394,11.016454662154276,211100,63733,36.2,7,2.33730675481652e-4,2,5,2.47739378174161e-4,2.49438762783737e-4,438,0.0146248622658519,150,275,0.0185804533630621,0.0137191319531055,3704,0.123676917426291,1082,2507,0.134027003592221,0.125068595659766,2172,0.0725232895923069,778,1302,0.0963706181097485,0.064953853828885,5720,0.190991351965007,1711,3728,0.211941038027995,0.185981541531554,5943,0.198437343483923,1870,3938,0.23163631859284,0.196457969568471,26,8.68142508931851e-4,7,18,8.67087823609563e-4,8.97979546021452e-4,446,0.014891983037831,129,310,0.0159791898922334,0.0154652032925917,12,4.00681157968547e-4,4,6,4.95478756348322e-4,2.99326515340484e-4,6545,0.218538181575345,1960,4434,0.242784590610678,0.221202294836618,6704,0.223847206918428,1998,4550,0.247491638795987,0.2269892741332,2413,0.0805703028481752,806,1531,0.0998389694041868,0.0763781491643801
21212,75.7078899331078,75.58109512329102,74.01428680419923,77.89350776672364,93.02041226506171,93.50357627868657,87.27713661193843,96.04151077270514,87.01503990295603,87.5649440765381,81.42675895690917,89.42594566345214,0.350383383989365,0.350383383989365,0.431266775259885,0.562220876942248,0.23084254267312793,0.08088339127051997,0.6045877248543062,0.21183749295288296,51.237871214348715,40.97030285210232,7.791825933548964,13.3015494636472,33.53289195661361,14.013525433695973,24.960305792413994,10.235224933842987,31.400661729951157,10.593041273418793,276500,73244,38.5,18,2.50916542370046e-4,10,7,1.88636535124123e-4,4.54781704781705e-4,1366,0.0190417776043046,1174,167,0.022145929223572,0.0108497920997921,9032,0.125904345038125,7688,1160,0.145023768203426,0.0753638253638254,7265,0.101272704462133,6300,804,0.118841017128197,0.0522349272349272,15002,0.209124998257524,12164,2214,0.229457481324983,0.143840956340956,14742,0.205500648201068,11692,2754,0.220553836867124,0.178924116424116,65,9.06087514114056e-4,41,23,7.73409794008904e-4,0.00149428274428274,935,0.013033720395333,758,167,0.0142986493624085,0.0108497920997921,31,4.32134045192857e-4,24,6,4.52727684297895e-4,3.8981288981289e-4,15940,0.222200538076585,12386,3225,0.233645212404739,0.209524428274428,16319,0.227483725274266,12644,3323,0.238512035010941,0.215891372141372,6176,0.0860922536487447,5118,893,0.0965441786765261,0.0580171517671518
21213,79.11706569929174,79.4827299118042,75.14302558898926,80.94708213806152,95.65324611167642,95.43202018737799,88.19839515686036,99.42508697509761,89.98914138370574,89.8486137390137,84.47817039489752,94.0128990173339,0.136081374097349,0.136081374097349,0.139565944296905,0.200745131635734,0.0256065183253017,0.003484570199556003,0.4751844840435419,0.06466375753838499,7.777392619670374,89.57867204487442,2.643935335455197,28.151712784144873,5.276662938351207,10.979106923392052,27.28074874736079,15.066334730406833,48.374235846549126,25.7385354299625,96200,34917,35.6,44,2.99576507754946e-4,40,3,2.89976946832727e-4,4.73260766682442e-4,2635,0.0179405476803246,2556,73,0.0185295269026112,0.0115160119892728,23243,0.15825129022155,21967,924,0.159248089776863,0.145764316138192,19389,0.132011111565015,18640,447,0.135129257224051,0.0705158542356839,34911,0.237693533232567,33038,1238,0.239506459236491,0.195298943050954,28261,0.192416629219603,26741,1246,0.193856838381349,0.196560971762108,104,7.08089927420782e-4,96,7,6.95944672398544e-4,0.00110427512225903,1792,0.0122009341340196,1650,129,0.01196154905685,0.020350212967345,48,3.26810735732669e-4,44,3,3.18974641515999e-4,4.73260766682442e-4,29828,0.203085638029876,28097,1438,0.203687056878978,0.226849660829784,30392,0.206925664174735,28621,1462,0.207485754882487,0.230635746963243,12541,0.0853861132671542,11832,556,0.0857751808731206,0.0877109954251459
