zcta,temp_mean_am,temp_median_am,temp_min_am,temp_max_am,temp_mean_aft,temp_median_aft,temp_min_aft,temp_max_aft,temp_mean_pm,temp_median_pm,temp_min_pm,temp_max_pm,09-127_mean,09-63_mean,1718-127_mean,1718-63_mean,change_percent_127,change_percent_point_127,change_percent_63,change_percent_point_63,white_%,black_%,otherrace_or_multirace_%,poverty_%,single_family_detached_houses_%,65+_%,0-17_%,disabled_%,renter_%,vacancy_%,home_median_price_d,median_household_income_d,median_age_a
21201,79.87361994504451,79.84968185424805,78.18559303283692,82.969146728515625,96.00383101701705,95.90000686645514,93.14062576293938,102.78414993286131,90.72328355240577,90.64057693481438,88.6210151672363,95.54307479858389,0.066976919897342,0.066976919897342,0.067243159469491,0.104926223496925,0.003975094294528197,2.662395721489963e-4,0.5666026992245881,0.037949303599583,36.294064477252185,51.28653208797831,12.419403434769507,30.799122532121594,1.7527238275698722,9.99698704429045,14.275384151852968,16.101235311840917,88.41117415975557,13.178588346755093,189600,33877,30.1
21202,80.19052049361986,80.0326934814453,78.98687744140625,82.3582691192627,96.76669463339702,97.10995864868168,92.78232727050788,101.57000274658202,90.87795497714954,91.02001724243168,88.39640655517586,94.53840255737313,0.071559527943802,0.071559527943802,0.038345993557209,0.088697164087626,-0.4641385339025246,-0.033213534386593004,0.23948783112827027,0.017137636143823992,31.20525059665871,59.75766476959794,9.037084633743348,29.288528112689505,2.8362044351384794,8.24765926197907,11.460436937763907,10.81788140260694,78.77748876803027,19.501284857713905,230200,44656,32.5
21205,79.2656772543233,79.64676780700684,75.66693954467775,81.44292259216309,95.96622133578614,95.74159774780273,90.02451858520514,100.58579254150395,90.3104171369339,90.42742156982413,85.2385581970214,93.42607116699213,0.195014546167123,0.195014546167123,0.157374072781238,0.222551903019128,-0.19301367065012667,-0.037640473385885,0.14120668121036534,0.027537356852005007,22.998780983340104,68.82026276581335,8.180956250846535,37.13189973976168,3.0760547481303795,10.618989570635243,29.506975484220504,20.62169849654612,66.4236305851561,24.523775927755047,52500,28675,31
21206,77.06668020893237,77.12355842590333,73.60731201171876,79.01005859375,93.99647413583618,94.12236747741704,87.08526039123535,97.5059677124024,88.02602991343238,88.09003219604486,82.9335990905762,90.63322296142586,0.291308204234786,0.291308204234786,0.3049186823269,0.414015617777654,0.04672191820984337,0.01361047809211402,0.4212288282961279,0.12270741354286802,22.886891414978454,71.35336440033538,5.75974418468617,14.026050917702781,36.376513593785695,10.548482071480102,23.641468598280266,11.23676565211457,40.87530966143683,11.46447338359607,150600,50975,37.2
21207,75.82519108693873,75.68937911987305,73.45536079406739,79.33985443115235,92.9522396594138,93.49630813598631,87.08317298889152,96.61694030761713,86.92154544979869,87.37962875366216,81.17417640686037,90.9349693298339,0.268344453976329,0.268344453976329,0.439991327755595,0.552698400075002,0.639651281164198,0.17164687377926602,1.0596602310393053,0.28435394609867304,10.107165806438239,84.6423315299629,5.250502663598851,13.014027972320363,49.861004601226995,18.70323155690981,19.665029123396142,16.576498144808575,37.840785169029445,12.09739263803681,180300,59013,41.8
21209,75.0855189314341,75.02369689941406,72.55812797546386,77.42647895812988,92.20514332751348,93.10016174316404,87.17809486389152,97.11979827880856,86.010928415321,86.32015876770026,81.58744430541987,88.95299453735359,0.363551520254842,0.363551520254842,0.509100683025798,0.61359353217925094,0.40035360784333707,0.14554916277095603,0.6877760042074222,0.25004201192440895,73.12650207559537,16.08404340543296,10.78945451897167,7.645471780662097,31.701497449399373,17.810064816837812,24.076906270482848,9.40572427354162,39.35673525851634,4.837913444133619,296700,78900,37.2
21210,75.25401784506718,75.12181510925294,73.95297966003417,78.99807319641113,92.62391692253019,93.20989456176764,87.17639541625977,97.35634765625001,86.28714245284304,86.6057483673095,81.4077011108399,90.3920112609863,0.349971872670005,0.349971872670005,0.514930057883117,0.618270153378375,0.47134697984330326,0.16495818521311195,0.7666281254589663,0.26829828070837,72.60453532573077,8.854371477257832,18.541093197011403,8.354997758852532,33.47532836350728,15.624590378817668,13.291388124262681,4.561541486433347,40.27541973212602,5.9105431309904155,436900,93203,30.9
21211,77.09362625637462,77.006317138671875,75.10049133300782,80.27333526611329,94.35924840477938,94.77475280761712,87.4920978546143,99.7205917358399,88.54237737290498,88.84240341186523,83.56669998168938,91.95391006469727,0.353534348424063,0.353534348424063,0.353371389730022,0.428862731997064,-4.6094161647205464e-4,-1.6295869404098218e-4,0.21307231930585963,0.07532838357300098,78.93648089559504,12.125821367729374,8.937697736675586,10.838420331381588,8.005601587116349,14.322219518130932,13.17230469700657,13.76247262107569,46.268852459016394,11.016454662154276,211100,63733,36.2
21212,75.7078899331078,75.58109512329102,74.01428680419923,77.89350776672364,93.02041226506171,93.50357627868657,87.27713661193843,96.04151077270514,87.01503990295603,87.5649440765381,81.42675895690917,89.42594566345214,0.350383383989365,0.350383383989365,0.431265196316852,0.562215313393872,0.23083803634347552,0.08088181232748698,0.6045718463947952,0.21183192940450696,51.237871214348715,40.97030285210232,7.791825933548964,13.3015494636472,33.53289195661361,14.013525433695973,24.960305792413994,10.235224933842987,31.400661729951157,10.593041273418793,276500,73244,38.5
21213,79.11706569929174,79.4827299118042,75.14302558898926,80.94708213806152,95.65324611167642,95.43202018737799,88.19839515686036,99.42508697509761,89.98914138370574,89.8486137390137,84.47817039489752,94.0128990173339,0.136081374097349,0.136081374097349,0.13955497394039099,0.200740709078729,0.0255259021749521,0.003473599843041991,0.4751519846876653,0.06465933498138002,7.777392619670374,89.57867204487442,2.643935335455197,28.151712784144873,5.276662938351207,10.979106923392052,27.28074874736079,15.066334730406833,48.374235846549126,25.7385354299625,96200,34917,35.6
