objectid,nsa_name,temp_mean_am,temp_median_am,temp_min_am,temp_max_am,temp_mean_aft,temp_median_aft,temp_min_aft,temp_max_aft,temp_mean_pm,temp_median_pm,temp_min_pm,temp_max_pm,acres,09-63_mean,09-127_mean,17-127_mean,17-63_mean,change_percent_127,change_percent_point_127,change_percent_63,change_percent_point_63,label,07_lid_mean,15_lid_mean,lid_change_percent,lid_change_percent_point
1,Abell,78.95461280036564,78.95633544921884,78.69087829589847,78.85204429626464,96.72758940255208,96.70151786804205,95.30000915527347,96.65233688354486,90.5946365201609,90.55180053710943,89.94855499267587,90.5299858093262,46.7104316,0.237745474173286,0.186197882214731,0.180339840504628,0.251117896396802,-0.03146137668390477,-0.005858041710102985,0.056246800365037423,0.013372422223515978,Abell,0.190577973233124,0.190605987480089,1.4699624772863192e-4,2.801424696499688e-5
2,Allendale,77.85670920038277,77.84806642532348,76.82458267211918,77.5583904266357,94.55953352555505,94.7035511016846,92.75948257446285,93.68006134033202,89.08490208551294,89.32197465896603,87.17945442199701,87.62148933410643,260.02386379,0.128443270864938,0.078479961066563,0.142106093615145,0.231022801154316,0.8107309392599891,0.063626132548582,0.7986368581133649,0.102579530289378,Allendale,0.189882059806971,0.187960224507232,-0.01012120524547031,-0.001921835299739022
3,Arcadia,76.99381240940582,77.06920013427731,75.79639968872073,76.36680641174324,94.06509525077186,94.23600044250489,92.43947143554692,92.87462615966798,88.05368374010587,88.28405675888064,86.300623703003,86.80565147399906,144.6780746,0.306118125437802,0.245968802856606,0.2405357844561,0.339672993798158,-0.02208824183151927,-0.005433018400506001,0.10961411811981653,0.03355486836035604,Arcadia,0.255883003042915,0.260415878249133,0.01771463970765481,0.004532875206217979
4,Arlington,78.22966943280966,78.36698074340822,77.16212043762201,77.623621749878,95.55424997397397,95.56810474395749,94.42461853027346,94.6528457641601,89.5751911576265,89.55265235900882,88.53641014099118,88.90259132385248,115.58468919,0.192358769174182,0.109672149026669,0.205491199069332,0.324003840717162,0.8736862630398777,0.095819050042663,0.6843726028615551,0.13164507154298,Arlington,0.249873233536895,0.254838228514897,0.01987005533855593,0.004964994978002013
5,Armistead Gardens,77.97792581748308,77.86330051422128,75.66693954467775,76.98557701110849,95.01661723830557,95.20748367309571,90.02451858520514,93.91310195922861,89.41593101251084,89.6257732391357,85.2385581970214,88.83255691528322,302.58565324,0.534988187779989,0.455903495959665,0.403567029038783,0.505869349984806,-0.11479724850697867,-0.05233646692088201,-0.05442893592850306,-0.029118837795182984,Armistead Gardens,0.381051143913864,0.404378943132553,0.061219601597527824,0.023327799218688994
6,Ashburton,77.25717709523798,77.09610633850093,76.35835380554204,76.64485321044914,94.41620350473603,94.22545700073236,92.97966918945308,93.85186004638663,88.62448485913788,88.42464141845701,87.63621101379391,88.15050849914547,225.55523578,0.353433520133427,0.256221495087457,0.260955420015298,0.409659836811088,0.018475908612683428,0.004733924927840971,0.159085976498309,0.05622631667766098,Ashburton,0.340053499143631,0.333860752407787,-0.018211095464211915,-0.006192746735843968
7,Baltimore Highlands,80.31907584037154,80.41913671493535,79.68216781616216,79.86695442199701,96.50154763862864,96.50006465911862,95.46356124877929,95.74429626464845,91.48237710674653,91.62223453521726,90.20332107543938,90.6185356140137,96.96706957,0.093210466613136,0.039330095973693,0.06822161893473,0.107719955645624,0.7345907058137332,0.028891522961037003,0.15566373133511596,0.014509489032487999,Baltimore Highlands,0.060994517673914,0.078566275964817,0.28808750295959873,0.017571758290902996
9,Barclay,79.80061509086016,79.72906398773199,79.3888534545899,79.63283576965334,97.64480366127333,97.5658826828003,96.40996475219727,97.31186676025395,91.19217277356668,91.21400833129888,90.60818099975583,90.83825531005856,89.95306758,0.165807935500359,0.103828154840908,0.095567848005958,0.149092218109472,-0.07955748464958244,-0.008260306834950007,-0.1008137357264833,-0.01671571739088698,Barclay,0.128408414018464,0.12542243891384,-0.023253734013058122,-0.0029859751046240057
10,Barre Circle,79.50253260726913,79.51474304199212,79.29375648498535,79.40193061828623,95.66386279979962,95.66311073303228,95.06794357299813,95.30579757690428,91.05480524021877,91.2344429016113,89.75527801513664,90.35545425415035,15.32702623,0.383532485124087,0.257349265476594,0.233241417122216,0.316417525357586,-0.09367754871859389,-0.024107848354377986,-0.17499159098553757,-0.067114959766501,Barre Circle,0.228124438320053,0.263138817326703,0.15348806670824855,0.035014379006650026
123,Bayview,80.12599746983611,80.23160438537593,79.40076675415034,79.99662055969239,94.86672123146212,95.01232528686523,92.80690231323236,93.85054855346678,89.57623174813949,89.46678562164303,88.79046211242681,89.35099487304691,59.78610724,0.094486365797689,0.025577308718034,0.011932769634698,0.045237849124475,-0.5334626576139941,-0.013644539083336,-0.5212235252931968,-0.049248516673214,Bayview,0.044553197044865,0.048324680909887,0.0846512509803532,0.0037714838650219976
