nbrdesc,stump_count,dead_count,total_at_moderate_diff,stump_perc_of_moderate_diff,dead_perc_of_moderate_diff
uplands,11,5,16,68.75,31.25
upper fells point,27,5,32,84.38,15.62
upton,29,22,51,56.86,43.14
violetville,33,19,52,63.46,36.54
walbrook,32,2,34,94.12,5.88
waltherson,39,15,54,72.22,27.78
washington hill,21,17,38,55.26,44.74
washington village/pigtown,51,49,100,51,49
waverly,21,2,23,91.3,8.7
west arlington,12,6,18,66.67,33.33
west forest park,25,15,40,62.5,37.5
west hills,17,10,27,62.96,37.04
westfield,11,10,21,52.38,47.62
westgate,22,10,32,68.75,31.25
westport,11,37,48,22.92,77.08
wilhelm park,5,NA,5,100,NA
wilson park,6,1,7,85.71,14.29
winchester,3,2,5,60,40
windsor hills,25,6,31,80.65,19.35
winston-govans,2,NA,2,100,NA
woodberry,7,4,11,63.64,36.36
woodbourne heights,27,7,34,79.41,20.59
woodbourne-mccabe,9,1,10,90,10
woodmere,16,1,17,94.12,5.88
wrenlane,3,NA,3,100,NA
wyman park,6,8,14,42.86,57.14
wyndhurst,37,6,43,86.05,13.95
yale heights,11,4,15,73.33,26.67
NA,1,NA,1,100,NA
