zcta,aland10,awater10,intptlat10,intptlon10,temp_mean_am,temp_median_am,temp_min_am,temp_max_am,temp_mean_aft,temp_median_aft,temp_min_aft,temp_max_aft,temp_mean_pm,temp_median_pm,temp_min_pm,temp_max_pm,09-127_mean,09-63_mean,t_af_mean,t_af_media,t_af_min,t_af_max,t_am_mean,t_am_media,t_am_min,t_am_max,t_pm_mean,t_pm_media,t_pm_min,t_pm_max,17-127_mean,17-63_mean,change_percent_127,change_percent_point_127,change_percent_63,change_percent_point_63,white_%,black_%,otherrace_or_multirace_%,poverty_%,single_family_detached_houses_%,65+_%,0-17_%,disabled_%,renter_%,vacancy_%,home_median_price_d,median_household_income_d,median_age_a
21201,3346928,0,39.2948226,-76.6222236,79.87361994504451,79.84968185424805,78.18559303283692,82.969146728515625,96.00383101701705,95.90000686645514,93.14062576293938,102.78414993286131,90.72328355240577,90.64057693481438,88.6210151672363,95.54307479858389,0.066976919897342,0.066976919897342,35.55768389834278,35.500003814697266,33.96701431274414,39.324527740478516,26.596455525024727,26.58315658569336,25.658662796020508,28.316192626953125,32.62404641800317,32.57809829711914,31.456119537353516,35.30170822143555,0.067247402692694,0.104932081919525,0.004038447808089324,2.7048279535199504e-4,0.5666901684992124,0.03795516202218299,36.294064477252185,51.28653208797831,12.419403434769507,30.799122532121594,1.7527238275698722,9.99698704429045,14.275384151852968,16.101235311840917,88.41117415975557,13.178588346755093,189600,33877,30.1
21202,4104677,331280,39.2965258,-76.6070163,80.19052049361986,80.0326934814453,78.98687744140625,82.3582691192627,96.76669463339702,97.10995864868168,92.78232727050788,101.57000274658202,90.87795497714954,91.02001724243168,88.39640655517586,94.53840255737313,0.071559527943802,0.071559527943802,35.98149701855392,36.17219924926758,33.76795959472656,38.650001525878906,26.772511385344362,26.684829711914062,26.10382080078125,27.976816177368164,32.7099749873053,32.78889846801758,31.331336975097656,34.74355697631836,0.03834426958625,0.088717077004624,-0.4641626253269448,-0.033215258357552006,0.2397661017872612,0.017157549060821994,31.20525059665871,59.75766476959794,9.037084633743348,29.288528112689505,2.8362044351384794,8.24765926197907,11.460436937763907,10.81788140260694,78.77748876803027,19.501284857713905,230200,44656,32.5
21205,5309071,0,39.3022903,-76.5644838,79.2656772543233,79.64676780700684,75.66693954467775,81.44292259216309,95.96622133578614,95.74159774780273,90.02451858520514,100.58579254150395,90.3104171369339,90.42742156982413,85.2385581970214,93.42607116699213,0.195014546167123,0.195014546167123,35.53678963099231,35.4119987487793,32.235843658447266,38.10321807861328,26.25870958573516,26.470426559448242,24.259410858154297,27.468290328979492,32.39467618718554,32.459678649902344,29.576976776123047,34.12559509277344,0.157381614549182,0.22256464753808,-0.19297499780190974,-0.037632931617940985,0.14127203284285883,0.02755010137095701,22.998780983340104,68.82026276581335,8.180956250846535,37.13189973976168,3.0760547481303795,10.618989570635243,29.506975484220504,20.62169849654612,66.4236305851561,24.523775927755047,52500,28675,31
21206,18571036,3869,39.3384283,-76.5388766,77.06668020893237,77.12355842590333,73.60731201171876,79.01005859375,93.99647413583618,94.12236747741704,87.08526039123535,97.5059677124024,88.02602991343238,88.09003219604486,82.9335990905762,90.63322296142586,0.291308204234786,0.291308204234786,34.44248563102013,34.51242637634277,30.602922439575195,36.39220428466797,25.03704456051798,25.06864356994629,23.11517333984375,26.11669921875,31.125572174129058,31.161128997802734,28.296443939208984,32.574012756347656,0.304935423703268,0.414010170735762,0.046779387845523414,0.013627219468482,0.4212101297431424,0.12270196650097603,22.886891414978454,71.35336440033538,5.75974418468617,14.026050917702781,36.376513593785695,10.548482071480102,23.641468598280266,11.23676565211457,40.87530966143683,11.46447338359607,150600,50975,37.2
21207,26705585,81230,39.3241672,-76.7194841,75.82519108693873,75.68937911987305,73.45536079406739,79.33985443115235,92.9522396594138,93.49630813598631,87.08317298889152,96.61694030761713,86.92154544979869,87.37962875366216,81.17417640686037,90.9349693298339,0.268344453976329,0.268344453976329,33.86235536634101,34.164615631103516,30.601762771606445,35.89830017089844,24.347328381632632,24.27187728881836,23.0307559967041,26.29991912841797,30.511969694332585,30.766460418701172,27.318986892700195,32.74164962768555,0.439981712964558,0.552686243552869,0.6396154511297235,0.171637258988229,1.0596149291075796,0.28434178957654,10.107165806438239,84.6423315299629,5.250502663598851,13.014027972320363,49.861004601226995,18.70323155690981,19.665029123396142,16.576498144808575,37.840785169029445,12.09739263803681,180300,59013,41.8
21209,18343962,101688,39.3731913,-76.6700026,75.0855189314341,75.02369689941406,72.55812797546386,77.42647895812988,92.20514332751348,93.10016174316404,87.17809486389152,97.11979827880856,86.010928415321,86.32015876770026,81.58744430541987,88.95299453735359,0.363551520254842,0.363551520254842,33.44730184861861,33.94453430175781,30.654497146606445,36.17766571044922,23.936399406352276,23.902053833007812,22.53229331970215,25.2369327545166,30.006071341844976,30.177865982055664,27.548580169677734,31.640552520751953,0.509105628165897,0.61360219205356,0.40036721015229043,0.145554107911055,0.6877998244194874,0.25005067179871804,73.12650207559537,16.08404340543296,10.78945451897167,7.645471780662097,31.701497449399373,17.810064816837812,24.076906270482848,9.40572427354162,39.35673525851634,4.837913444133619,296700,78900,37.2
21210,8590404,5595,39.3591561,-76.6326854,75.25401784506718,75.12181510925294,73.95297966003417,78.99807319641113,92.62391692253019,93.20989456176764,87.17639541625977,97.35634765625001,86.28714245284304,86.6057483673095,81.4077011108399,90.3920112609863,0.349971872670005,0.349971872670005,33.67995384585007,34.005496978759766,30.653553009033203,36.30908203125,24.030009913926214,23.95656394958496,23.30721092224121,26.11004066467285,30.159523584912783,30.33652687072754,27.44872283935547,32.440006256103516,0.51491994453018,0.61827737308554,0.4713180822268753,0.16494807186017496,0.7666487548515798,0.26830550041553497,72.60453532573077,8.854371477257832,18.541093197011403,8.354997758852532,33.47532836350728,15.624590378817668,13.291388124262681,4.561541486433347,40.27541973212602,5.9105431309904155,436900,93203,30.9
21211,7217872,25184,39.329817,-76.6394081,77.09362625637462,77.006317138671875,75.10049133300782,80.27333526611329,94.35924840477938,94.77475280761712,87.4920978546143,99.7205917358399,88.54237737290498,88.84240341186523,83.56669998168938,91.95391006469727,0.353534348424063,0.353534348424063,34.64402689154411,34.87486267089844,30.828943252563477,37.62255096435547,25.052014586874794,25.003509521484375,23.944717407226562,26.818519592285156,31.412431873836134,31.579113006591797,28.64816665649414,33.3077278137207,0.353358064782575,0.428853474478508,-4.986322892636648e-4,-1.7628364148802866e-4,0.21304613367892625,0.07531912605444502,78.93648089559504,12.125821367729374,8.937697736675586,10.838420331381588,8.005601587116349,14.322219518130932,13.17230469700657,13.76247262107569,46.268852459016394,11.016454662154276,211100,63733,36.2
21212,12021176,97318,39.3685612,-76.6148978,75.7078899331078,75.58109512329102,74.01428680419923,77.89350776672364,93.02041226506171,93.50357627868657,87.27713661193843,96.04151077270514,87.01503990295603,87.5649440765381,81.42675895690917,89.42594566345214,0.350383383989365,0.350383383989365,33.90022903614543,34.16865348815918,30.70952033996582,35.578617095947266,24.282161073948775,24.211719512939453,23.341270446777344,25.49639320373535,30.5639110571978,30.869413375854492,27.45931053161621,31.903303146362305,0.431266775259885,0.562220876942248,0.23084254267312793,0.08088339127051997,0.6045877248543062,0.21183749295288296,51.237871214348715,40.97030285210232,7.791825933548964,13.3015494636472,33.53289195661361,14.013525433695973,24.960305792413994,10.235224933842987,31.400661729951157,10.593041273418793,276500,73244,38.5
21213,8838038,1899,39.315031,-76.5774287,79.11706569929174,79.4827299118042,75.14302558898926,80.94708213806152,95.65324611167642,95.43202018737799,88.19839515686036,99.42508697509761,89.98914138370574,89.8486137390137,84.47817039489752,94.0128990173339,0.136081374097349,0.136081374097349,35.36291450648692,35.24001121520996,31.221330642700195,37.45838165283203,26.176147610717635,26.379294395446777,23.968347549438477,27.19282341003418,32.21618965761433,32.138118743896484,29.154539108276367,34.45161056518555,0.139565944296905,0.200745131635734,0.0256065183253017,0.003484570199556003,0.4751844840435419,0.06466375753838499,7.777392619670374,89.57867204487442,2.643935335455197,28.151712784144873,5.276662938351207,10.979106923392052,27.28074874736079,15.066334730406833,48.374235846549126,25.7385354299625,96200,34917,35.6
