zcta,aland10,awater10,intptlat10,intptlon10,temp_mean_am,temp_median_am,temp_min_am,temp_max_am,temp_mean_aft,temp_median_aft,temp_min_aft,temp_max_aft,temp_mean_pm,temp_median_pm,temp_min_pm,temp_max_pm,07_lid_mean,15_lid_mean,lid_change_percent,change_percent_point,white_%,black_%,otherrace_or_multirace_%,poverty_%,single_family_detached_houses_%,65+_%,0-17_%,disabled_%,renter_%,vacancy_%,home_median_price_d,median_household_income_d,median_age_a
21201,3346928,0,39.2948226,-76.6222236,79.87361994504447,79.84968185424812,78.1855930328369,82.96914672851558,96.00383101701705,95.90000686645514,93.14062576293938,102.78414993286131,90.72328355240577,90.64057693481438,88.6210151672363,95.54307479858389,0.093451871141017,0.104599947668311,0.11929217030306202,0.011148076527294007,36.294064477252185,51.28653208797831,12.419403434769507,30.799122532121594,1.7527238275698722,9.99698704429045,14.275384151852968,16.101235311840917,88.41117415975557,13.178588346755093,189600,33877,30.1
21202,4104677,331280,39.2965258,-76.6070163,80.18775176471797,80.03067474365241,78.98687744140616,82.35826911926276,96.78019847298584,97.11495742797861,92.78232727050788,101.57000274658202,90.88636728883569,91.0246555328369,88.39640655517586,94.53840255737313,0.086852793800893,0.091201524864824,0.050070134461078,0.004348731063930994,31.20525059665871,59.75766476959794,9.037084633743348,29.288528112689505,2.8362044351384794,8.24765926197907,11.460436937763907,10.81788140260694,78.77748876803027,19.501284857713905,230200,44656,32.5
21205,5309071,0,39.3022903,-76.5644838,79.26567725432336,79.64676780700677,75.66693954467775,81.4429225921631,95.96622133578614,95.74159774780273,90.02451858520514,100.58579254150395,90.3104171369339,90.42742156982413,85.2385581970214,93.42607116699213,0.188575689325434,0.190095372920449,0.008058746068759762,0.0015196835950150034,22.998780983340104,68.82026276581335,8.180956250846535,37.13189973976168,3.0760547481303795,10.618989570635243,29.506975484220504,20.62169849654612,66.4236305851561,24.523775927755047,52500,28675,31
21206,18571036,3869,39.3384283,-76.5388766,77.08291878063127,77.13899078369144,73.60731201171885,79.01005859375,94.21022388285608,94.2644584655762,87.39584732055668,97.5059677124024,88.24058721352274,88.25039482116703,83.39853363037106,90.63322296142586,0.326954987831912,0.333798844994132,0.020932108140030593,0.006843857162219968,22.886891414978454,71.35336440033538,5.75974418468617,14.026050917702781,36.376513593785695,10.548482071480102,23.641468598280266,11.23676565211457,40.87530966143683,11.46447338359607,150600,50975,37.2
21207,26705585,81230,39.3241672,-76.7194841,75.21641819962034,75.2011363983155,73.45536079406739,77.85612335205086,91.97150102722941,92.86499938964846,87.12072906494143,95.54799118041986,85.89702077574674,86.7163789749146,81.17417640686037,89.41016654968263,0.538183627204301,0.537542129227133,-0.0011919685860761779,-6.414979771680596e-4,10.107165806438239,84.6423315299629,5.250502663598851,13.014027972320363,49.861004601226995,18.70323155690981,19.665029123396142,16.576498144808575,37.840785169029445,12.09739263803681,180300,59013,41.8
21208,31911112,65741,39.386425,-76.7211463,76.53835348278997,76.52808570861825,75.87881431579598,77.71846466064451,94.05474806775399,94.13717842102045,93.10909500122071,95.27344970703116,88.04458723683939,87.96636047363288,87.02556343078622,89.32663955688476,0.301275059538277,0.289978460584501,-0.03749596455507716,-0.011296598953775994,53.202706742397474,42.3404081854499,4.456885072152623,9.496107925427296,43.87742416708105,24.89333369568171,21.096828545805366,13.821778949370872,35.48837209302326,6.452013923421183,251400,72612,45.3
21209,18343962,101688,39.3731913,-76.6700026,75.14487320376111,75.09602642059329,73.90808677673348,77.42647895812988,92.38167951480571,93.029931640625,87.17809486389152,97.11979827880856,86.17023784117778,86.37688426971434,83.134089279174745,88.93595542907714,0.607657024074197,0.614731971704704,0.011642994897139712,0.007074947630506978,73.12650207559537,16.08404340543296,10.78945451897167,7.645471780662097,31.701497449399373,17.810064816837812,24.076906270482848,9.40572427354162,39.35673525851634,4.837913444133619,296700,78900,37.2
21210,8590404,5595,39.3591561,-76.6326854,75.33607830785276,75.19456863403323,73.95297966003416,78.99807319641123,92.89203056040597,93.42386703491216,87.17639541625977,97.35634765625001,86.52419263360633,86.81039619445797,81.80976638793939,90.3920112609863,0.57008589503261,0.580462561456046,0.01820193503093508,0.010376666423436043,72.60453532573077,8.854371477257832,18.541093197011403,8.354997758852532,33.47532836350728,15.624590378817668,13.291388124262681,4.561541486433347,40.27541973212602,5.9105431309904155,436900,93203,30.9
21211,7217872,25184,39.329817,-76.6394081,77.09362625637465,77.00631713867192,75.10049133300788,80.27333526611335,94.35924840477938,94.77475280761712,87.4920978546143,99.7205917358399,88.54237737290498,88.84240341186523,83.56669998168938,91.95391006469727,0.397950896749761,0.400791631815816,0.007138405992439166,0.0028407350660550335,78.93648089559504,12.125821367729374,8.937697736675586,10.838420331381588,8.005601587116349,14.322219518130932,13.17230469700657,13.76247262107569,46.268852459016394,11.016454662154276,211100,63733,36.2
21212,12021176,97318,39.3685612,-76.6148978,75.95360410404182,75.83971157073968,74.20318298339846,77.89350776672373,93.64547328091106,93.73145332336429,91.08361434936523,96.04151077270514,87.63939595103037,87.76909580230705,84.55332717895514,89.27254562377928,0.440048511840225,0.443212734844568,0.00719062312268864,0.0031642230043430475,51.237871214348715,40.97030285210232,7.791825933548964,13.3015494636472,33.53289195661361,14.013525433695973,24.960305792413994,10.235224933842987,31.400661729951157,10.593041273418793,276500,73244,38.5
21213,8838038,1899,39.315031,-76.5774287,79.11706569929169,79.48272991180424,75.1430255889893,80.94708213806156,95.65324611167642,95.43202018737799,88.19839515686036,99.42508697509761,89.98914138370574,89.8486137390137,84.47817039489752,94.0128990173339,0.165764267634799,0.168314706761049,0.015385940303304441,0.002550439126249998,7.777392619670374,89.57867204487442,2.643935335455197,28.151712784144873,5.276662938351207,10.979106923392052,27.28074874736079,15.066334730406833,48.374235846549126,25.7385354299625,96200,34917,35.6
21214,7392916,0,39.3517934,-76.5643999,77.23124366852247,77.2092964172363,75.41851463317869,79.5714736938476,93.81088064232355,93.76628341674812,89.33072166442868,97.05000076293938,88.1883452314301,88.14786148071283,84.94098663330087,91.83670654296884,0.353776626335756,0.359204803938812,0.01534351678141759,0.0054281776030559725,39.55266955266955,55.73833573833574,4.708994708994709,12.06930114853027,65.08383031394172,13.395863395863397,20.553150553150555,13.915343915343914,24.927021195583198,11.342410262180714,179400,65792,41
21215,17646082,9673,39.3452409,-76.6835656,77.06643393401852,77.01480751037593,74.70027313232414,79.09962120056156,94.54108196688259,94.62856254577628,87.67112693786618,97.12892379760736,88.61227104094053,88.6667749404908,83.34546279907227,92.13212203979487,0.308584956600068,0.303104914268279,-0.01775861789300132,-0.0054800423317890035,17.04262339236415,80.74203757322739,2.2153390344084585,25.59840653868608,19.997776377719305,17.975220523870448,22.44293313581577,18.109891589791932,50.799981870099266,18.23370270170107,122200,36500,41.8
21216,8635708,145490,39.3105945,-76.6717168,76.65761238263835,76.81100769042962,73.4971328735351,79.21572952270515,93.57084260114792,93.98787078857414,87.14713401794427,97.76963272094727,87.74042825918876,88.20849227905273,81.48087348937989,91.85666046142586,0.384642546575044,0.38028652829399,-0.01132484775758969,-0.004356018281053975,2.2672037820021975,95.24586343509671,2.4869327829010928,26.17729478504545,13.937212557488502,13.589905782867797,21.666611179545228,16.632819522588807,50.95475496190387,29.140838498966875,88900,37314,36.4
21217,5996500,191953,39.3084728,-76.6391545,78.69418135743038,78.68917713165278,76.44626502990728,81.66551589965823,95.68887652216958,95.76754608154297,92.95511474609384,98.9655220031738,90.35810617159814,90.42965660095214,87.07156524658203,92.34886169433597,0.18203516849268,0.182953707478838,0.00504594246135972,9.185389861579851e-4,10.576265623717966,85.23917621639362,4.184558159888411,36.66991507726577,2.240429569967134,13.54101140497224,23.890271586029595,19.41853786614884,68.79477454698694,34.092487154561866,130500,28116,35.1
21218,10835058,316361,39.3301071,-76.6014512,78.04573885653782,77.90883712768562,74.96522560119632,80.69835166931156,95.32180418813348,95.23146133422861,87.80854530334477,99.49300308227534,89.31161176955834,89.30912666320796,83.0526908874512,92.56584854125977,0.273531730682074,0.27795974789695,0.016188312792210197,0.004428017214876012,29.59541124654307,61.175868073338115,9.228720680118819,24.547429398986242,9.214068222938089,14.196456007374783,15.652975519819728,14.03052340469118,50.42619766940008,18.203080181810158,153700,43352,34.6
21222,28394454,5705215,39.26484,-76.4925655,79.96946200647477,79.89844398498536,78.52769012451165,81.69481849670402,94.87396167942758,95.06157150268562,91.8749458312988,97.21078567504881,89.50101893237857,89.35971183776857,87.21933822631831,92.18022155761713,0.087011973178951,0.085293819719228,-0.019746172819106154,-0.0017181534597229958,77.9481842580928,11.745266655711964,10.306549086195242,14.372016158648549,34.738929849523565,16.377279947417428,22.94644976356101,18.60838765039893,35.1780185758514,10.869658948820765,143700,50644,39.7
